,P,cost,value
0,0.01,0.01,9.99967943296925
1,0.01,0.1,9.999768654610069
2,0.01,0.2,9.999819601185171
3,0.01,0.3,9.999748040354417
4,0.01,0.4,9.999638981959325
5,0.01,0.5,9.999416494040528
6,0.01,0.6,9.99875210088288
7,0.01,0.7,9.997550761046254
8,0.01,0.8,9.994547509974879
9,0.01,0.9,9.969695877050393
10,0.01,0.99,4.755768878380376
11,0.1,0.01,9.997301794621325
12,0.1,0.1,9.996882620609009
13,0.1,0.2,9.997056407566015
14,0.1,0.3,9.996907932125744
15,0.1,0.4,9.996007976495802
16,0.1,0.5,9.993428528879944
17,0.1,0.6,9.98515678271947
18,0.1,0.7,9.961524309147332
19,0.1,0.8,9.79745234224915
20,0.1,0.9,2.5026328868385117
21,0.1,0.99,2.617325698241466
22,0.2,0.01,9.992487742560694
23,0.2,0.1,9.992622532536044
24,0.2,0.2,9.992255830724261
25,0.2,0.3,9.991706437986064
26,0.2,0.4,9.98881498001991
27,0.2,0.5,9.979583252814024
28,0.2,0.6,9.942410468128985
29,0.2,0.7,9.651202009753217
30,0.2,0.8,2.5872663006291896
31,0.2,0.9,-3.18856370803204
32,0.2,0.99,6.370900694547068
33,0.3,0.01,9.983019281622681
34,0.3,0.1,9.98323849373085
35,0.3,0.2,9.982109157684361
36,0.3,0.3,9.978785161499935
37,0.3,0.4,9.970556589425904
38,0.3,0.5,9.935584898370747
39,0.3,0.6,9.671577262813054
40,0.3,0.7,3.729839374426886
41,0.3,0.8,-1.7052224183071059
42,0.3,0.9,7.094808472261671
43,0.3,0.99,8.571829762080686
44,0.4,0.01,9.958212705572569
45,0.4,0.1,9.957812435403524
46,0.4,0.2,9.951123508532916
47,0.4,0.3,9.94017609136159
48,0.4,0.4,9.903989038019642
49,0.4,0.5,9.721524262948334
50,0.4,0.6,5.595911863749383
51,0.4,0.7,4.869913722436871
52,0.4,0.8,8.771443989783362
53,0.4,0.9,9.457231961211049
54,0.4,0.99,9.57021989064578
55,0.5,0.01,9.884261738794383
56,0.5,0.1,9.872741496927288
57,0.5,0.2,9.83446925991018
58,0.5,0.3,9.691071153711112
59,0.5,0.4,9.274501586434457
60,0.5,0.5,8.221664911073832
61,0.5,0.6,9.172857430766577
62,0.5,0.7,9.619109521002873
63,0.5,0.8,9.784413482435411
64,0.5,0.9,9.842068437857034
65,0.5,0.99,9.86163369982375
66,0.6,0.01,9.598389086046623
67,0.6,0.1,9.49465204498314
68,0.6,0.2,8.827770331024594
69,0.6,0.3,5.004701942245545
70,0.6,0.4,5.846988708897621
71,0.6,0.5,9.608794314629648
72,0.6,0.6,9.829231633406808
73,0.6,0.7,9.884367555276196
74,0.6,0.8,9.919372358243265
75,0.6,0.9,9.93487838037535
76,0.6,0.99,9.940462982119108
77,0.7,0.01,8.607368235110147
78,0.7,0.1,7.075799559533022
79,0.7,0.2,-1.6944316014776584
80,0.7,0.3,3.805578747858233
81,0.7,0.4,9.566645095121869
82,0.7,0.5,9.864742286376437
83,0.7,0.6,9.917182820542784
84,0.7,0.7,9.939095019949756
85,0.7,0.8,9.954649918723216
86,0.7,0.9,9.963182207773016
87,0.7,0.99,9.966152800354662
88,0.8,0.01,6.421401058678643
89,0.8,0.1,-3.2664881537722663
90,0.8,0.2,2.9427646655802415
91,0.8,0.3,9.574586651424696
92,0.8,0.4,9.873976846041462
93,0.8,0.5,9.927740118017734
94,0.8,0.6,9.947149093899876
95,0.8,0.7,9.960708881335895
96,0.8,0.8,9.968778631594505
97,0.8,0.9,9.975095906605585
98,0.8,0.99,9.978917097679917
99,0.9,0.01,2.664569346493906
100,0.9,0.1,2.3682103517828996
101,0.9,0.2,9.68428622316617
102,0.9,0.3,9.89090216533033
103,0.9,0.4,9.93553201247204
104,0.9,0.5,9.954098638343563
105,0.9,0.6,9.962134689753965
106,0.9,0.7,9.969948426185903
107,0.9,0.8,9.977201123097384
108,0.9,0.9,9.981600857100636
109,0.9,0.99,9.98454026895227
110,0.99,0.01,3.81612011070992
111,0.99,0.1,9.854593724503907
112,0.99,0.2,9.926243986091677
113,0.99,0.3,9.947515495002389
114,0.99,0.4,9.960579860552762
115,0.99,0.5,9.967199150497764
116,0.99,0.6,9.972623719103751
117,0.99,0.7,9.977219447317866
118,0.99,0.8,9.982582976208068
119,0.99,0.9,9.986235554898773
120,0.99,0.99,9.988398108467564
