,P,cost,value
0,0.01,0.01,-5.239064349114466
1,0.01,0.1,-5.200747649978396
2,0.01,0.2,-5.119794117534116
3,0.01,0.3,-5.14458053034682
4,0.01,0.4,-5.08512804662792
5,0.01,0.5,-4.988006483020541
6,0.01,0.6,-5.038886867342334
7,0.01,0.7,-4.9772245800815265
8,0.01,0.8,-4.79901169332336
9,0.01,0.9,-4.368016635135127
10,0.01,0.99,6.813379466994385
11,0.1,0.01,-9.152308930266347
12,0.1,0.1,-9.126389730194374
13,0.1,0.2,-9.109179953925473
14,0.1,0.3,-9.094608658553282
15,0.1,0.4,-9.025102497276333
16,0.1,0.5,-9.000347758689163
17,0.1,0.6,-8.851104933424306
18,0.1,0.7,-8.613014256833575
19,0.1,0.8,-7.766648524280582
20,0.1,0.9,3.183510689360556
21,0.1,0.99,9.822149117701633
22,0.2,0.01,-9.306637308751432
23,0.2,0.1,-9.29315205136095
24,0.2,0.2,-9.252368000019418
25,0.2,0.3,-9.20227235718981
26,0.2,0.4,-9.104708142468173
27,0.2,0.5,-8.95269842524639
28,0.2,0.6,-8.658389367853365
29,0.2,0.7,-7.51238153637276
30,0.2,0.8,2.0356510351927932
31,0.2,0.9,9.666543498211164
32,0.2,0.99,9.807668658859063
33,0.3,0.01,-9.342066982139984
34,0.3,0.1,-9.306436820190434
35,0.3,0.2,-9.241986530813707
36,0.3,0.3,-9.144449716306076
37,0.3,0.4,-8.99704051214482
38,0.3,0.5,-8.679407651700883
39,0.3,0.6,-7.357858797642588
40,0.3,0.7,1.980553278256167
41,0.3,0.8,9.43287877289525
42,0.3,0.9,9.792348644334702
43,0.3,0.99,9.767537554639464
44,0.4,0.01,-9.345410710537337
45,0.4,0.1,-9.286495209176461
46,0.4,0.2,-9.207222014230116
47,0.4,0.3,-9.037825604210726
48,0.4,0.4,-8.688843025317173
49,0.4,0.5,-7.415648995274147
50,0.4,0.6,1.9023233999706168
51,0.4,0.7,9.313838774640892
52,0.4,0.8,9.751852610987791
53,0.4,0.9,9.77662343820596
54,0.4,0.99,9.744811545251935
55,0.5,0.01,-9.352107248551558
56,0.5,0.1,-9.269788699680257
57,0.5,0.2,-9.138050053744207
58,0.5,0.3,-8.76203548966128
59,0.5,0.4,-7.454787591843457
60,0.5,0.5,2.1821455921218624
61,0.5,0.6,9.249354602308724
62,0.5,0.7,9.748796258407191
63,0.5,0.8,9.789904514989825
64,0.5,0.9,9.78930709644937
65,0.5,0.99,9.762722328442003
66,0.6,0.01,-9.342560426089207
67,0.6,0.1,-9.202860539671072
68,0.6,0.2,-8.883329303792106
69,0.6,0.3,-7.69759306552729
70,0.6,0.4,1.7251935346352325
71,0.6,0.5,9.221610438113105
72,0.6,0.6,9.757548044680336
73,0.6,0.7,9.80320114008784
74,0.6,0.8,9.809103384714563
75,0.6,0.9,9.797997653195715
76,0.6,0.99,9.78067583699129
77,0.7,0.01,-9.33183269490073
78,0.7,0.1,-9.098789381039529
79,0.7,0.2,-8.013157091479627
80,0.7,0.3,1.799667869017657
81,0.7,0.4,9.299839168353753
82,0.7,0.5,9.772702761242117
83,0.7,0.6,9.836294221319283
84,0.7,0.7,9.839517039848994
85,0.7,0.8,9.829885226791538
86,0.7,0.9,9.830970455261173
87,0.7,0.99,9.819312996776002
88,0.8,0.01,-9.29097037521769
89,0.8,0.1,-8.494177609216958
90,0.8,0.2,1.2709757091946015
91,0.8,0.3,9.413720802336826
92,0.8,0.4,9.821047084113099
93,0.8,0.5,9.871252438239463
94,0.8,0.6,9.876388801810434
95,0.8,0.7,9.876138897020919
96,0.8,0.8,9.877865477241512
97,0.8,0.9,9.875671848567558
98,0.8,0.99,9.870386088177595
99,0.9,0.01,-9.037810033072734
100,0.9,0.1,0.8841532449437427
101,0.9,0.2,9.608239525241029
102,0.9,0.3,9.868968797092894
103,0.9,0.4,9.909877280132669
104,0.9,0.5,9.92152003759667
105,0.9,0.6,9.923503487090167
106,0.9,0.7,9.924818601840093
107,0.9,0.8,9.927890422559202
108,0.9,0.9,9.92863162877188
109,0.9,0.99,9.928056151793673
110,0.99,0.01,-0.311533978781162
111,0.99,0.1,9.84108152207526
112,0.99,0.2,9.923905870398528
113,0.99,0.3,9.944892652250235
114,0.99,0.4,9.957781170076498
115,0.99,0.5,9.964408258733595
116,0.99,0.6,9.968561393222904
117,0.99,0.7,9.972483485920627
118,0.99,0.8,9.977040268797916
119,0.99,0.9,9.980857211401403
120,0.99,0.99,9.98296017425427
