,P,cost,value
0,0.01,0.01,9.993104224871448
1,0.01,0.1,9.993367972625268
2,0.01,0.2,9.993653715109192
3,0.01,0.3,9.994102071715126
4,0.01,0.4,9.99456104285317
5,0.01,0.5,9.995047151343515
6,0.01,0.6,9.995608260302943
7,0.01,0.7,9.995494272617487
8,0.01,0.8,9.992300204613624
9,0.01,0.9,9.951524664547179
10,0.01,0.99,1.285412601195144
11,0.1,0.01,9.873017300272377
12,0.1,0.1,9.875781727477069
13,0.1,0.2,9.880509397703909
14,0.1,0.3,9.88618776134452
15,0.1,0.4,9.892097179443107
16,0.1,0.5,9.899467198219176
17,0.1,0.6,9.900831291837049
18,0.1,0.7,9.881724822445573
19,0.1,0.8,9.680918243658018
20,0.1,0.9,1.1521127274352863
21,0.1,0.99,-8.859573836989005
22,0.2,0.01,9.319070311227595
23,0.2,0.1,9.318846265156576
24,0.2,0.2,9.327428114942437
25,0.2,0.3,9.349876359590315
26,0.2,0.4,9.358764643390987
27,0.2,0.5,9.385239423120503
28,0.2,0.6,9.367484933844576
29,0.2,0.7,9.075599200304321
30,0.2,0.8,1.406677245122242
31,0.2,0.9,-7.774389734912908
32,0.2,0.99,-8.61468808982172
33,0.3,0.01,7.832336777847254
34,0.3,0.1,7.847478786087652
35,0.3,0.2,7.8870432128590515
36,0.3,0.3,7.920316599262365
37,0.3,0.4,7.9478157489459855
38,0.3,0.5,7.990296773655864
39,0.3,0.6,7.820232359797835
40,0.3,0.7,2.008754239695701
41,0.3,0.8,-5.878169156456626
42,0.3,0.9,-6.964333146043876
43,0.3,0.99,-7.218587454875345
44,0.4,0.01,4.9943635316292685
45,0.4,0.1,5.0087461789672885
46,0.4,0.2,5.064649326933981
47,0.4,0.3,5.162336518474277
48,0.4,0.4,5.260358980523012
49,0.4,0.5,5.37425124273344
50,0.4,0.6,2.296805627798456
51,0.4,0.7,-2.930006709438435
52,0.4,0.8,-3.9479966882574526
53,0.4,0.9,-4.234166097741574
54,0.4,0.99,-4.388981847763971
55,0.5,0.01,0.29144660054000104
56,0.5,0.1,0.3703677434248537
57,0.5,0.2,0.4977412537686054
58,0.5,0.3,0.726378550901905
59,0.5,0.4,1.2643859496331786
60,0.5,0.5,2.5262709118098794
61,0.5,0.6,1.2550904034816803
62,0.5,0.7,0.7485898925598262
63,0.5,0.8,0.49089280526791246
64,0.5,0.9,0.3324585698946203
65,0.5,0.99,0.3044906252668869
66,0.6,0.01,-4.412270939871083
67,0.6,0.1,-4.290601435980054
68,0.6,0.2,-3.9780637405243313
69,0.6,0.3,-2.98760979929908
70,0.6,0.4,2.397792416755461
71,0.6,0.5,5.306251883747361
72,0.6,0.6,5.254128514830368
73,0.6,0.7,5.1272518540726075
74,0.6,0.8,5.064325993095843
75,0.6,0.9,5.001426245772191
76,0.6,0.99,4.981243331856846
77,0.7,0.01,-7.218079460698092
78,0.7,0.1,-6.990707166027366
79,0.7,0.2,-5.935508751896698
80,0.7,0.3,2.1242723468507183
81,0.7,0.4,7.720072280929222
82,0.7,0.5,7.93461953364967
83,0.7,0.6,7.914550530659307
84,0.7,0.7,7.868968789563056
85,0.7,0.8,7.8798471631921165
86,0.7,0.9,7.859275420375747
87,0.7,0.99,7.831532466716898
88,0.8,0.01,-8.6437379252215
89,0.8,0.1,-7.894253232648641
90,0.8,0.2,1.752267635522478
91,0.8,0.3,9.013346343138245
92,0.8,0.4,9.300130496584472
93,0.8,0.5,9.320738628081497
94,0.8,0.6,9.32581627818446
95,0.8,0.7,9.31968550596839
96,0.8,0.8,9.3031822764076
97,0.8,0.9,9.302409967296976
98,0.8,0.99,9.29315766267148
99,0.9,0.01,-8.960159629587714
100,0.9,0.1,0.9178131622478198
101,0.9,0.2,9.570107163957147
102,0.9,0.3,9.812281538007344
103,0.9,0.4,9.851865557870997
104,0.9,0.5,9.86000423214347
105,0.9,0.6,9.85931345337445
106,0.9,0.7,9.862038112677425
107,0.9,0.8,9.86395276338082
108,0.9,0.9,9.862749137135653
109,0.9,0.99,9.863153416652615
110,0.99,0.01,-0.3705640752273246
111,0.99,0.1,9.837461642174901
112,0.99,0.2,9.92455506927129
113,0.99,0.3,9.945745604612027
114,0.99,0.4,9.957175274778061
115,0.99,0.5,9.963600284266859
116,0.99,0.6,9.96829982098401
117,0.99,0.7,9.972233144892787
118,0.99,0.8,9.977260596552641
119,0.99,0.9,9.980886280511738
120,0.99,0.99,9.982354176431675
