,P,cost,value
0,0.01,0.01,9.99985805999366
1,0.01,0.1,9.999917651281663
2,0.01,0.2,9.999911481699744
3,0.01,0.3,9.9997364769817
4,0.01,0.4,9.999661924120085
5,0.01,0.5,9.999026408938962
6,0.01,0.6,9.996911351780666
7,0.01,0.7,9.991276488842916
8,0.01,0.8,9.992196542042265
9,0.01,0.9,9.98384912073297
10,0.01,0.99,8.488627456775525
11,0.1,0.01,9.999518909483177
12,0.1,0.1,9.999441146756485
13,0.1,0.2,9.998824513904918
14,0.1,0.3,9.997707696851872
15,0.1,0.4,9.996264626879881
16,0.1,0.5,9.993114225578054
17,0.1,0.6,9.984547981358956
18,0.1,0.7,9.963629230087188
19,0.1,0.8,9.885058814836707
20,0.1,0.9,7.581135953893897
21,0.1,0.99,9.878055859317275
22,0.2,0.01,9.999338326987523
23,0.2,0.1,9.998901025624127
24,0.2,0.2,9.997369622388556
25,0.2,0.3,9.994620249631769
26,0.2,0.4,9.99002814706273
27,0.2,0.5,9.978800199552749
28,0.2,0.6,9.944963001987153
29,0.2,0.7,9.76329510861534
30,0.2,0.8,6.659400768435053
31,0.2,0.9,9.748729569971923
32,0.2,0.99,9.93387379932023
33,0.3,0.01,9.999091356555988
34,0.3,0.1,9.998115521799152
35,0.3,0.2,9.995137465111787
36,0.3,0.3,9.988718408436197
37,0.3,0.4,9.975007159025143
38,0.3,0.5,9.928798154111703
39,0.3,0.6,9.650598565798926
40,0.3,0.7,5.092196098714349
41,0.3,0.8,9.335522535835675
42,0.3,0.9,9.907782178217822
43,0.3,0.99,9.956315206147481
44,0.4,0.01,9.998865111151773
45,0.4,0.1,9.996895335179554
46,0.4,0.2,9.990735549726486
47,0.4,0.3,9.975169824326196
48,0.4,0.4,9.921934882698348
49,0.4,0.5,9.596000342482215
50,0.4,0.6,3.9360632375577156
51,0.4,0.7,6.290604551499925
52,0.4,0.8,9.833339293630857
53,0.4,0.9,9.94485724841141
54,0.4,0.99,9.967740653169795
55,0.5,0.01,9.998624198022117
56,0.5,0.1,9.99475594266675
57,0.5,0.2,9.981090539195176
58,0.5,0.3,9.929047300028115
59,0.5,0.4,9.56538855691748
60,0.5,0.5,3.3101263863186903
61,0.5,0.6,0.7602749245489111
62,0.5,0.7,9.409422048174967
63,0.5,0.8,9.92078380375351
64,0.5,0.9,9.962327619329098
65,0.5,0.99,9.974018619772426
66,0.6,0.01,9.998183786036234
67,0.6,0.1,9.99007229115196
68,0.6,0.2,9.947891725684139
69,0.6,0.3,9.622627538463854
70,0.6,0.4,3.4401758098641095
71,0.6,0.5,-0.9702491675204523
72,0.6,0.6,8.564249983701295
73,0.6,0.7,9.807807743460915
74,0.6,0.8,9.948367075513522
75,0.6,0.9,9.971170976799172
76,0.6,0.99,9.977999408896114
77,0.7,0.01,9.997296862042411
78,0.7,0.1,9.97567912047205
79,0.7,0.2,9.723909563739658
80,0.7,0.3,3.2502983311291347
81,0.7,0.4,-1.7868436549539664
82,0.7,0.5,8.319336921946793
83,0.7,0.6,9.668250992567518
84,0.7,0.7,9.902448056745971
85,0.7,0.8,9.963096349933501
86,0.7,0.9,9.976310920644305
87,0.7,0.99,9.98158208955224
88,0.8,0.01,9.995220362041945
89,0.8,0.1,9.886399036446619
90,0.8,0.2,3.8819098384515
91,0.8,0.3,-1.5847958447804986
92,0.8,0.4,8.477545731153135
93,0.8,0.5,9.67936583082206
94,0.8,0.6,9.86624772687305
95,0.8,0.7,9.941608098123243
96,0.8,0.8,9.971377124279591
97,0.8,0.9,9.980131963942661
98,0.8,0.99,9.984470814245604
99,0.9,0.01,9.984699371824682
100,0.9,0.1,4.996102092882813
101,0.9,0.2,2.0422136957151924
102,0.9,0.3,8.996997006933782
103,0.9,0.4,9.77381037773193
104,0.9,0.5,9.891061149678123
105,0.9,0.6,9.933286632317428
106,0.9,0.7,9.961334564799763
107,0.9,0.8,9.97810994532289
108,0.9,0.9,9.983269247820306
109,0.9,0.99,9.986358356731195
110,0.99,0.01,9.565365948095952
111,0.99,0.1,8.980798076067881
112,0.99,0.2,9.704814381450737
113,0.99,0.3,9.875564409827756
114,0.99,0.4,9.939136234320165
115,0.99,0.5,9.956977785424183
116,0.99,0.6,9.967929687840114
117,0.99,0.7,9.974817053347124
118,0.99,0.8,9.982254026895227
119,0.99,0.9,9.986537904536723
120,0.99,0.99,9.988765331757058
