,P,cost,value
0,0.01,0.01,-2.820616198129959
1,0.01,0.1,-2.8054393319921322
2,0.01,0.2,-2.6710924249660364
3,0.01,0.3,-2.717538537325769
4,0.01,0.4,-2.5995582420761902
5,0.01,0.5,-2.4744127220726155
6,0.01,0.6,-2.6008768301505194
7,0.01,0.7,-2.501810642788784
8,0.01,0.8,-2.2494956519811398
9,0.01,0.9,-1.8708875653307393
10,0.01,0.99,7.258571407956112
11,0.1,0.01,-5.03638832408668
12,0.1,0.1,-4.897442942392763
13,0.1,0.2,-4.968097737473841
14,0.1,0.3,-4.946501990676355
15,0.1,0.4,-4.812270616490095
16,0.1,0.5,-4.738484694196583
17,0.1,0.6,-4.434925883040291
18,0.1,0.7,-4.051134554455162
19,0.1,0.8,-2.816245117885081
20,0.1,0.9,6.756217474042018
21,0.1,0.99,7.368574562268456
22,0.2,0.01,-7.851413345159187
23,0.2,0.1,-7.858648638774212
24,0.2,0.2,-7.8067200147194695
25,0.2,0.3,-7.755331310114664
26,0.2,0.4,-7.627056785269487
27,0.2,0.5,-7.3288222857533185
28,0.2,0.6,-6.9073873528761105
29,0.2,0.7,-5.431665672667244
30,0.2,0.8,4.098833561116775
31,0.2,0.9,9.399556364599878
32,0.2,0.99,9.035777538948551
33,0.3,0.01,-8.963649049367866
34,0.3,0.1,-8.920367911034578
35,0.3,0.2,-8.847133209352103
36,0.3,0.3,-8.740568147830508
37,0.3,0.4,-8.55486410614289
38,0.3,0.5,-8.111445121513054
39,0.3,0.6,-6.663256751119601
40,0.3,0.7,2.7756681455990195
41,0.3,0.8,9.607176896992224
42,0.3,0.9,9.72202415792895
43,0.3,0.99,9.636696730777047
44,0.4,0.01,-9.366102802970172
45,0.4,0.1,-9.331642350001045
46,0.4,0.2,-9.249933370396793
47,0.4,0.3,-9.06373359571447
48,0.4,0.4,-8.696694413662032
49,0.4,0.5,-7.37320034883827
50,0.4,0.6,2.0131503927772068
51,0.4,0.7,9.435727214219366
52,0.4,0.8,9.863727902663108
53,0.4,0.9,9.866426188002585
54,0.4,0.99,9.836840282714231
55,0.5,0.01,-9.562169123850117
56,0.5,0.1,-9.485245451297937
57,0.5,0.2,-9.358344274537755
58,0.5,0.3,-9.011588966400065
59,0.5,0.4,-7.739852075601544
60,0.5,0.5,1.8887995078236663
61,0.5,0.6,9.259816920950787
62,0.5,0.7,9.841289354420603
63,0.5,0.8,9.921828987332951
64,0.5,0.9,9.9253180202303
65,0.5,0.99,9.918361332436604
66,0.6,0.01,-9.625936090594434
67,0.6,0.1,-9.520010649592162
68,0.6,0.2,-9.229882554221206
69,0.6,0.3,-8.132430397872906
70,0.6,0.4,1.2014867720477258
71,0.6,0.5,9.149497114595764
72,0.6,0.6,9.812903401751228
73,0.6,0.7,9.916016295894522
74,0.6,0.8,9.946189252987342
75,0.6,0.9,9.95391933979414
76,0.6,0.99,9.949320878360158
77,0.7,0.01,-9.64278253022895
78,0.7,0.1,-9.438936171132438
79,0.7,0.2,-8.48320122799197
80,0.7,0.3,1.1556435190127337
81,0.7,0.4,9.177402271996023
82,0.7,0.5,9.792675316589273
83,0.7,0.6,9.911760483199025
84,0.7,0.7,9.945987697899133
85,0.7,0.8,9.961676565701033
86,0.7,0.9,9.967339162538183
87,0.7,0.99,9.968138667903307
88,0.8,0.01,-9.587377309931766
89,0.8,0.1,-8.906050072075875
90,0.8,0.2,0.6022252977499937
91,0.8,0.3,9.275725827822939
92,0.8,0.4,9.813339347352926
93,0.8,0.5,9.914865036067383
94,0.8,0.6,9.946169508814009
95,0.8,0.7,9.96150482378577
96,0.8,0.8,9.970554148108492
97,0.8,0.9,9.976165203514482
98,0.8,0.99,9.978663396229054
99,0.9,0.01,-9.30900877233651
100,0.9,0.1,0.32259628652459454
101,0.9,0.2,9.50497336577364
102,0.9,0.3,9.851695162175037
103,0.9,0.4,9.925421425888372
104,0.9,0.5,9.950933515334059
105,0.9,0.6,9.962891665058612
106,0.9,0.7,9.970320595715398
107,0.9,0.8,9.977675147877274
108,0.9,0.9,9.981851593325278
109,0.9,0.99,9.984380520777634
110,0.99,0.01,-0.5266126738120759
111,0.99,0.1,9.824305371150315
112,0.99,0.2,9.920789233064546
113,0.99,0.3,9.945230908690498
114,0.99,0.4,9.959911618432063
115,0.99,0.5,9.967386942200278
116,0.99,0.6,9.972835666059307
117,0.99,0.7,9.976960838845748
118,0.99,0.8,9.982259050763872
119,0.99,0.9,9.986487992977096
120,0.99,0.99,9.988713499057402
