,P,cost,value
0,0.01,0.01,-1.8209341638967647
1,0.01,0.1,-1.796977291668522
2,0.01,0.2,-1.693203644651811
3,0.01,0.3,-1.7216994536075756
4,0.01,0.4,-1.5875845354422364
5,0.01,0.5,-1.5158279934893673
6,0.01,0.6,-1.6070183351206806
7,0.01,0.7,-1.49575407774321
8,0.01,0.8,-1.3058540485008694
9,0.01,0.9,-0.9150393361392162
10,0.01,0.99,6.747191433075389
11,0.1,0.01,0.22823243750115005
12,0.1,0.1,0.27643970459013456
13,0.1,0.2,0.23455252290404835
14,0.1,0.3,0.26052161360992643
15,0.1,0.4,0.3635782853035135
16,0.1,0.5,0.4142136410070308
17,0.1,0.6,0.601925898603909
18,0.1,0.7,0.8109925558931297
19,0.1,0.8,1.5199997123364164
20,0.1,0.9,4.367820468062906
21,0.1,0.99,1.5395270164120745
22,0.2,0.01,0.2899883298997195
23,0.2,0.1,0.257957633093257
24,0.2,0.2,0.3071187310701761
25,0.2,0.3,0.39085831637327806
26,0.2,0.4,0.4529566827386484
27,0.2,0.5,0.6495368890868171
28,0.2,0.6,0.9176739042309205
29,0.2,0.7,1.6806738771362646
30,0.2,0.8,3.608305939362622
31,0.2,0.9,1.5694972798207099
32,0.2,0.99,0.8316159379052401
33,0.3,0.01,0.2909326453999149
34,0.3,0.1,0.35114618135644016
35,0.3,0.2,0.3833374664778128
36,0.3,0.3,0.5128261274943645
37,0.3,0.4,0.6347268154143272
38,0.3,0.5,0.904333814881811
39,0.3,0.6,1.7187641708632115
40,0.3,0.7,3.3571846251784763
41,0.3,0.8,1.6263009373326043
42,0.3,0.9,0.8689684122453016
43,0.3,0.99,0.5690936356324257
44,0.4,0.01,0.34597715632402776
45,0.4,0.1,0.3787239399743234
46,0.4,0.2,0.483144376478452
47,0.4,0.3,0.6564936129372765
48,0.4,0.4,0.9545254890350913
49,0.4,0.5,1.670112997167145
50,0.4,0.6,3.206192963712518
51,0.4,0.7,1.6263175805576446
52,0.4,0.8,0.8967652825792971
53,0.4,0.9,0.5723917432255115
54,0.4,0.99,0.44221337687672047
55,0.5,0.01,0.38113232600876373
56,0.5,0.1,0.4627141058789055
57,0.5,0.2,0.5786240335730439
58,0.5,0.3,0.9093585952326992
59,0.5,0.4,1.6981235072261514
60,0.5,0.5,3.146561237543885
61,0.5,0.6,1.6490767536415227
62,0.5,0.7,0.9364761218931499
63,0.5,0.8,0.6290378179329909
64,0.5,0.9,0.4953522127567406
65,0.5,0.99,0.37699709045085844
66,0.6,0.01,0.4716124511598368
67,0.6,0.1,0.6090726642952276
68,0.6,0.2,0.9372339643837345
69,0.6,0.3,1.6522371778239278
70,0.6,0.4,3.2885138314647637
71,0.6,0.5,1.6841732131342557
72,0.6,0.6,0.9456410572320794
73,0.6,0.7,0.6525952523767004
74,0.6,0.8,0.49504488660444523
75,0.6,0.9,0.3522270916555994
76,0.6,0.99,0.31617786598367037
77,0.7,0.01,0.5943704676458774
78,0.7,0.1,0.8492718423171366
79,0.7,0.2,1.6348019626628043
80,0.7,0.3,3.5147894038970637
81,0.7,0.4,1.6311216230962842
82,0.7,0.5,0.9498628873231514
83,0.7,0.6,0.6265970112104834
84,0.7,0.7,0.5133453713492321
85,0.7,0.8,0.39336332615311953
86,0.7,0.9,0.3344332029794705
87,0.7,0.99,0.292609196733024
88,0.8,0.01,0.8931866878748913
89,0.8,0.1,1.54067017435951
90,0.8,0.2,3.782807149527293
91,0.8,0.3,1.6455293100274853
92,0.8,0.4,0.9332830745093968
93,0.8,0.5,0.6583106510406704
94,0.8,0.6,0.49389436112677854
95,0.8,0.7,0.46134989601438886
96,0.8,0.8,0.33885164062241185
97,0.8,0.9,0.33611789485647314
98,0.8,0.99,0.25489514465601393
99,0.9,0.01,1.5654949462136705
100,0.9,0.1,4.578011097320973
101,0.9,0.2,1.5067738299328404
102,0.9,0.3,0.805579784648288
103,0.9,0.4,0.6101008506650414
104,0.9,0.5,0.4160501597843652
105,0.9,0.6,0.32105241340140167
106,0.9,0.7,0.3163008365128825
107,0.9,0.8,0.26118263491062604
108,0.9,0.9,0.24185034953259427
109,0.9,0.99,0.2478963963435708
110,0.99,0.01,7.809652493822224
111,0.99,0.1,-0.8457300838319947
112,0.99,0.2,-1.4432441459694596
113,0.99,0.3,-1.5901015957221465
114,0.99,0.4,-1.5625658007175371
115,0.99,0.5,-1.6204109331882388
116,0.99,0.6,-1.6770902279515951
117,0.99,0.7,-1.7190741801849765
118,0.99,0.8,-1.5878106517980384
119,0.99,0.9,-1.6946379185342964
120,0.99,0.99,-1.7150262204699809
