,P,cost,value
0,0.01,0.01,9.999850708045871
1,0.01,0.1,9.999908230448542
2,0.01,0.2,9.999922971388141
3,0.01,0.3,9.999775675174728
4,0.01,0.4,9.999584600581334
5,0.01,0.5,9.999205369614527
6,0.01,0.6,9.998173781567449
7,0.01,0.7,9.99730959066056
8,0.01,0.8,9.994806709029112
9,0.01,0.9,9.978272646667651
10,0.01,0.99,8.056360130042856
11,0.1,0.01,9.999513294286693
12,0.1,0.1,9.9994601360786
13,0.1,0.2,9.998852776112056
14,0.1,0.3,9.997667206048483
15,0.1,0.4,9.995843132645646
16,0.1,0.5,9.992005389441012
17,0.1,0.6,9.98089492178069
18,0.1,0.7,9.955374759864045
19,0.1,0.8,9.817611644746565
20,0.1,0.9,4.91708896113492
21,0.1,0.99,9.873755135215013
22,0.2,0.01,9.999329091649178
23,0.2,0.1,9.998898808868592
24,0.2,0.2,9.997357726604164
25,0.2,0.3,9.994010562446217
26,0.2,0.4,9.988373573270513
27,0.2,0.5,9.974208318431431
28,0.2,0.6,9.923064778319986
29,0.2,0.7,9.59377375498744
30,0.2,0.8,3.5300422639278857
31,0.2,0.9,9.612401802866854
32,0.2,0.99,9.936650066499187
33,0.3,0.01,9.999147364131918
34,0.3,0.1,9.99813949873622
35,0.3,0.2,9.995040228912002
36,0.3,0.3,9.988298391942216
37,0.3,0.4,9.96954040803445
38,0.3,0.5,9.908364981494374
39,0.3,0.6,9.52165891797543
40,0.3,0.7,3.006803162405793
41,0.3,0.8,7.577148514851486
42,0.3,0.9,9.901017142012709
43,0.3,0.99,9.957083197872025
44,0.4,0.01,9.998901870568421
45,0.4,0.1,9.996890421442579
46,0.4,0.2,9.99059209534298
47,0.4,0.3,9.972021159452435
48,0.4,0.4,9.908511577538992
49,0.4,0.5,9.489522113435987
50,0.4,0.6,3.0804712850601623
51,0.4,0.7,0.22763528890202456
52,0.4,0.8,9.786107728683316
53,0.4,0.9,9.944892419092655
54,0.4,0.99,9.967999408896112
55,0.5,0.01,9.998645440836441
56,0.5,0.1,9.994943619372979
57,0.5,0.2,9.980708981501357
58,0.5,0.3,9.927614386657513
59,0.5,0.4,9.556777758270435
60,0.5,0.5,3.5529237315183115
61,0.5,0.6,0.6740721709138273
62,0.5,0.7,9.420019358652285
63,0.5,0.8,9.917979311363972
64,0.5,0.9,9.961621102408747
65,0.5,0.99,9.973845130781735
66,0.6,0.01,9.998130290343132
67,0.6,0.1,9.990216631004616
68,0.6,0.2,9.951785958131708
69,0.6,0.3,9.662257108350241
70,0.6,0.4,3.917890095511706
71,0.6,0.5,4.321877539711104
72,0.6,0.6,9.463615985986397
73,0.6,0.7,9.868761785133739
74,0.6,0.8,9.951728387764147
75,0.6,0.9,9.970494162849121
76,0.6,0.99,9.978471257573517
77,0.7,0.01,9.997272962000203
78,0.7,0.1,9.977542317502046
79,0.7,0.2,9.795554715705626
80,0.7,0.3,4.945803613897313
81,0.7,0.4,7.364675877946848
82,0.7,0.5,9.685645207643162
83,0.7,0.6,9.878891547051051
84,0.7,0.7,9.936912959952712
85,0.7,0.8,9.9650078321265
86,0.7,0.9,9.976243534801242
87,0.7,0.99,9.981284616521354
88,0.8,0.01,9.994756751085635
89,0.8,0.1,9.916441165115595
90,0.8,0.2,6.244683576656359
91,0.8,0.3,9.028801138907536
92,0.8,0.4,9.808745638678456
93,0.8,0.5,9.908665899865557
94,0.8,0.6,9.940180014832304
95,0.8,0.7,9.960288310920642
96,0.8,0.8,9.972343579134035
97,0.8,0.9,9.980127530663514
98,0.8,0.99,9.984471700901436
99,0.9,0.01,9.97026612312472
100,0.9,0.1,8.678385071023936
101,0.9,0.2,9.712339448693445
102,0.9,0.3,9.88219453615907
103,0.9,0.4,9.930031863293348
104,0.9,0.5,9.95115109113071
105,0.9,0.6,9.960462234775713
106,0.9,0.7,9.969908674449533
107,0.9,0.8,9.978346682429438
108,0.9,0.9,9.983360277818827
109,0.9,0.99,9.986357913403282
110,0.99,0.01,4.116931794639564
111,0.99,0.1,9.867478709427871
112,0.99,0.2,9.927493359158593
113,0.99,0.3,9.947279940020165
114,0.99,0.4,9.959927577211973
115,0.99,0.5,9.967022822606818
116,0.99,0.6,9.972315384466803
117,0.99,0.7,9.977219447317866
118,0.99,0.8,9.982663070784689
119,0.99,0.9,9.986301019654206
120,0.99,0.99,9.988511895965715
