,P,cost,value
0,0.01,0.01,9.999210299301156
1,0.01,0.1,9.999329672221254
2,0.01,0.2,9.999415903355667
3,0.01,0.3,9.99947176360563
4,0.01,0.4,9.999518352623152
5,0.01,0.5,9.999361227427585
6,0.01,0.6,9.998605195112999
7,0.01,0.7,9.996781139003852
8,0.01,0.8,9.991272493881386
9,0.01,0.9,9.93842257189004
10,0.01,0.99,1.149196182777949
11,0.1,0.01,9.98972104044267
12,0.1,0.1,9.990718534203937
13,0.1,0.2,9.992184695013325
14,0.1,0.3,9.993974285117595
15,0.1,0.4,9.994994132344022
16,0.1,0.5,9.993254048774698
17,0.1,0.6,9.982886005280267
18,0.1,0.7,9.94415529897511
19,0.1,0.8,9.672947165454337
20,0.1,0.9,0.7399778586253771
21,0.1,0.99,-9.125459415753303
22,0.2,0.01,9.962662272988883
23,0.2,0.1,9.966483332979696
24,0.2,0.2,9.972284650710266
25,0.2,0.3,9.979444435035782
26,0.2,0.4,9.984150920590476
27,0.2,0.5,9.979358565136373
28,0.2,0.6,9.928919068140491
29,0.2,0.7,9.491032441779248
30,0.2,0.8,0.9440831921744784
31,0.2,0.9,-8.587048283376863
32,0.2,0.99,-9.384114800409913
33,0.3,0.01,9.869662014973638
34,0.3,0.1,9.883245107851026
35,0.3,0.2,9.902025430562428
36,0.3,0.3,9.923780193200708
37,0.3,0.4,9.9486404730455
38,0.3,0.5,9.9351169570398
39,0.3,0.6,9.555651160020535
40,0.3,0.7,1.9222247730407107
41,0.3,0.8,-7.78377177767411
42,0.3,0.9,-8.979751847017619
43,0.3,0.99,-9.267067124236997
44,0.4,0.01,9.312929542228742
45,0.4,0.1,9.37180587380335
46,0.4,0.2,9.442550104554465
47,0.4,0.3,9.562934069612378
48,0.4,0.4,9.712535927957461
49,0.4,0.5,9.720799701430225
50,0.4,0.6,3.5009259625236213
51,0.4,0.7,-5.987470333989048
52,0.4,0.8,-7.6569911622381595
53,0.4,0.9,-8.19404940687557
54,0.4,0.99,-8.392180557497216
55,0.5,0.01,0.9012700802970959
56,0.5,0.1,1.1115232130620025
57,0.5,0.2,1.5645611118222014
58,0.5,0.3,2.260480434751872
59,0.5,0.4,4.0513950848565194
60,0.5,0.5,8.214605467610587
61,0.5,0.6,4.1069305509886735
62,0.5,0.7,2.38913026242405
63,0.5,0.8,1.581180845735938
64,0.5,0.9,1.0703894034942714
65,0.5,0.99,0.9930417482447007
66,0.6,0.01,-8.430037373286885
67,0.6,0.1,-8.245753202788205
68,0.6,0.2,-7.692642502707155
69,0.6,0.3,-6.102539215296481
70,0.6,0.4,3.773845997119913
71,0.6,0.5,9.607752248686358
72,0.6,0.6,9.640282034578792
73,0.6,0.7,9.507514886876365
74,0.6,0.8,9.421697841495634
75,0.6,0.9,9.348746588237066
76,0.6,0.99,9.30602312492087
77,0.7,0.01,-9.281883424492255
78,0.7,0.1,-9.023055986846847
79,0.7,0.2,-7.8534069208857264
80,0.7,0.3,1.9469930054659406
81,0.7,0.4,9.451342079672308
82,0.7,0.5,9.864444176228023
83,0.7,0.6,9.895336376039733
84,0.7,0.7,9.886797906589047
85,0.7,0.8,9.876971220460739
86,0.7,0.9,9.865294858385582
87,0.7,0.99,9.8519199029065
88,0.8,0.01,-9.41962460745622
89,0.8,0.1,-8.703982136552233
90,0.8,0.2,1.2726140788378104
91,0.8,0.3,9.420069312718656
92,0.8,0.4,9.860128825609905
93,0.8,0.5,9.9276230283311
94,0.8,0.6,9.94354568590629
95,0.8,0.7,9.949855887072767
96,0.8,0.8,9.95024263096752
97,0.8,0.9,9.950777367564402
98,0.8,0.99,9.950195532433447
99,0.9,0.01,-9.227329461321812
100,0.9,0.1,0.472314061902249
101,0.9,0.2,9.558338424009051
102,0.9,0.3,9.873213604571184
103,0.9,0.4,9.933501533535884
104,0.9,0.5,9.953923869973869
105,0.9,0.6,9.961531272580771
106,0.9,0.7,9.967650895055659
107,0.9,0.8,9.973313767561605
108,0.9,0.9,9.976282148352544
109,0.9,0.99,9.977653461421758
110,0.99,0.01,-0.5342884486362897
111,0.99,0.1,9.825445433244731
112,0.99,0.2,9.92271579615727
113,0.99,0.3,9.94682097775946
114,0.99,0.4,9.960540161967415
115,0.99,0.5,9.967130847746486
116,0.99,0.6,9.972600592604312
117,0.99,0.7,9.977070140896437
118,0.99,0.8,9.982414054329281
119,0.99,0.9,9.986004907426356
120,0.99,0.99,9.9880669355017
