,P,cost,value
0,0.01,0.01,9.993077587121343
1,0.01,0.1,9.99333605208635
2,0.01,0.2,9.993623161488882
3,0.01,0.3,9.994068562383823
4,0.01,0.4,9.994531782426394
5,0.01,0.5,9.995014787481383
6,0.01,0.6,9.995589381371385
7,0.01,0.7,9.995474174512184
8,0.01,0.8,9.992289785293734
9,0.01,0.9,9.951558239480148
10,0.01,0.99,1.285933988862786
11,0.1,0.01,9.87312623390478
12,0.1,0.1,9.875871666721196
13,0.1,0.2,9.880636357081457
14,0.1,0.3,9.88633463965089
15,0.1,0.4,9.892223586654424
16,0.1,0.5,9.899614034527552
17,0.1,0.6,9.900971477550197
18,0.1,0.7,9.881868113144458
19,0.1,0.8,9.681079582080645
20,0.1,0.9,1.152329782865908
21,0.1,0.99,-8.859685353884876
22,0.2,0.01,9.31892838766739
23,0.2,0.1,9.318629043816383
24,0.2,0.2,9.327249438251402
25,0.2,0.3,9.349723773856969
26,0.2,0.4,9.358577392199447
27,0.2,0.5,9.385093975120148
28,0.2,0.6,9.36731828249468
29,0.2,0.7,9.075470574787005
30,0.2,0.8,1.406708695268479
31,0.2,0.9,-7.7741976994506
32,0.2,0.99,-8.614514512264229
33,0.3,0.01,7.832470069459783
34,0.3,0.1,7.847563843499068
35,0.3,0.2,7.887231834162227
36,0.3,0.3,7.920417796253823
37,0.3,0.4,7.948034210655854
38,0.3,0.5,7.990424090115546
39,0.3,0.6,7.820347580549045
40,0.3,0.7,2.0088158839918737
41,0.3,0.8,-5.878388575510539
42,0.3,0.9,-6.964533894620873
43,0.3,0.99,-7.218684636295047
44,0.4,0.01,4.994578493288459
45,0.4,0.1,5.0088717372710345
46,0.4,0.2,5.065216528083115
47,0.4,0.3,5.162605318500199
48,0.4,0.4,5.260712002299487
49,0.4,0.5,5.37428738489814
50,0.4,0.6,2.2967167878829233
51,0.4,0.7,-2.9301480057613367
52,0.4,0.8,-3.94803912900407
53,0.4,0.9,-4.2344550242868015
54,0.4,0.99,-4.389131662441327
55,0.5,0.01,0.29141148212792617
56,0.5,0.1,0.3703729209899642
57,0.5,0.2,0.49776464650043917
58,0.5,0.3,0.7263169317377365
59,0.5,0.4,1.2643671320160046
60,0.5,0.5,2.526099938574744
61,0.5,0.6,1.2550662945614146
62,0.5,0.7,0.7484883419763237
63,0.5,0.8,0.4908743540912641
64,0.5,0.9,0.3324696853556652
65,0.5,0.99,0.3045068177212216
66,0.6,0.01,-4.412432156220845
67,0.6,0.1,-4.290867413056395
68,0.6,0.2,-3.9781812306642577
69,0.6,0.3,-2.9877911730548186
70,0.6,0.4,2.3978303647676342
71,0.6,0.5,5.306336185017022
72,0.6,0.6,5.254315554591046
73,0.6,0.7,5.127391139195485
74,0.6,0.8,5.064457914724059
75,0.6,0.9,5.001542376727097
76,0.6,0.99,4.981278277385593
77,0.7,0.01,-7.218238183526237
78,0.7,0.1,-6.990827093270316
79,0.7,0.2,-5.935639892136052
80,0.7,0.3,2.124222320117439
81,0.7,0.4,7.720254678761665
82,0.7,0.5,7.934818233882119
83,0.7,0.6,7.914611357220386
84,0.7,0.7,7.869166643955232
85,0.7,0.8,7.879962604053347
86,0.7,0.9,7.859485362132467
87,0.7,0.99,7.831655459552946
88,0.8,0.01,-8.643579928955168
89,0.8,0.1,-7.894003051346234
90,0.8,0.2,1.7523404411669716
91,0.8,0.3,9.01320235198216
92,0.8,0.4,9.299946854049574
93,0.8,0.5,9.320523176741306
94,0.8,0.6,9.32564514853954
95,0.8,0.7,9.319547603228123
96,0.8,0.8,9.303023992706878
97,0.8,0.9,9.302250268043888
98,0.8,0.99,9.292926383454779
99,0.9,0.01,-8.960237782690507
100,0.9,0.1,0.917944545721503
101,0.9,0.2,9.570209966978124
102,0.9,0.3,9.8123951841045
103,0.9,0.4,9.851997181732022
104,0.9,0.5,9.860127178843992
105,0.9,0.6,9.859430592322823
106,0.9,0.7,9.862135329213288
107,0.9,0.8,9.864065765123929
108,0.9,0.9,9.862860992396543
109,0.9,0.99,9.863248791830843
110,0.99,0.01,-0.370050227582197
111,0.99,0.1,9.837494578913482
112,0.99,0.2,9.924550220435481
113,0.99,0.3,9.945732077875645
114,0.99,0.4,9.957150774962763
115,0.99,0.5,9.963565809966962
116,0.99,0.6,9.968276838441327
117,0.99,0.7,9.972209977944651
118,0.99,0.8,9.9772247201861
119,0.99,0.9,9.980854433060834
120,0.99,0.99,9.982319409909936
