,P,cost,value
0,0.01,0.01,-0.993420394172337
1,0.01,0.1,-0.9007778180487035
2,0.01,0.2,-1.0200918863904158
3,0.01,0.3,-0.9727681283586322
4,0.01,0.4,-0.7320001595419858
5,0.01,0.5,-0.9190899941629096
6,0.01,0.6,-0.7925667446978073
7,0.01,0.7,-0.8465885747414317
8,0.01,0.8,-0.6667794775518705
9,0.01,0.9,0.03575303386435158
10,0.01,0.99,8.140820632255746
11,0.1,0.01,-0.16622168867020864
12,0.1,0.1,-0.07868918473990028
13,0.1,0.2,-0.09185796824209856
14,0.1,0.3,0.007088686565898504
15,0.1,0.4,0.05269346881178158
16,0.1,0.5,0.24919924342176136
17,0.1,0.6,0.38778721030197166
18,0.1,0.7,0.950557550872698
19,0.1,0.8,2.2437645787508016
20,0.1,0.9,8.110369462002819
21,0.1,0.99,3.2903256606260807
22,0.2,0.01,0.22542378935713947
23,0.2,0.1,0.33484590207794585
24,0.2,0.2,0.3707228541001623
25,0.2,0.3,0.4116563939641562
26,0.2,0.4,0.5511771173455866
27,0.2,0.5,1.0078489528193795
28,0.2,0.6,1.4970711904810425
29,0.2,0.7,3.1642862514403114
30,0.2,0.8,8.162233304963959
31,0.2,0.9,3.5885855076240074
32,0.2,0.99,2.1162142475425902
33,0.3,0.01,0.5447153084893318
34,0.3,0.1,0.4939706223928497
35,0.3,0.2,0.7861309420034026
36,0.3,0.3,0.9463324335912727
37,0.3,0.4,1.222080345347338
38,0.3,0.5,1.9408670391315541
39,0.3,0.6,3.5389338684414486
40,0.3,0.7,8.003209417787488
41,0.3,0.8,3.903693616233628
42,0.3,0.9,2.2384701848790742
43,0.3,0.99,1.5934890964120516
44,0.4,0.01,0.636057615098154
45,0.4,0.1,0.8831060936344366
46,0.4,0.2,0.9932348067039566
47,0.4,0.3,1.515791039068459
48,0.4,0.4,2.0738873847764387
49,0.4,0.5,3.929977911036764
50,0.4,0.6,7.969934264210355
51,0.4,0.7,3.9872961971642495
52,0.4,0.8,2.1592237959298046
53,0.4,0.9,1.5767723036110506
54,0.4,0.99,1.1437527647386612
55,0.5,0.01,0.8713747400361266
56,0.5,0.1,1.0684565484526762
57,0.5,0.2,1.5929547042345993
58,0.5,0.3,2.2519001230169273
59,0.5,0.4,3.960567142245612
60,0.5,0.5,8.054261976267274
61,0.5,0.6,3.9889240569602658
62,0.5,0.7,2.3271643127192614
63,0.5,0.8,1.5517721640618343
64,0.5,0.9,0.9813389358618946
65,0.5,0.99,0.925695663456741
66,0.6,0.01,1.1217250305901718
67,0.6,0.1,1.3654765460023475
68,0.6,0.2,2.247192835400237
69,0.6,0.3,4.131189780125604
70,0.6,0.4,8.15551092673343
71,0.6,0.5,3.8920238502490863
72,0.6,0.6,2.2105288041830287
73,0.6,0.7,1.4641458982071125
74,0.6,0.8,1.099726454655633
75,0.6,0.9,0.6928343175075398
76,0.6,0.99,0.7102337974514321
77,0.7,0.01,1.5652034138035207
78,0.7,0.1,2.1087661867373466
79,0.7,0.2,3.9378698374082335
80,0.7,0.3,8.29010176305162
81,0.7,0.4,3.5381261575501344
82,0.7,0.5,1.914167776140766
83,0.7,0.6,1.2944356309495506
84,0.7,0.7,0.878412699541381
85,0.7,0.8,0.8031289588538847
86,0.7,0.9,0.6054422619131117
87,0.7,0.99,0.5742484119717501
88,0.8,0.01,2.1661558643564445
89,0.8,0.1,3.545085144805204
90,0.8,0.2,8.392506775133747
91,0.8,0.3,3.104273249413567
92,0.8,0.4,1.4141808630856616
93,0.8,0.5,0.8959481514410339
94,0.8,0.6,0.6825835945966525
95,0.8,0.7,0.49568165944567416
96,0.8,0.8,0.5055657267780782
97,0.8,0.9,0.2671176971852745
98,0.8,0.99,0.25003812147382404
99,0.9,0.01,3.358911914798912
100,0.9,0.1,8.698358236140212
101,0.9,0.2,2.2110743137155318
102,0.9,0.3,0.9619909100351678
103,0.9,0.4,0.7173111848881776
104,0.9,0.5,0.32795783122075534
105,0.9,0.6,0.16012327292566986
106,0.9,0.7,-0.029389721112099032
107,0.9,0.8,0.07181756112226857
108,0.9,0.9,0.043240260750307055
109,0.9,0.99,-0.11467200685686725
110,0.99,0.01,9.540326549657044
111,0.99,0.1,0.06527363909597861
112,0.99,0.2,-0.4744398884010912
113,0.99,0.3,-0.7109230581364663
114,0.99,0.4,-0.8401690392212979
115,0.99,0.5,-0.7865765879777514
116,0.99,0.6,-0.8892572049897575
117,0.99,0.7,-0.902212740803683
118,0.99,0.8,-0.8656451522532929
119,0.99,0.9,-0.9365367718019817
120,0.99,0.99,-0.9267564702044013
