,P,cost,value
0,0.01,0.01,-1.6847693627650955
1,0.01,0.1,-1.554994830593812
2,0.01,0.2,-1.696753984815503
3,0.01,0.3,-1.6419982875854011
4,0.01,0.4,-1.4777693292450462
5,0.01,0.5,-1.662463861678959
6,0.01,0.6,-1.468045014762839
7,0.01,0.7,-1.5466970592581646
8,0.01,0.8,-1.3799649850380968
9,0.01,0.9,-0.7107496675040638
10,0.01,0.99,7.625968984982791
11,0.1,0.01,-0.18560807592740652
12,0.1,0.1,-0.19751892151468903
13,0.1,0.2,-0.1786790821513755
14,0.1,0.3,-0.07943972782426886
15,0.1,0.4,-0.1248822799457654
16,0.1,0.5,0.1515289933914748
17,0.1,0.6,0.36278721275011083
18,0.1,0.7,0.7698818759946534
19,0.1,0.8,1.9409535352668148
20,0.1,0.9,7.461079385231106
21,0.1,0.99,3.1231613635440985
22,0.2,0.01,0.2228851584272034
23,0.2,0.1,0.3598756347807131
24,0.2,0.2,0.4035158928511988
25,0.2,0.3,0.47128852734191035
26,0.2,0.4,0.6842963023910102
27,0.2,0.5,0.9820152738637462
28,0.2,0.6,1.4049985925624071
29,0.2,0.7,2.8886636746872325
30,0.2,0.8,7.525149628721418
31,0.2,0.9,3.136778163319618
32,0.2,0.99,1.8838373954297019
33,0.3,0.01,0.5247712648417968
34,0.3,0.1,0.5215782268170313
35,0.3,0.2,0.8290015831649272
36,0.3,0.3,0.9698495461104266
37,0.3,0.4,1.3212869459422036
38,0.3,0.5,1.9024503271724058
39,0.3,0.6,3.3440280009818792
40,0.3,0.7,7.443683778211689
41,0.3,0.8,3.480658483370638
42,0.3,0.9,1.8736618913237217
43,0.3,0.99,1.3329450908115625
44,0.4,0.01,0.6839671504679635
45,0.4,0.1,0.9558445796980725
46,0.4,0.2,1.1733609245471714
47,0.4,0.3,1.5199333261283765
48,0.4,0.4,2.109457111467665
49,0.4,0.5,3.716531470873578
50,0.4,0.6,7.382349820720541
51,0.4,0.7,3.504276167252462
52,0.4,0.8,1.9343730711700111
53,0.4,0.9,1.2348517264477314
54,0.4,0.99,0.8940377010327429
55,0.5,0.01,1.036590406775109
56,0.5,0.1,1.2630734910266774
57,0.5,0.2,1.6427682512597643
58,0.5,0.3,2.2729042269064865
59,0.5,0.4,3.9052183341769875
60,0.5,0.5,7.485026408827551
61,0.5,0.6,3.4437791884695375
62,0.5,0.7,1.8925573555483821
63,0.5,0.8,1.2505571676481655
64,0.5,0.9,0.7280403622898395
65,0.5,0.99,0.6549934514540806
66,0.6,0.01,1.2534437639238543
67,0.6,0.1,1.435367899148261
68,0.6,0.2,2.2980676738262633
69,0.6,0.3,3.9942504863777293
70,0.6,0.4,7.547973405354006
71,0.6,0.5,3.4165275589087054
72,0.6,0.6,1.770499715950626
73,0.6,0.7,1.14358242137456
74,0.6,0.8,0.7800586829033762
75,0.6,0.9,0.48066761884117004
76,0.6,0.99,0.44064900274608465
77,0.7,0.01,1.8114542261593427
78,0.7,0.1,2.0707864793056645
79,0.7,0.2,3.8132265154106317
80,0.7,0.3,7.679993920794504
81,0.7,0.4,3.034742844361329
82,0.7,0.5,1.6427338998478418
83,0.7,0.6,0.9580634719343233
84,0.7,0.7,0.6044733848998111
85,0.7,0.8,0.47580485441830583
86,0.7,0.9,0.34634767334312083
87,0.7,0.99,0.265373391242441
88,0.8,0.01,2.261529049485244
89,0.8,0.1,3.6188691120672267
90,0.8,0.2,7.770100630908305
91,0.8,0.3,2.6101289571640063
92,0.8,0.4,0.9615311478531106
93,0.8,0.5,0.5532311726933504
94,0.8,0.6,0.32443744860757906
95,0.8,0.7,0.18199971184702315
96,0.8,0.8,0.18720119874773897
97,0.8,0.9,-0.03221079263056495
98,0.8,0.99,-0.03834160487325057
99,0.9,0.01,3.453645118746031
100,0.9,0.1,8.021673627614073
101,0.9,0.2,1.636946785356015
102,0.9,0.3,0.40111849407806455
103,0.9,0.4,0.18540674902683865
104,0.9,0.5,-0.11416990654469385
105,0.9,0.6,-0.36484596923103885
106,0.9,0.7,-0.49782821098771723
107,0.9,0.8,-0.3948984032826618
108,0.9,0.9,-0.40905017131999116
109,0.9,0.99,-0.5668408642784935
110,0.99,0.01,8.648341542218583
111,0.99,0.1,-1.6876324523343582
112,0.99,0.2,-2.1951632319897336
113,0.99,0.3,-2.414466933388721
114,0.99,0.4,-2.4798691722782005
115,0.99,0.5,-2.519814406472543
116,0.99,0.6,-2.5981408413862495
117,0.99,0.7,-2.6043365965146634
118,0.99,0.8,-2.497362467314679
119,0.99,0.9,-2.6589534441340734
120,0.99,0.99,-2.705582380275191
