,P,cost,value
0,0.01,0.01,-2.293260311828246
1,0.01,0.1,-2.243017457981615
2,0.01,0.2,-2.3274271427301687
3,0.01,0.3,-2.28984450000958
4,0.01,0.4,-2.083091376056446
5,0.01,0.5,-2.1865840044642577
6,0.01,0.6,-2.132762458715508
7,0.01,0.7,-2.107859610016092
8,0.01,0.8,-1.9677202541642305
9,0.01,0.9,-1.3517345203399973
10,0.01,0.99,6.955783003682705
11,0.1,0.01,0.6276017136627412
12,0.1,0.1,0.7085368551793962
13,0.1,0.2,0.6747002522436112
14,0.1,0.3,0.7454891617623189
15,0.1,0.4,0.8298554158641278
16,0.1,0.5,0.9098476628267317
17,0.1,0.6,1.0174882456777354
18,0.1,0.7,1.4475572200739664
19,0.1,0.8,2.2654006456556437
20,0.1,0.9,5.671655771552934
21,0.1,0.99,1.608162724612734
22,0.2,0.01,0.4927859123301096
23,0.2,0.1,0.5983053510474479
24,0.2,0.2,0.6138976672076727
25,0.2,0.3,0.6377113321279532
26,0.2,0.4,0.6997191038350902
27,0.2,0.5,0.9553099591671286
28,0.2,0.6,1.2257129195782925
29,0.2,0.7,2.1067633484753716
30,0.2,0.8,4.237703112557614
31,0.2,0.9,1.6647623256452981
32,0.2,0.99,0.7977018389333662
33,0.3,0.01,0.4112480425931759
34,0.3,0.1,0.4658545015437101
35,0.3,0.2,0.5510026166620641
36,0.3,0.3,0.6279126708705346
37,0.3,0.4,0.7664068285612435
38,0.3,0.5,1.0944789259264147
39,0.3,0.6,1.863306590536908
40,0.3,0.7,3.5450029509459426
41,0.3,0.8,1.6309835926143128
42,0.3,0.9,0.8507903095684638
43,0.3,0.99,0.5502611590955993
44,0.4,0.01,0.38771285287859786
45,0.4,0.1,0.4256746065011429
46,0.4,0.2,0.5232454378981547
47,0.4,0.3,0.7059868240095784
48,0.4,0.4,0.9694687647930371
49,0.4,0.5,1.783506913312335
50,0.4,0.6,3.2528189605832414
51,0.4,0.7,1.6523458135482405
52,0.4,0.8,0.8732984044330211
53,0.4,0.9,0.5958619878372765
54,0.4,0.99,0.4186006263760142
55,0.5,0.01,0.375354129943768
56,0.5,0.1,0.47389030781914965
57,0.5,0.2,0.6386611584066105
58,0.5,0.3,0.9299070769706006
59,0.5,0.4,1.6512925432742542
60,0.5,0.5,3.266742356499608
61,0.5,0.6,1.6432022432373026
62,0.5,0.7,0.9514476156133295
63,0.5,0.8,0.6336464383161124
64,0.5,0.9,0.4439395932545593
65,0.5,0.99,0.3887748853697571
66,0.6,0.01,0.40986279609820936
67,0.6,0.1,0.5239450352652968
68,0.6,0.2,0.8626157709449865
69,0.6,0.3,1.6654313413608202
70,0.6,0.4,3.2369858531939237
71,0.6,0.5,1.701756603165257
72,0.6,0.6,1.0057309461520036
73,0.6,0.7,0.6832928196644883
74,0.6,0.8,0.5548477107069074
75,0.6,0.9,0.4018277964151479
76,0.6,0.99,0.3745044740116775
77,0.7,0.01,0.5708125696572527
78,0.7,0.1,0.8199963221502538
79,0.7,0.2,1.6527293320532823
80,0.7,0.3,3.7532220556761025
81,0.7,0.4,1.7571981913634698
82,0.7,0.5,1.0917670484502464
83,0.7,0.6,0.8007763562711459
84,0.7,0.7,0.6008441551950151
85,0.7,0.8,0.5207869033631989
86,0.7,0.9,0.4740996080870591
87,0.7,0.99,0.4323821386289989
88,0.8,0.01,0.7974978191141525
89,0.8,0.1,1.6318687551361424
90,0.8,0.2,4.527675762848991
91,0.8,0.3,2.0765317826072023
92,0.8,0.4,1.155769104771613
93,0.8,0.5,0.9084989184753014
94,0.8,0.6,0.7565563074236398
95,0.8,0.7,0.6584600603788495
96,0.8,0.8,0.6806365307928406
97,0.8,0.9,0.5586697115529365
98,0.8,0.99,0.5447887255963922
99,0.9,0.01,1.6397160714582928
100,0.9,0.1,5.9699802964225555
101,0.9,0.2,2.2638814932644467
102,0.9,0.3,1.3769276222120412
103,0.9,0.4,1.2128910187637685
104,0.9,0.5,0.964004284357508
105,0.9,0.6,0.8380213545143417
106,0.9,0.7,0.6838633392227669
107,0.9,0.8,0.8005906941842312
108,0.9,0.9,0.7542652174028373
109,0.9,0.99,0.6685281550981335
110,0.99,0.01,8.494164028185804
111,0.99,0.1,-1.2948298602193422
112,0.99,0.2,-1.7932496878669983
113,0.99,0.3,-2.0074267390241762
114,0.99,0.4,-2.0712770214302987
115,0.99,0.5,-2.102480898809869
116,0.99,0.6,-2.185768454561294
117,0.99,0.7,-2.192304900187235
118,0.99,0.8,-2.081314572592517
119,0.99,0.9,-2.2488510236789434
120,0.99,0.99,-2.281004732365782
