,P,cost,value
0,0.01,0.01,-0.7424333966167092
1,0.01,0.1,-0.6248068550499676
2,0.01,0.2,-0.6295856562518196
3,0.01,0.3,-0.6162920756217647
4,0.01,0.4,-0.5353586920057077
5,0.01,0.5,-0.47012296570554013
6,0.01,0.6,-0.5431947131563658
7,0.01,0.7,-0.4933746746643781
8,0.01,0.8,-0.20915114325739875
9,0.01,0.9,0.2804871337897984
10,0.01,0.99,8.419178067622962
11,0.1,0.01,0.085035794768673
12,0.1,0.1,0.11404722637659948
13,0.1,0.2,0.14572317106026805
14,0.1,0.3,0.2161955617966685
15,0.1,0.4,0.32124933481940976
16,0.1,0.5,0.4416741493509978
17,0.1,0.6,0.8097386868999779
18,0.1,0.7,1.2027418858692558
19,0.1,0.8,2.527550675589959
20,0.1,0.9,8.414184147123263
21,0.1,0.99,3.1307487023341087
22,0.2,0.01,0.3248345499864226
23,0.2,0.1,0.3600668805328029
24,0.2,0.2,0.4167453662405774
25,0.2,0.3,0.6111159731988512
26,0.2,0.4,0.7859264706075809
27,0.2,0.5,1.1801111921842102
28,0.2,0.6,1.7333716734962148
29,0.2,0.7,3.4724420764210047
30,0.2,0.8,8.167240861647224
31,0.2,0.9,3.6364272406667126
32,0.2,0.99,2.0310042219705378
33,0.3,0.01,0.478344812811562
34,0.3,0.1,0.656891664149654
35,0.3,0.2,0.7504772910976074
36,0.3,0.3,1.0611326341596599
37,0.3,0.4,1.3048723069151054
38,0.3,0.5,1.9527802991945062
39,0.3,0.6,3.839583838094702
40,0.3,0.7,8.0991595667341
41,0.3,0.8,3.9793041217078806
42,0.3,0.9,2.16544417720051
43,0.3,0.99,1.4244917630551917
44,0.4,0.01,0.7936295734421229
45,0.4,0.1,0.8387249870066453
46,0.4,0.2,1.0467564377329213
47,0.4,0.3,1.518664586848174
48,0.4,0.4,2.196078672931611
49,0.4,0.5,3.987562346312272
50,0.4,0.6,8.067550799078676
51,0.4,0.7,4.099865726737953
52,0.4,0.8,2.2495522617581125
53,0.4,0.9,1.4556082023184647
54,0.4,0.99,1.1225588121821266
55,0.5,0.01,0.9436871778826119
56,0.5,0.1,1.0936849562873447
57,0.5,0.2,1.4007146046339758
58,0.5,0.3,2.217433304922186
59,0.5,0.4,4.113130336330759
60,0.5,0.5,8.294258127834059
61,0.5,0.6,4.1305784537536265
62,0.5,0.7,2.308319029410924
63,0.5,0.8,1.5254384144027004
64,0.5,0.9,1.2205114033850593
65,0.5,0.99,0.9537382650169351
66,0.6,0.01,1.2462088652059158
67,0.6,0.1,1.574170431860698
68,0.6,0.2,2.3574658497742607
69,0.6,0.3,4.078397676650258
70,0.6,0.4,8.298822998012096
71,0.6,0.5,4.037437883663014
72,0.6,0.6,2.2259134721107507
73,0.6,0.7,1.5551596982950517
74,0.6,0.8,1.091798421970457
75,0.6,0.9,0.7475395805899772
76,0.6,0.99,0.706968766376703
77,0.7,0.01,1.5352471129991938
78,0.7,0.1,2.131795193442578
79,0.7,0.2,3.925899695302938
80,0.7,0.3,8.433251263013869
81,0.7,0.4,3.6553083137279057
82,0.7,0.5,2.0893840621751814
83,0.7,0.6,1.3076330360244148
84,0.7,0.7,1.078764738076117
85,0.7,0.8,0.7387408595218502
86,0.7,0.9,0.6444610795135158
87,0.7,0.99,0.5054229386522545
88,0.8,0.01,2.145734643236951
89,0.8,0.1,3.5632596175133897
90,0.8,0.2,8.619129390874082
91,0.8,0.3,3.304247841823069
92,0.8,0.4,1.7935267815956535
93,0.8,0.5,1.1668907768925088
94,0.8,0.6,0.8733061238640607
95,0.8,0.7,0.7143807594763625
96,0.8,0.8,0.4756541174094043
97,0.8,0.9,0.4530521874068131
98,0.8,0.99,0.321874932688041
99,0.9,0.01,3.2508118296850794
100,0.9,0.1,8.85331264724532
101,0.9,0.2,2.464011626816838
102,0.9,0.3,1.1901532613873358
103,0.9,0.4,0.8301108473990549
104,0.9,0.5,0.4284506191085146
105,0.9,0.6,0.31161705275177776
106,0.9,0.7,0.2786575317755653
107,0.9,0.8,0.08784631285138933
108,0.9,0.9,0.16492941148969611
109,0.9,0.99,0.17325084830165607
110,0.99,0.01,9.565549384001264
111,0.99,0.1,0.31240974447345315
112,0.99,0.2,-0.37482191021365807
113,0.99,0.3,-0.4885538219324971
114,0.99,0.4,-0.5006211490985362
115,0.99,0.5,-0.6585760446303058
116,0.99,0.6,-0.6053635225116235
117,0.99,0.7,-0.6601921746342709
118,0.99,0.8,-0.5057259622764594
119,0.99,0.9,-0.6581444685410853
120,0.99,0.99,-0.5571699507571697
