,P,cost,value
0,0.01,0.01,-10.0
1,0.01,0.1,-10.0
2,0.01,0.2,-10.0
3,0.01,0.3,-10.0
4,0.01,0.4,-10.0
5,0.01,0.5,-10.0
6,0.01,0.6,-10.0
7,0.01,0.7,-10.0
8,0.01,0.8,-10.0
9,0.01,0.9,-10.0
10,0.01,0.99,-10.0
11,0.1,0.01,-10.0
12,0.1,0.1,-10.0
13,0.1,0.2,-10.0
14,0.1,0.3,-10.0
15,0.1,0.4,-10.0
16,0.1,0.5,-10.0
17,0.1,0.6,-10.0
18,0.1,0.7,-10.0
19,0.1,0.8,-10.0
20,0.1,0.9,-10.0
21,0.1,0.99,-10.0
22,0.2,0.01,-10.0
23,0.2,0.1,-10.0
24,0.2,0.2,-10.0
25,0.2,0.3,-10.0
26,0.2,0.4,-10.0
27,0.2,0.5,-10.0
28,0.2,0.6,-10.0
29,0.2,0.7,-10.0
30,0.2,0.8,-10.0
31,0.2,0.9,-10.0
32,0.2,0.99,-10.0
33,0.3,0.01,-10.0
34,0.3,0.1,-10.0
35,0.3,0.2,-10.0
36,0.3,0.3,-10.0
37,0.3,0.4,-10.0
38,0.3,0.5,-10.0
39,0.3,0.6,-10.0
40,0.3,0.7,-10.0
41,0.3,0.8,-10.0
42,0.3,0.9,-10.0
43,0.3,0.99,-10.0
44,0.4,0.01,-10.0
45,0.4,0.1,-10.0
46,0.4,0.2,-10.0
47,0.4,0.3,-10.0
48,0.4,0.4,-10.0
49,0.4,0.5,-10.0
50,0.4,0.6,-10.0
51,0.4,0.7,-10.0
52,0.4,0.8,-10.0
53,0.4,0.9,-10.0
54,0.4,0.99,-10.0
55,0.5,0.01,-10.0
56,0.5,0.1,-10.0
57,0.5,0.2,-10.0
58,0.5,0.3,-10.0
59,0.5,0.4,-10.0
60,0.5,0.5,-10.0
61,0.5,0.6,-10.0
62,0.5,0.7,-10.0
63,0.5,0.8,-10.0
64,0.5,0.9,-10.0
65,0.5,0.99,-10.0
66,0.6,0.01,-10.0
67,0.6,0.1,-10.0
68,0.6,0.2,-10.0
69,0.6,0.3,-10.0
70,0.6,0.4,-10.0
71,0.6,0.5,-10.0
72,0.6,0.6,-10.0
73,0.6,0.7,-10.0
74,0.6,0.8,-10.0
75,0.6,0.9,-10.0
76,0.6,0.99,-10.0
77,0.7,0.01,-10.0
78,0.7,0.1,-10.0
79,0.7,0.2,-10.0
80,0.7,0.3,-10.0
81,0.7,0.4,-10.0
82,0.7,0.5,-10.0
83,0.7,0.6,-10.0
84,0.7,0.7,-10.0
85,0.7,0.8,-10.0
86,0.7,0.9,-10.0
87,0.7,0.99,-10.0
88,0.8,0.01,-10.0
89,0.8,0.1,-10.0
90,0.8,0.2,-10.0
91,0.8,0.3,-10.0
92,0.8,0.4,-10.0
93,0.8,0.5,-10.0
94,0.8,0.6,-10.0
95,0.8,0.7,-10.0
96,0.8,0.8,-10.0
97,0.8,0.9,-10.0
98,0.8,0.99,-10.0
99,0.9,0.01,-10.0
100,0.9,0.1,-10.0
101,0.9,0.2,-10.0
102,0.9,0.3,-10.0
103,0.9,0.4,-10.0
104,0.9,0.5,-10.0
105,0.9,0.6,-10.0
106,0.9,0.7,-10.0
107,0.9,0.8,-10.0
108,0.9,0.9,-10.0
109,0.9,0.99,-10.0
110,0.99,0.01,-10.0
111,0.99,0.1,-10.0
112,0.99,0.2,-10.0
113,0.99,0.3,-10.0
114,0.99,0.4,-10.0
115,0.99,0.5,-10.0
116,0.99,0.6,-10.0
117,0.99,0.7,-10.0
118,0.99,0.8,-10.0
119,0.99,0.9,-10.0
120,0.99,0.99,-10.0
