,P,cost,value
0,0.01,0.01,9.99985805999366
1,0.01,0.1,9.999917651281663
2,0.01,0.2,9.999911481699744
3,0.01,0.3,9.999741427944336
4,0.01,0.4,9.999661924120085
5,0.01,0.5,9.999447084005498
6,0.01,0.6,9.998778809351595
7,0.01,0.7,9.99815427811438
8,0.01,0.8,9.995828150032764
9,0.01,0.9,9.986080286689242
10,0.01,0.99,8.421793556967636
11,0.1,0.01,9.999518909483177
12,0.1,0.1,9.999446208042421
13,0.1,0.2,9.998854324619696
14,0.1,0.3,9.997716303855684
15,0.1,0.4,9.996337570726263
16,0.1,0.5,9.993783719333774
17,0.1,0.6,9.986592111789488
18,0.1,0.7,9.968515365087079
19,0.1,0.8,9.88529838664432
20,0.1,0.9,8.413442063138104
21,0.1,0.99,9.878332714781589
22,0.2,0.01,9.999338326987523
23,0.2,0.1,9.99890228105491
24,0.2,0.2,9.997421515973645
25,0.2,0.3,9.994641040291608
26,0.2,0.4,9.99010625992067
27,0.2,0.5,9.9797060689435
28,0.2,0.6,9.945725419912057
29,0.2,0.7,9.780536029742336
30,0.2,0.8,8.154950254220086
31,0.2,0.9,9.78875175472175
32,0.2,0.99,9.93388104034284
33,0.3,0.01,9.999091356555988
34,0.3,0.1,9.99812730463607
35,0.3,0.2,9.995250776158308
36,0.3,0.3,9.988940035705372
37,0.3,0.4,9.976255558562698
38,0.3,0.5,9.93753408033916
39,0.3,0.6,9.742937171524371
40,0.3,0.7,8.099371023115499
41,0.3,0.8,9.682306981996089
42,0.3,0.9,9.915304620547134
43,0.3,0.99,9.956315206147481
44,0.4,0.01,9.998865111151773
45,0.4,0.1,9.996916867062167
46,0.4,0.2,9.991049997851736
47,0.4,0.3,9.977393353734062
48,0.4,0.4,9.93549165891681
49,0.4,0.5,9.73305785913365
50,0.4,0.6,8.06757547247816
51,0.4,0.7,9.635692554853813
52,0.4,0.8,9.891936095056595
53,0.4,0.9,9.946953597037675
54,0.4,0.99,9.967740653169795
55,0.5,0.01,9.998624198022117
56,0.5,0.1,9.994791204917972
57,0.5,0.2,9.982162402048647
58,0.5,0.3,9.94392293653219
59,0.5,0.4,9.740041787801545
60,0.5,0.5,8.295402846951752
61,0.5,0.6,9.611115123691977
62,0.5,0.7,9.862094508337378
63,0.5,0.8,9.937078671932948
64,0.5,0.9,9.963009029909058
65,0.5,0.99,9.974018619772426
66,0.6,0.01,9.998189992667552
67,0.6,0.1,9.990291605784456
68,0.6,0.2,9.957557427791578
69,0.6,0.3,9.77821099668723
70,0.6,0.4,8.299129884544246
71,0.6,0.5,9.611705419934767
72,0.6,0.6,9.858446559034341
73,0.6,0.7,9.922298821741297
74,0.6,0.8,9.955013604036179
75,0.6,0.9,9.971355447522699
76,0.6,0.99,9.977999408896114
77,0.7,0.01,9.997346589053798
78,0.7,0.1,9.977669919367113
79,0.7,0.2,9.836337860230447
80,0.7,0.3,8.434343225783852
81,0.7,0.4,9.645533978970043
82,0.7,0.5,9.861894642982831
83,0.7,0.6,9.922629914258184
84,0.7,0.7,9.948541861439251
85,0.7,0.8,9.966252498943408
86,0.7,0.9,9.976574707714398
87,0.7,0.99,9.98158208955224
88,0.8,0.01,9.995644557087475
89,0.8,0.1,9.916730024667325
90,0.8,0.2,8.619208595371337
91,0.8,0.3,9.69848167825064
92,0.8,0.4,9.88117608506396
93,0.8,0.5,9.929442663811628
94,0.8,0.6,9.949065861111105
95,0.8,0.7,9.962566619453671
96,0.8,0.8,9.972595294728507
97,0.8,0.9,9.980280873112083
98,0.8,0.99,9.984470814245604
99,0.9,0.01,9.989860097988508
100,0.9,0.1,8.852534763651871
101,0.9,0.2,9.785412896875874
102,0.9,0.3,9.900104222304243
103,0.9,0.4,9.937160788222375
104,0.9,0.5,9.95403437517513
105,0.9,0.6,9.963615905998331
106,0.9,0.7,9.970749246468717
107,0.9,0.8,9.978417701496124
108,0.9,0.9,9.983296954067242
109,0.9,0.99,9.986358356731195
110,0.99,0.01,9.565560934336768
111,0.99,0.1,9.868691742261312
112,0.99,0.2,9.926939056991715
113,0.99,0.3,9.947020701025135
114,0.99,0.4,9.960600225432682
115,0.99,0.5,9.96764949510779
116,0.99,0.6,9.972877524074725
117,0.99,0.7,9.97696468154278
118,0.99,0.8,9.982290527560219
119,0.99,0.9,9.986537904536723
120,0.99,0.99,9.988765331757058
