,P,cost,value
0,0.01,0.01,9.999156326000913
1,0.01,0.1,9.919850515576233
2,0.01,0.2,9.516563112669616
3,0.01,0.3,8.209949922561076
4,0.01,0.4,4.850652731836821
5,0.01,0.5,-0.6136810598888005
6,0.01,0.6,-3.384446865940455
7,0.01,0.7,-4.181501108319788
8,0.01,0.8,-4.074325846017437
9,0.01,0.9,-3.384484409634995
10,0.01,0.99,7.066685976060293
11,0.1,0.01,9.99951266622236
12,0.1,0.1,9.99044119236083
13,0.1,0.2,9.942823800215447
14,0.1,0.3,9.734330282237442
15,0.1,0.4,8.574747290454386
16,0.1,0.5,0.45568570918983253
17,0.1,0.6,-6.633702810477726
18,0.1,0.7,-8.054030646186124
19,0.1,0.8,-7.782545444589889
20,0.1,0.9,2.525202038749279
21,0.1,0.99,9.874208068568052
22,0.2,0.01,9.999329091649178
23,0.2,0.1,9.99495990533186
24,0.2,0.2,9.97271444619604
25,0.2,0.3,9.873149603427896
26,0.2,0.4,9.211774129223585
27,0.2,0.5,1.1557830342029696
28,0.2,0.6,-6.95006653021353
29,0.2,0.7,-7.239500488042916
30,0.2,0.8,2.286932947448893
31,0.2,0.9,9.677800289544157
32,0.2,0.99,9.936652430914732
33,0.3,0.01,9.999147364131918
34,0.3,0.1,9.996226093455991
35,0.3,0.2,9.98290602136192
36,0.3,0.3,9.923559819995365
37,0.3,0.4,9.5051067312863
38,0.3,0.5,2.0472679634452
39,0.3,0.6,-5.772525051243132
40,0.3,0.7,2.262480438221623
41,0.3,0.8,9.509004090224987
42,0.3,0.9,9.904621102330417
43,0.3,0.99,9.957083197872025
44,0.4,0.01,9.998901870568421
45,0.4,0.1,9.9963583761312
46,0.4,0.2,9.986422100710822
47,0.4,0.3,9.953130586102498
48,0.4,0.4,9.710313831218796
49,0.4,0.5,4.06217389420225
50,0.4,0.6,3.7279744981935825
51,0.4,0.7,9.468068211726209
52,0.4,0.8,9.87315542000615
53,0.4,0.9,9.9468912969446
54,0.4,0.99,9.967999408896112
55,0.5,0.01,9.998645440836441
56,0.5,0.1,9.994976704327417
57,0.5,0.2,9.981991306474594
58,0.5,0.3,9.942802896533902
59,0.5,0.4,9.739606397552812
60,0.5,0.5,8.220587452016318
61,0.5,0.6,9.618836171542803
62,0.5,0.7,9.862132202562247
63,0.5,0.8,9.935017920917353
64,0.5,0.9,9.962699203986464
65,0.5,0.99,9.973845130781735
66,0.6,0.01,9.998133984769996
67,0.6,0.1,9.988773520216224
68,0.6,0.2,9.942404739647062
69,0.6,0.3,9.610732098586189
70,0.6,0.4,3.4664923597667574
71,0.6,0.5,4.032255216671907
72,0.6,0.6,9.614705869673601
73,0.6,0.7,9.898035225850366
74,0.6,0.8,9.952649336266958
75,0.6,0.9,9.97043623262131
76,0.6,0.99,9.978471257573517
77,0.7,0.01,9.997365987607342
78,0.7,0.1,9.966016474727073
79,0.7,0.2,9.625294228991027
80,0.7,0.3,2.367356664505383
81,0.7,0.4,-5.6977979900053235
82,0.7,0.5,2.039432500887201
83,0.7,0.6,9.455954201195333
84,0.7,0.7,9.88485247182716
85,0.7,0.8,9.955520346823729
86,0.7,0.9,9.974778779370475
87,0.7,0.99,9.981284616521354
88,0.8,0.01,9.995758385848607
89,0.8,0.1,9.804564993252493
90,0.8,0.2,2.035955944008302
91,0.8,0.3,-7.2077224127523785
92,0.8,0.4,-7.021252942973528
93,0.8,0.5,1.045837322937644
94,0.8,0.6,9.17131816829299
95,0.8,0.7,9.84709813221021
96,0.8,0.8,9.950957719890388
97,0.8,0.9,9.97726483502787
98,0.8,0.99,9.984471700901436
99,0.9,0.01,9.989863666804489
100,0.9,0.1,2.986862556362923
101,0.9,0.2,-7.679599801952712
102,0.9,0.3,-7.956296826965847
103,0.9,0.4,-6.552668232221075
104,0.9,0.5,0.5064918830356272
105,0.9,0.6,8.5234307367173
106,0.9,0.7,9.714596659117266
107,0.9,0.8,9.927996317789137
108,0.9,0.9,9.976467758678277
109,0.9,0.99,9.986355918324739
110,0.99,0.01,8.747991965186033
111,0.99,0.1,-3.3472847671751866
112,0.99,0.2,-3.916962978714293
113,0.99,0.3,-4.06693133212382
114,0.99,0.4,-3.405641041386393
115,0.99,0.5,-0.48296299728241315
116,0.99,0.6,4.753889775879449
117,0.99,0.7,8.206998670016256
118,0.99,0.8,9.512934239692626
119,0.99,0.9,9.912505402203625
120,0.99,0.99,9.987997491774713
