,P,cost,value
0,0.01,0.01,-0.7438861196310753
1,0.01,0.1,-0.6251642328298153
2,0.01,0.2,-0.6291876278957996
3,0.01,0.3,-0.6170888907858468
4,0.01,0.4,-0.5374379452685067
5,0.01,0.5,-0.4704990888894751
6,0.01,0.6,-0.5438709550731325
7,0.01,0.7,-0.49288899407963965
8,0.01,0.8,-0.20827822271199017
9,0.01,0.9,0.2790978228382632
10,0.01,0.99,8.419126136202506
11,0.1,0.01,0.08802078770306848
12,0.1,0.1,0.11737180685037381
13,0.1,0.2,0.14924800942000907
14,0.1,0.3,0.22257924138042337
15,0.1,0.4,0.32563686687873356
16,0.1,0.5,0.44669005263088346
17,0.1,0.6,0.8160508552970436
18,0.1,0.7,1.2083170461061143
19,0.1,0.8,2.531347340184702
20,0.1,0.9,8.412741596767642
21,0.1,0.99,3.126992007806031
22,0.2,0.01,0.3285956530761134
23,0.2,0.1,0.36452873531270635
24,0.2,0.2,0.4237716510130873
25,0.2,0.3,0.6146488616835026
26,0.2,0.4,0.7904292173529264
27,0.2,0.5,1.1835032990214258
28,0.2,0.6,1.7397358142267612
29,0.2,0.7,3.477730369352778
30,0.2,0.8,8.167171453185674
31,0.2,0.9,3.6335743791564106
32,0.2,0.99,2.025023886472817
33,0.3,0.01,0.4764099075857333
34,0.3,0.1,0.6558481747057996
35,0.3,0.2,0.7515645296708615
36,0.3,0.3,1.0607157584675762
37,0.3,0.4,1.3034746422576615
38,0.3,0.5,1.9525253060221195
39,0.3,0.6,3.8371455771741445
40,0.3,0.7,8.099126092944092
41,0.3,0.8,3.981829757196316
42,0.3,0.9,2.1654824992764454
43,0.3,0.99,1.4257674483502913
44,0.4,0.01,0.7908762877587296
45,0.4,0.1,0.8381476033118196
46,0.4,0.2,1.0441875130192937
47,0.4,0.3,1.514209001230983
48,0.4,0.4,2.1964388483392066
49,0.4,0.5,3.983517154441369
50,0.4,0.6,8.06641396060109
51,0.4,0.7,4.096908041556329
52,0.4,0.8,2.2486219835002776
53,0.4,0.9,1.455437486513016
54,0.4,0.99,1.1219982403618862
55,0.5,0.01,0.9471234917743963
56,0.5,0.1,1.0926029838972644
57,0.5,0.2,1.4056701400008804
58,0.5,0.3,2.2083351594031715
59,0.5,0.4,4.111073993323439
60,0.5,0.5,8.288230253498082
61,0.5,0.6,4.127223473565914
62,0.5,0.7,2.3023146009845323
63,0.5,0.8,1.5223935108744213
64,0.5,0.9,1.2171389124106842
65,0.5,0.99,0.9547327123854155
66,0.6,0.01,1.247052276037569
67,0.6,0.1,1.5735203044264978
68,0.6,0.2,2.3557182098833653
69,0.6,0.3,4.07584294733158
70,0.6,0.4,8.296183949088554
71,0.6,0.5,4.03609149394097
72,0.6,0.6,2.227368715066793
73,0.6,0.7,1.5561068095569404
74,0.6,0.8,1.0905325366432352
75,0.6,0.9,0.7484311728077996
76,0.6,0.99,0.7075135351769082
77,0.7,0.01,1.5358862069574506
78,0.7,0.1,2.1311808445133256
79,0.7,0.2,3.9280045211105197
80,0.7,0.3,8.432830274646172
81,0.7,0.4,3.65603424500186
82,0.7,0.5,2.089062790629291
83,0.7,0.6,1.3071317240015057
84,0.7,0.7,1.0786160694680527
85,0.7,0.8,0.738917300319189
86,0.7,0.9,0.6420504382365273
87,0.7,0.99,0.5042504865821446
88,0.8,0.01,2.139793601450006
89,0.8,0.1,3.559706714244088
90,0.8,0.2,8.617464580606073
91,0.8,0.3,3.308963191122329
92,0.8,0.4,1.795908962964905
93,0.8,0.5,1.1739376668465713
94,0.8,0.6,0.8806887233257875
95,0.8,0.7,0.7188818925384716
96,0.8,0.8,0.4826810354904405
97,0.8,0.9,0.46078832052965524
98,0.8,0.99,0.3245140008712221
99,0.9,0.01,3.2477183947804837
100,0.9,0.1,8.853404405948393
101,0.9,0.2,2.467047341407219
102,0.9,0.3,1.195083580728497
103,0.9,0.4,0.8372953262173782
104,0.9,0.5,0.4358228323868946
105,0.9,0.6,0.3167044636305793
106,0.9,0.7,0.28602245833117335
107,0.9,0.8,0.08957596198987552
108,0.9,0.9,0.16898039196980208
109,0.9,0.99,0.17765016885608328
110,0.99,0.01,9.565348833365775
111,0.99,0.1,0.31228946029233823
112,0.99,0.2,-0.3751416786011292
113,0.99,0.3,-0.48939173491665233
114,0.99,0.4,-0.5017693235607441
115,0.99,0.5,-0.6580910888081454
116,0.99,0.6,-0.6059562558859697
117,0.99,0.7,-0.6612946978083166
118,0.99,0.8,-0.5065002775820573
119,0.99,0.9,-0.6589185705113031
120,0.99,0.99,-0.5582129833698407
