,P,cost,value
0,0.01,0.01,9.999288470749354
1,0.01,0.1,9.999417080657215
2,0.01,0.2,9.99949762266976
3,0.01,0.3,9.999546426939416
4,0.01,0.4,9.999598594708278
5,0.01,0.5,9.999416494040528
6,0.01,0.6,9.998656356216948
7,0.01,0.7,9.99681123161219
8,0.01,0.8,9.991303109659132
9,0.01,0.9,9.938350931696409
10,0.01,0.99,1.1477523694842264
11,0.1,0.01,9.989920739390236
12,0.1,0.1,9.990878167913284
13,0.1,0.2,9.992355543086719
14,0.1,0.3,9.994148739256985
15,0.1,0.4,9.99513601212232
16,0.1,0.5,9.993428528879944
17,0.1,0.6,9.983004225546454
18,0.1,0.7,9.944366184526523
19,0.1,0.8,9.673093213687334
20,0.1,0.9,0.7396927397502369
21,0.1,0.99,-9.125334153793926
22,0.2,0.01,9.962834060691318
23,0.2,0.1,9.966683767488151
24,0.2,0.2,9.97251990404936
25,0.2,0.3,9.97964800959782
26,0.2,0.4,9.984347998923639
27,0.2,0.5,9.979583252814024
28,0.2,0.6,9.929157246786408
29,0.2,0.7,9.49160246075327
30,0.2,0.8,0.9452827423213181
31,0.2,0.9,-8.587143203099588
32,0.2,0.99,-9.384032297413293
33,0.3,0.01,9.869991818431075
34,0.3,0.1,9.8832880209081
35,0.3,0.2,9.902350166363766
36,0.3,0.3,9.924018369835556
37,0.3,0.4,9.948869882909374
38,0.3,0.5,9.935584898370747
39,0.3,0.6,9.556217561497558
40,0.3,0.7,1.9237420662690763
41,0.3,0.8,-7.782899341670805
42,0.3,0.9,-8.979429910427893
43,0.3,0.99,-9.267369235870708
44,0.4,0.01,9.314110300023001
45,0.4,0.1,9.373608251475671
46,0.4,0.2,9.444037931669097
47,0.4,0.3,9.564711512223186
48,0.4,0.4,9.713890457822917
49,0.4,0.5,9.721524262948334
50,0.4,0.6,3.4989864130302806
51,0.4,0.7,-5.9895499354636
52,0.4,0.8,-7.658834100851044
53,0.4,0.9,-8.195365890083906
54,0.4,0.99,-8.393699380497438
55,0.5,0.01,0.9216467178582549
56,0.5,0.1,1.1347987041072136
57,0.5,0.2,1.5907076384267436
58,0.5,0.3,2.286660828436602
59,0.5,0.4,4.080525077799855
60,0.5,0.5,8.221664911073832
61,0.5,0.6,4.093090584644841
62,0.5,0.7,2.3669889812646785
63,0.5,0.8,1.5640657758606062
64,0.5,0.9,1.0500388479744969
65,0.5,0.99,0.9737024108068403
66,0.6,0.01,-8.431102775047485
67,0.6,0.1,-8.24671428802076
68,0.6,0.2,-7.693896598815151
69,0.6,0.3,-6.103420735370743
70,0.6,0.4,3.773740471927976
71,0.6,0.5,9.608794314629648
72,0.6,0.6,9.641457454032828
73,0.6,0.7,9.509082959337414
74,0.6,0.8,9.422170435330406
75,0.6,0.9,9.349445997822903
76,0.6,0.99,9.307188098694045
77,0.7,0.01,-9.282478633960828
78,0.7,0.1,-9.023256827545804
79,0.7,0.2,-7.85402348471959
80,0.7,0.3,1.9464923938305392
81,0.7,0.4,9.451349438931738
82,0.7,0.5,9.864742286376437
83,0.7,0.6,9.895873059747414
84,0.7,0.7,9.887243454290706
85,0.7,0.8,9.877464875223962
86,0.7,0.9,9.865674056633761
87,0.7,0.99,9.852589743141934
88,0.8,0.01,-9.41958482219689
89,0.8,0.1,-8.704497570107742
90,0.8,0.2,1.2735014745263797
91,0.8,0.3,9.420251984027708
92,0.8,0.4,9.860373544585215
93,0.8,0.5,9.927740118017734
94,0.8,0.6,9.9437027263693
95,0.8,0.7,9.94996911270512
96,0.8,0.8,9.950429565717869
97,0.8,0.9,9.950960194972364
98,0.8,0.99,9.950406203424095
99,0.9,0.01,-9.227907273486135
100,0.9,0.1,0.47218567663008687
101,0.9,0.2,9.558230643637728
102,0.9,0.3,9.87339462572669
103,0.9,0.4,9.93357997434514
104,0.9,0.5,9.954098638343563
105,0.9,0.6,9.961740801033258
106,0.9,0.7,9.967828656230257
107,0.9,0.8,9.973488811497882
108,0.9,0.9,9.976489857188625
109,0.9,0.99,9.97777688410634
110,0.99,0.01,-0.5343619356946266
111,0.99,0.1,9.825419623095348
112,0.99,0.2,9.922782045269136
113,0.99,0.3,9.946897406736527
114,0.99,0.4,9.96061234354254
115,0.99,0.5,9.967199150497764
116,0.99,0.6,9.972661247640428
117,0.99,0.7,9.97714246015732
118,0.99,0.8,9.982473362727337
119,0.99,0.9,9.986077756601118
120,0.99,0.99,9.988143750927856
