,P,cost,value
0,0.01,0.01,-0.7440549048610817
1,0.01,0.1,-0.62497232864701
2,0.01,0.2,-0.6299327900820564
3,0.01,0.3,-0.6170868546286152
4,0.01,0.4,-0.5367943489517853
5,0.01,0.5,-0.47061005575665066
6,0.01,0.6,-0.5437093007584693
7,0.01,0.7,-0.4938498274841535
8,0.01,0.8,-0.20911126352110698
9,0.01,0.9,0.2799170098203766
10,0.01,0.99,8.419126136202506
11,0.1,0.01,0.08892178239255462
12,0.1,0.1,0.11869014523649023
13,0.1,0.2,0.14964777396631324
14,0.1,0.3,0.2227139174633655
15,0.1,0.4,0.3266795991293906
16,0.1,0.5,0.44697647124049894
17,0.1,0.6,0.8160548738949223
18,0.1,0.7,1.2083477479901936
19,0.1,0.8,2.531495537471782
20,0.1,0.9,8.412741596767642
21,0.1,0.99,3.1282270716691887
22,0.2,0.01,0.3286645193180534
23,0.2,0.1,0.36449590512648283
24,0.2,0.2,0.42376387142964733
25,0.2,0.3,0.6146038976114856
26,0.2,0.4,0.7902586142725997
27,0.2,0.5,1.1835437618125777
28,0.2,0.6,1.7395762714986303
29,0.2,0.7,3.4777578392314834
30,0.2,0.8,8.167145506821093
31,0.2,0.9,3.6336623455655137
32,0.2,0.99,2.0250232044882317
33,0.3,0.01,0.47655670896289704
34,0.3,0.1,0.6558455848348687
35,0.3,0.2,0.7516163926543339
36,0.3,0.3,1.0606941305057838
37,0.3,0.4,1.3035056095069466
38,0.3,0.5,1.9524841176710508
39,0.3,0.6,3.8373563532577464
40,0.3,0.7,8.099126092944092
41,0.3,0.8,3.981796180531422
42,0.3,0.9,2.1654222380708865
43,0.3,0.99,1.4265178677367365
44,0.4,0.01,0.7908100329244129
45,0.4,0.1,0.838007219445696
46,0.4,0.2,1.0441938748302886
47,0.4,0.3,1.5141716268635153
48,0.4,0.4,2.1963793330741748
49,0.4,0.5,3.9835254346788282
50,0.4,0.6,8.06641396060109
51,0.4,0.7,4.0969641559549554
52,0.4,0.8,2.2486864057478724
53,0.4,0.9,1.4553912149343795
54,0.4,0.99,1.1219924040943046
55,0.5,0.01,0.9470702193453886
56,0.5,0.1,1.092683278183186
57,0.5,0.2,1.4056794924282234
58,0.5,0.3,2.2083359115528403
59,0.5,0.4,4.111068496165023
60,0.5,0.5,8.288230253498082
61,0.5,0.6,4.127245611240117
62,0.5,0.7,2.302329923453651
63,0.5,0.8,1.5224503836245915
64,0.5,0.9,1.2171376302634853
65,0.5,0.99,0.9547529818118456
66,0.6,0.01,1.247046581836212
67,0.6,0.1,1.5735286825322492
68,0.6,0.2,2.355766189059676
69,0.6,0.3,4.075892657462392
70,0.6,0.4,8.296183949088554
71,0.6,0.5,4.0351345487406824
72,0.6,0.6,2.2273886000909995
73,0.6,0.7,1.556014735164496
74,0.6,0.8,1.0905189926166756
75,0.6,0.9,0.7485087915575533
76,0.6,0.99,0.7075738956316422
77,0.7,0.01,1.5358462022349062
78,0.7,0.1,2.1312355115694483
79,0.7,0.2,3.9280370222774375
80,0.7,0.3,8.432830274646172
81,0.7,0.4,3.656142818693651
82,0.7,0.5,2.089026288050853
83,0.7,0.6,1.3072168354295828
84,0.7,0.7,1.078599155850162
85,0.7,0.8,0.738850921805464
86,0.7,0.9,0.6420396289747031
87,0.7,0.99,0.5042385195908092
88,0.8,0.01,2.1397963980175843
89,0.8,0.1,3.560003278912668
90,0.8,0.2,8.617464580606073
91,0.8,0.3,3.3089858195582056
92,0.8,0.4,1.7957940526948446
93,0.8,0.5,1.1739362036654486
94,0.8,0.6,0.8807012278311341
95,0.8,0.7,0.7194060007655021
96,0.8,0.8,0.482773344551936
97,0.8,0.9,0.46079379876110543
98,0.8,0.99,0.3244997548408363
99,0.9,0.01,3.247443744462324
100,0.9,0.1,8.853404405948393
101,0.9,0.2,2.468295020150148
102,0.9,0.3,1.1956252218342605
103,0.9,0.4,0.8375606044242896
104,0.9,0.5,0.4358716395139231
105,0.9,0.6,0.31739124008113295
106,0.9,0.7,0.2868759059436673
107,0.9,0.8,0.09007153381926598
108,0.9,0.9,0.1697039128620878
109,0.9,0.99,0.17765444975907296
110,0.99,0.01,9.565348833365775
111,0.99,0.1,0.3118382241902649
112,0.99,0.2,-0.3754805612026338
113,0.99,0.3,-0.48969978112969764
114,0.99,0.4,-0.5009773880466661
115,0.99,0.5,-0.6591941905212726
116,0.99,0.6,-0.6060267571612209
117,0.99,0.7,-0.6611498084291041
118,0.99,0.8,-0.5063503919236657
119,0.99,0.9,-0.6589043385600517
120,0.99,0.99,-0.5574784541533069
