,P,cost,value
0,0.01,0.01,-2.731945123823944
1,0.01,0.1,-2.683635558819673
2,0.01,0.2,-2.772634350624573
3,0.01,0.3,-2.7298092266963945
4,0.01,0.4,-2.519040026973021
5,0.01,0.5,-2.624668614682511
6,0.01,0.6,-2.57656162366017
7,0.01,0.7,-2.544108670302354
8,0.01,0.8,-2.4076240996012888
9,0.01,0.9,-1.7767507940437253
10,0.01,0.99,6.983267560039441
11,0.1,0.01,-5.106341049502112
12,0.1,0.1,-4.99815682884187
13,0.1,0.2,-5.004208638957777
14,0.1,0.3,-4.9381355831985445
15,0.1,0.4,-4.860798374139433
16,0.1,0.5,-4.701171636412033
17,0.1,0.6,-4.51438874174242
18,0.1,0.7,-4.157368991626647
19,0.1,0.8,-2.8640573625121912
20,0.1,0.9,6.522809223873787
21,0.1,0.99,7.368392254302668
22,0.2,0.01,-7.885658443150599
23,0.2,0.1,-7.802771943288728
24,0.2,0.2,-7.773741894996665
25,0.2,0.3,-7.704306783758753
26,0.2,0.4,-7.61858627114864
27,0.2,0.5,-7.41310695407188
28,0.2,0.6,-6.937253666534719
29,0.2,0.7,-5.481986332208897
30,0.2,0.8,4.544897655051712
31,0.2,0.9,9.415875389015952
32,0.2,0.99,9.037492361359268
33,0.3,0.01,-8.949096037368198
34,0.3,0.1,-8.926201009990972
35,0.3,0.2,-8.871818054311092
36,0.3,0.3,-8.750621652382005
37,0.3,0.4,-8.55940628828063
38,0.3,0.5,-8.093577944792491
39,0.3,0.6,-6.796823287562378
40,0.3,0.7,2.8209998470855977
41,0.3,0.8,9.649085971703586
42,0.3,0.9,9.730019319446138
43,0.3,0.99,9.631316149519563
44,0.4,0.01,-9.367013528212178
45,0.4,0.1,-9.327152431106981
46,0.4,0.2,-9.238021456794847
47,0.4,0.3,-9.06709681775451
48,0.4,0.4,-8.681771083874569
49,0.4,0.5,-7.25314348741544
50,0.4,0.6,2.1084232426651903
51,0.4,0.7,9.4519323680114
52,0.4,0.8,9.859907974346923
53,0.4,0.9,9.864357906765001
54,0.4,0.99,9.838476940494349
55,0.5,0.01,-9.552959842381442
56,0.5,0.1,-9.478993757647329
57,0.5,0.2,-9.345937142558556
58,0.5,0.3,-8.997113436932215
59,0.5,0.4,-7.723126886948623
60,0.5,0.5,1.6237520206127538
61,0.5,0.6,9.280614294734328
62,0.5,0.7,9.84033535421488
63,0.5,0.8,9.918418964612425
64,0.5,0.9,9.921784741354793
65,0.5,0.99,9.9166006796599
66,0.6,0.01,-9.632818337189153
67,0.6,0.1,-9.528645810879734
68,0.6,0.2,-9.217335531127521
69,0.6,0.3,-8.098779799298804
70,0.6,0.4,1.4642049070868703
71,0.6,0.5,9.157601599788762
72,0.6,0.6,9.81160465930065
73,0.6,0.7,9.915752483870445
74,0.6,0.8,9.947628514274948
75,0.6,0.9,9.952449775974145
76,0.6,0.99,9.95071385547883
77,0.7,0.01,-9.63908098937013
78,0.7,0.1,-9.440822280380614
79,0.7,0.2,-8.470318109586415
80,0.7,0.3,1.014106848102844
81,0.7,0.4,9.173308652523243
82,0.7,0.5,9.796928571637086
83,0.7,0.6,9.911759394126848
84,0.7,0.7,9.946508092776329
85,0.7,0.8,9.962111437434633
86,0.7,0.9,9.967576639855725
87,0.7,0.99,9.96791349152766
88,0.8,0.01,-9.578214283749574
89,0.8,0.1,-8.933377909490348
90,0.8,0.2,0.848749402362444
91,0.8,0.3,9.288268842006405
92,0.8,0.4,9.813192882757157
93,0.8,0.5,9.913468770210706
94,0.8,0.6,9.945392500629534
95,0.8,0.7,9.962220249390244
96,0.8,0.8,9.970533795346634
97,0.8,0.9,9.975970731651678
98,0.8,0.99,9.979017800376207
99,0.9,0.01,-9.312795477855943
100,0.9,0.1,0.2745687725325661
101,0.9,0.2,9.508279920119612
102,0.9,0.3,9.853296799082752
103,0.9,0.4,9.924420129151445
104,0.9,0.5,9.950939504515773
105,0.9,0.6,9.961681970548833
106,0.9,0.7,9.970393301192273
107,0.9,0.8,9.977722176900944
108,0.9,0.9,9.981983186563548
109,0.9,0.99,9.984327875477957
110,0.99,0.01,-0.582590196615132
111,0.99,0.1,9.820591127804718
112,0.99,0.2,9.92090642214017
113,0.99,0.3,9.945904623275343
114,0.99,0.4,9.960211822952601
115,0.99,0.5,9.96694797360279
116,0.99,0.6,9.972610529406102
117,0.99,0.7,9.977222808625575
118,0.99,0.8,9.9826363226893
119,0.99,0.9,9.986261895729914
120,0.99,0.99,9.988456923214803
