,P,cost,value
0,0.01,0.01,-1.9398379014724922
1,0.01,0.1,-1.9031236270156389
2,0.01,0.2,-1.7987787985848047
3,0.01,0.3,-1.8133217439525173
4,0.01,0.4,-1.736842523790905
5,0.01,0.5,-1.5988977544379397
6,0.01,0.6,-1.6976190200457135
7,0.01,0.7,-1.6306978647264956
8,0.01,0.8,-1.3318560595998523
9,0.01,0.9,-0.9271224320625178
10,0.01,0.99,7.852366778579267
11,0.1,0.01,-0.06395621067018314
12,0.1,0.1,-0.11592769694280625
13,0.1,0.2,-0.11670405066565935
14,0.1,0.3,-0.06524152416502071
15,0.1,0.4,0.07659222020992633
16,0.1,0.5,0.23512381845367059
17,0.1,0.6,0.5435268669824935
18,0.1,0.7,0.9540896597422822
19,0.1,0.8,2.151560759890891
20,0.1,0.9,8.050873489949707
21,0.1,0.99,3.1851781072337735
22,0.2,0.01,0.26683914027826
23,0.2,0.1,0.27766734617043365
24,0.2,0.2,0.27034401744054226
25,0.2,0.3,0.49479932114364916
26,0.2,0.4,0.6730277949847814
27,0.2,0.5,1.1086686287924103
28,0.2,0.6,1.612221684305959
29,0.2,0.7,3.317599878849803
30,0.2,0.8,8.000999222478377
31,0.2,0.9,3.59399946788796
32,0.2,0.99,2.0737630114569443
33,0.3,0.01,0.4493680517995841
34,0.3,0.1,0.6290382813318135
35,0.3,0.2,0.735870806901548
36,0.3,0.3,1.0307650651587754
37,0.3,0.4,1.270218381989273
38,0.3,0.5,1.885539968960712
39,0.3,0.6,3.781076220984751
40,0.3,0.7,8.035795709655787
41,0.3,0.8,3.9746674229883623
42,0.3,0.9,2.178594171482931
43,0.3,0.99,1.4065908905067177
44,0.4,0.01,0.7882249328836448
45,0.4,0.1,0.8526818650668471
46,0.4,0.2,1.0407119143340644
47,0.4,0.3,1.4996582648178798
48,0.4,0.4,2.1920165993229417
49,0.4,0.5,3.9977697761571633
50,0.4,0.6,8.057625962454969
51,0.4,0.7,4.087923955869271
52,0.4,0.8,2.237758571200378
53,0.4,0.9,1.452665064472363
54,0.4,0.99,1.1065467405514533
55,0.5,0.01,0.9424479300693709
56,0.5,0.1,1.0967930929717253
57,0.5,0.2,1.4019908508711096
58,0.5,0.3,2.2172355152459438
59,0.5,0.4,4.114432807658412
60,0.5,0.5,8.295402846951752
61,0.5,0.6,4.130715584083519
62,0.5,0.7,2.3088761224346324
63,0.5,0.8,1.527967734738138
64,0.5,0.9,1.2192487191748884
65,0.5,0.99,0.9526919620602748
66,0.6,0.01,1.2443639941822369
67,0.6,0.1,1.5622911729489792
68,0.6,0.2,2.3413573942281927
69,0.6,0.3,4.06605200780567
70,0.6,0.4,8.2786139299715
71,0.6,0.5,4.033367506089659
72,0.6,0.6,2.2280014347316026
73,0.6,0.7,1.5609906368925186
74,0.6,0.8,1.0858221367526428
75,0.6,0.9,0.7395939354827618
76,0.6,0.99,0.7139064208480845
77,0.7,0.01,1.5941935472270465
78,0.7,0.1,2.119073816133853
79,0.7,0.2,3.8930913082100056
80,0.7,0.3,8.370953958638342
81,0.7,0.4,3.607999961294825
82,0.7,0.5,2.049574585908532
83,0.7,0.6,1.2572608857085426
84,0.7,0.7,1.0495787651156265
85,0.7,0.8,0.6860243710057683
86,0.7,0.9,0.6122504647013691
87,0.7,0.99,0.4597520504682394
88,0.8,0.01,2.1494964357790787
89,0.8,0.1,3.5337639883110694
90,0.8,0.2,8.451410950848818
91,0.8,0.3,3.2320117802555046
92,0.8,0.4,1.7233439493811253
93,0.8,0.5,1.1053019185955006
94,0.8,0.6,0.7991181782487765
95,0.8,0.7,0.6334733991681505
96,0.8,0.8,0.44855800020693937
97,0.8,0.9,0.41443353325566656
98,0.8,0.99,0.2595057568663566
99,0.9,0.01,3.299673921956485
100,0.9,0.1,8.491766978381815
101,0.9,0.2,2.129881051836679
102,0.9,0.3,0.871307880319429
103,0.9,0.4,0.5579613266863157
104,0.9,0.5,0.13879208810290905
105,0.9,0.6,0.038320837742024584
106,0.9,0.7,0.004404364333796371
107,0.9,0.8,-0.12525928869350156
108,0.9,0.9,-0.07097855798736626
109,0.9,0.99,-0.04695304466956137
110,0.99,0.01,9.092849664918715
111,0.99,0.1,-0.8388680400728067
112,0.99,0.2,-1.550195608539095
113,0.99,0.3,-1.6932145893534734
114,0.99,0.4,-1.6575267107655098
115,0.99,0.5,-1.7344165331404318
116,0.99,0.6,-1.7483647668201363
117,0.99,0.7,-1.8361609526124845
118,0.99,0.8,-1.6650665130778577
119,0.99,0.9,-1.804979856482686
120,0.99,0.99,-1.7894430667229286
