,P,cost,value
0,0.01,0.01,-1.7685252383006271
1,0.01,0.1,-1.6739035553161843
2,0.01,0.2,-1.7700492736252926
3,0.01,0.3,-1.751588596627407
4,0.01,0.4,-1.5002115704175276
5,0.01,0.5,-1.6914596500871228
6,0.01,0.6,-1.579124675713313
7,0.01,0.7,-1.624976799172455
8,0.01,0.8,-1.4616253879119254
9,0.01,0.9,-0.7605789862568345
10,0.01,0.99,7.8431978720260105
11,0.1,0.01,-0.9745449566414387
12,0.1,0.1,-0.8751558333491504
13,0.1,0.2,-0.9024488879575727
14,0.1,0.3,-0.8244872567443507
15,0.1,0.4,-0.7669184537267943
16,0.1,0.5,-0.6020038065041889
17,0.1,0.6,-0.4823975130347233
18,0.1,0.7,0.06460928033101819
19,0.1,0.8,1.2912340771390571
20,0.1,0.9,7.43685739618738
21,0.1,0.99,3.751638244421457
22,0.2,0.01,-0.33393051936250534
23,0.2,0.1,-0.2507159283042915
24,0.2,0.2,-0.2092635545461657
25,0.2,0.3,-0.1795005736670301
26,0.2,0.4,-0.09237149158237888
27,0.2,0.5,0.38610588369220733
28,0.2,0.6,0.822465613035705
29,0.2,0.7,2.3808319787202605
30,0.2,0.8,7.557421752623025
31,0.2,0.9,3.7783319048322745
32,0.2,0.99,2.4668111423082606
33,0.3,0.01,0.13282235082488358
34,0.3,0.1,0.005991364879976729
35,0.3,0.2,0.3416678795415016
36,0.3,0.3,0.48291046968771184
37,0.3,0.4,0.710096053168599
38,0.3,0.5,1.3981263129882477
39,0.3,0.6,2.8606353819630783
40,0.3,0.7,7.431814984483523
41,0.3,0.8,3.961539825624353
42,0.3,0.9,2.4663744643121035
43,0.3,0.99,1.8883879119255207
44,0.4,0.01,0.21873059643565768
45,0.4,0.1,0.4884759461116833
46,0.4,0.2,0.542721424985627
47,0.4,0.3,1.0902450762737612
48,0.4,0.4,1.578330532419555
49,0.4,0.5,3.3018697612291295
50,0.4,0.6,7.404651054848792
51,0.4,0.7,3.9758358208955222
52,0.4,0.8,2.3495668686271616
53,0.4,0.9,1.7816471109797547
54,0.4,0.99,1.397374464312103
55,0.5,0.01,0.40432738539466967
56,0.5,0.1,0.6190285110158305
57,0.5,0.2,1.1285969651123706
58,0.5,0.3,1.7498722562757976
59,0.5,0.4,3.3427333164411124
60,0.5,0.5,7.524521970765412
61,0.5,0.6,4.00158147216576
62,0.5,0.7,2.506232303827398
63,0.5,0.8,1.834542485591843
64,0.5,0.9,1.2338123245160337
65,0.5,0.99,1.2115890350229053
66,0.6,0.01,0.7901965007867318
67,0.6,0.1,0.9761086986972238
68,0.6,0.2,1.8293339097316696
69,0.6,0.3,3.5923804412633458
70,0.6,0.4,7.617166308464133
71,0.6,0.5,3.806000307791358
72,0.6,0.6,2.291268984307206
73,0.6,0.7,1.6180873355992318
74,0.6,0.8,1.277489434018029
75,0.6,0.9,0.8497573518545887
76,0.6,0.99,0.9281124575144082
77,0.7,0.01,1.2898135352320015
78,0.7,0.1,1.7172857756760798
79,0.7,0.2,3.43993009538246
80,0.7,0.3,7.719254660801761
81,0.7,0.4,3.4104054895312634
82,0.7,0.5,1.9466128919001298
83,0.7,0.6,1.3682244268587496
84,0.7,0.7,0.9897824737697652
85,0.7,0.8,0.9663265848972957
86,0.7,0.9,0.7351436382444215
87,0.7,0.99,0.7293128417319344
88,0.8,0.01,1.931672446598176
89,0.8,0.1,3.1846800575231606
90,0.8,0.2,7.802193124839693
91,0.8,0.3,2.899710389902493
92,0.8,0.4,1.3121237376671555
93,0.8,0.5,0.8508024988883081
94,0.8,0.6,0.6748936706680587
95,0.8,0.7,0.5167679917245456
96,0.8,0.8,0.5335444066794739
97,0.8,0.9,0.29515132259494603
98,0.8,0.99,0.25883596867149405
99,0.9,0.01,3.265406272706257
100,0.9,0.1,8.008343147522993
101,0.9,0.2,1.8104607027027626
102,0.9,0.3,0.6538097945785832
103,0.9,0.4,0.4623949394512028
104,0.9,0.5,0.08985654274934948
105,0.9,0.6,-0.10148251999417852
106,0.9,0.7,-0.27171686123836264
107,0.9,0.8,-0.13518634550022166
108,0.9,0.9,-0.18536796216935125
109,0.9,0.99,-0.3479552238805971
110,0.99,0.01,9.229347596270062
111,0.99,0.1,-0.3046216270260067
112,0.99,0.2,-0.8346285279585474
113,0.99,0.3,-1.0412789443717587
114,0.99,0.4,-1.178143298993333
115,0.99,0.5,-1.1526694519361085
116,0.99,0.6,-1.257685468616364
117,0.99,0.7,-1.245866853849564
118,0.99,0.8,-1.2141062509236
119,0.99,0.9,-1.290866558297621
120,0.99,0.99,-1.2836052903797845
