,P,cost,value
0,0.01,0.01,-2.7932850223076056
1,0.01,0.1,-2.7783723549729866
2,0.01,0.2,-2.6442064810301686
3,0.01,0.3,-2.6911951553663975
4,0.01,0.4,-2.5723374714929648
5,0.01,0.5,-2.4477088256082267
6,0.01,0.6,-2.574210706508704
7,0.01,0.7,-2.4749599898173433
8,0.01,0.8,-2.2235204207885237
9,0.01,0.9,-1.8446942257085344
10,0.01,0.99,7.25456695327429
11,0.1,0.01,-0.44212663346191733
12,0.1,0.1,-0.5223175380084146
13,0.1,0.2,-0.5209595715871214
14,0.1,0.3,-0.47512791590949893
15,0.1,0.4,-0.3484809744622819
16,0.1,0.5,-0.17129438095042604
17,0.1,0.6,0.11362924909186688
18,0.1,0.7,0.5275129909381361
19,0.1,0.8,1.619844987465204
20,0.1,0.9,7.595716529310792
21,0.1,0.99,3.3614198647499856
22,0.2,0.01,-0.09756922910460372
23,0.2,0.1,-0.1118671257759028
24,0.2,0.2,-0.17043315564357764
25,0.2,0.3,0.04737625515561395
26,0.2,0.4,0.2212836405866507
27,0.2,0.5,0.6840855434519754
28,0.2,0.6,1.1137090490397814
29,0.2,0.7,2.7306139650682306
30,0.2,0.8,7.409232701386079
31,0.2,0.9,3.6111337265809422
32,0.2,0.99,2.2829534924836365
33,0.3,0.01,0.11338874708200902
34,0.3,0.1,0.30175634396694273
35,0.3,0.2,0.440597477275548
36,0.3,0.3,0.6634391823575475
37,0.3,0.4,0.89319375156071
38,0.3,0.5,1.41770537327156
39,0.3,0.6,3.170839211098846
40,0.3,0.7,7.358664497568263
41,0.3,0.8,3.8928652499483456
42,0.3,0.9,2.230478493381105
43,0.3,0.99,1.4690560073145047
44,0.4,0.01,0.4442512103040648
45,0.4,0.1,0.5677734807658931
46,0.4,0.2,0.6576815570138452
47,0.4,0.3,1.0273101573760441
48,0.4,0.4,1.7699591976837343
49,0.4,0.5,3.4394824465667284
50,0.4,0.6,7.343462382318902
51,0.4,0.7,3.8777504361453885
52,0.4,0.8,2.2331309676733127
53,0.4,0.9,1.52763942636458
54,0.4,0.99,1.171710984856342
55,0.5,0.01,0.5610029151691797
56,0.5,0.1,0.8330925409140731
57,0.5,0.2,0.9828338662946262
58,0.5,0.3,1.7838191584752
59,0.5,0.4,3.4549996466487687
60,0.5,0.5,7.548738908808668
61,0.5,0.6,3.909819732891445
62,0.5,0.7,2.3441127508717634
63,0.5,0.8,1.6614810960416735
64,0.5,0.9,1.2782651023739717
65,0.5,0.99,1.0985818363932034
66,0.6,0.01,0.9796529534521882
67,0.6,0.1,1.3317096693325086
68,0.6,0.2,2.0390790728615915
69,0.6,0.3,3.592313320598029
70,0.6,0.4,7.57238234291651
71,0.6,0.5,3.7180455668117856
72,0.6,0.6,2.121712372120565
73,0.6,0.7,1.5211125902052813
74,0.6,0.8,1.1348540031716237
75,0.6,0.9,0.8040899079875059
76,0.6,0.99,0.76828041758767
77,0.7,0.01,1.186540344420781
78,0.7,0.1,1.8534700960669983
79,0.7,0.2,3.5474573443454527
80,0.7,0.3,7.658547709123655
81,0.7,0.4,3.3087132119409874
82,0.7,0.5,1.931745371469792
83,0.7,0.6,1.2726930060481463
84,0.7,0.7,1.0389469338865063
85,0.7,0.8,0.735798108485223
86,0.7,0.9,0.7226546594388107
87,0.7,0.99,0.5965426641230589
88,0.8,0.01,1.9353525275394066
89,0.8,0.1,3.254870441587505
90,0.8,0.2,7.819299694620233
91,0.8,0.3,2.8023404911778567
92,0.8,0.4,1.584398434986862
93,0.8,0.5,0.9698457993819811
94,0.8,0.6,0.8001263246123064
95,0.8,0.7,0.6171870513699075
96,0.8,0.8,0.3231937821141396
97,0.8,0.9,0.32849628610711673
98,0.8,0.99,0.18829760721474245
99,0.9,0.01,3.1854896070034124
100,0.9,0.1,8.038985587063948
101,0.9,0.2,1.9836593973271819
102,0.9,0.3,0.8103601242319475
103,0.9,0.4,0.5297273655771497
104,0.9,0.5,0.1551865650679549
105,0.9,0.6,0.054715259942937244
106,0.9,0.7,0.05424643074293827
107,0.9,0.8,-0.2214988991382411
108,0.9,0.9,-0.07039785804842161
109,0.9,0.99,-0.08745766453758319
110,0.99,0.01,8.998327516319382
111,0.99,0.1,-0.7816886335358046
112,0.99,0.2,-1.3735164366970913
113,0.99,0.3,-1.440060561446483
114,0.99,0.4,-1.5335073214822383
115,0.99,0.5,-1.7033172657457043
116,0.99,0.6,-1.6168943451877422
117,0.99,0.7,-1.6161194801651289
118,0.99,0.8,-1.5339258243688736
119,0.99,0.9,-1.6518308780455144
120,0.99,0.99,-1.5102176902847753
