,P,cost,value
0,0.01,0.01,-7.124617035912308
1,0.01,0.1,-7.086934166740098
2,0.01,0.2,-7.038662155916551
3,0.01,0.3,-7.026643072958275
4,0.01,0.4,-7.020907640704071
5,0.01,0.5,-6.929276449222337
6,0.01,0.6,-6.944182619063223
7,0.01,0.7,-6.923538108418304
8,0.01,0.8,-6.739391055152094
9,0.01,0.9,-6.367143769705212
10,0.01,0.99,5.506560575221812
11,0.1,0.01,-9.503109133117393
12,0.1,0.1,-9.470500669807048
13,0.1,0.2,-9.460523982315467
14,0.1,0.3,-9.442439599380709
15,0.1,0.4,-9.396538337158573
16,0.1,0.5,-9.358952365368165
17,0.1,0.6,-9.251212657377986
18,0.1,0.7,-9.047258069544583
19,0.1,0.8,-8.279987618415621
20,0.1,0.9,2.529233323489853
21,0.1,0.99,9.876770637243263
22,0.2,0.01,-9.702858967686597
23,0.2,0.1,-9.690401900674516
24,0.2,0.2,-9.668399546626969
25,0.2,0.3,-9.632302240154416
26,0.2,0.4,-9.573530586591383
27,0.2,0.5,-9.44851202600325
28,0.2,0.6,-9.20042302986632
29,0.2,0.7,-8.203741637676286
30,0.2,0.8,1.1793876393405192
31,0.2,0.9,9.609788203223651
32,0.2,0.99,9.935103283452207
33,0.3,0.01,-9.771999762649333
34,0.3,0.1,-9.75207505236273
35,0.3,0.2,-9.716759360452423
36,0.3,0.3,-9.653067583389086
37,0.3,0.4,-9.53980031072397
38,0.3,0.5,-9.261934659854031
39,0.3,0.6,-8.157996569791734
40,0.3,0.7,1.0013588899329526
41,0.3,0.8,9.27956311665444
42,0.3,0.9,9.888536598611047
43,0.3,0.99,9.957478304909653
44,0.4,0.01,-9.796013723898401
45,0.4,0.1,-9.768848504369549
46,0.4,0.2,-9.71366472262133
47,0.4,0.3,-9.595588618218319
48,0.4,0.4,-9.322756667311896
49,0.4,0.5,-8.243436218647698
50,0.4,0.6,0.8709119009454237
51,0.4,0.7,9.090950611306477
52,0.4,0.8,9.821485224604805
53,0.4,0.9,9.939318199768293
54,0.4,0.99,9.968817896209014
55,0.5,0.01,-9.807008082962726
56,0.5,0.1,-9.756066359300078
57,0.5,0.2,-9.657370265657024
58,0.5,0.3,-9.387435699393818
59,0.5,0.4,-8.291451164717857
60,0.5,0.5,1.1086561358967526
61,0.5,0.6,8.982028263156648
62,0.5,0.7,9.758115583214765
63,0.5,0.8,9.915751614276916
64,0.5,0.9,9.960244215286467
65,0.5,0.99,9.974887305218456
66,0.6,0.01,-9.79048717129421
67,0.6,0.1,-9.708684362303828
68,0.6,0.2,-9.465783186989583
69,0.6,0.3,-8.484847869829924
70,0.6,0.4,0.6523108241385587
71,0.6,0.5,8.939274529412186
72,0.6,0.6,9.73466828877077
73,0.6,0.7,9.88920660892431
74,0.6,0.8,9.946920911021484
75,0.6,0.9,9.97028080017418
76,0.6,0.99,9.978805260319906
77,0.7,0.01,-9.757170599518007
78,0.7,0.1,-9.581675966232115
79,0.7,0.2,-8.70784752287756
80,0.7,0.3,0.7694646005792928
81,0.7,0.4,9.031628246365045
82,0.7,0.5,9.732406617982729
83,0.7,0.6,9.884704180927711
84,0.7,0.7,9.936441216214467
85,0.7,0.8,9.963349413786371
86,0.7,0.9,9.976387139826453
87,0.7,0.99,9.982156919716418
88,0.8,0.01,-9.672115442891583
89,0.8,0.1,-9.041037516348766
90,0.8,0.2,0.3379817126555015
91,0.8,0.3,9.184593183254007
92,0.8,0.4,9.773103850077522
93,0.8,0.5,9.89535036492034
94,0.8,0.6,9.936824673755302
95,0.8,0.7,9.958858038360177
96,0.8,0.8,9.971464526005088
97,0.8,0.9,9.980342142226496
98,0.8,0.99,9.98491389884551
99,0.9,0.01,-9.375267652998163
100,0.9,0.1,0.15926187004681583
101,0.9,0.2,9.46053301925785
102,0.9,0.3,9.83281647452207
103,0.9,0.4,9.91588298925757
104,0.9,0.5,9.945535580366181
105,0.9,0.6,9.960349045598205
106,0.9,0.7,9.969665160026713
107,0.9,0.8,9.97815804796694
108,0.9,0.9,9.983504986871603
109,0.9,0.99,9.986748672480957
110,0.99,0.01,-0.5731459235617273
111,0.99,0.1,9.819745490412291
112,0.99,0.2,9.919016452253162
113,0.99,0.3,9.944240596594952
114,0.99,0.4,9.959306661282298
115,0.99,0.5,9.967044409855973
116,0.99,0.6,9.972709252307396
117,0.99,0.7,9.976925419519896
118,0.99,0.8,9.98235318583893
119,0.99,0.9,9.986691084607358
120,0.99,0.99,9.98895095041902
