,P,cost,value
0,0.01,0.01,9.999959804184579
1,0.01,0.1,9.99989319318776
2,0.01,0.2,9.999873353838533
3,0.01,0.3,9.99958596052966
4,0.01,0.4,9.99942214810299
5,0.01,0.5,9.998841782719968
6,0.01,0.6,9.996948441528428
7,0.01,0.7,9.99526890336439
8,0.01,0.8,9.985672219425998
9,0.01,0.9,9.937312519317137
10,0.01,0.99,0.5902282235583431
11,0.1,0.01,9.999733844763213
12,0.1,0.1,9.99937008418233
13,0.1,0.2,9.998397307109512
14,0.1,0.3,9.996127780860625
15,0.1,0.4,9.99250892515217
16,0.1,0.5,9.984213026633245
17,0.1,0.6,9.963390536592922
18,0.1,0.7,9.90027542728558
19,0.1,0.8,9.548761385027158
20,0.1,0.9,0.052635079442626534
21,0.1,0.99,-9.282987956683899
22,0.2,0.01,9.999560865430887
23,0.2,0.1,9.99867760434429
24,0.2,0.2,9.99583246880116
25,0.2,0.3,9.989738337360768
26,0.2,0.4,9.97724254465944
27,0.2,0.5,9.942908895516297
28,0.2,0.6,9.831769658754103
29,0.2,0.7,9.227986625178644
30,0.2,0.8,0.7431191932367347
31,0.2,0.9,-8.89863839594016
32,0.2,0.99,-9.626944465062536
33,0.3,0.01,9.999394941531252
34,0.3,0.1,9.997526230383025
35,0.3,0.2,9.991415312165428
36,0.3,0.3,9.976621614821003
37,0.3,0.4,9.938323417668196
38,0.3,0.5,9.805584198031225
39,0.3,0.6,9.084396000599087
40,0.3,0.7,0.6565527591075825
41,0.3,0.8,-8.513862268086003
42,0.3,0.9,-9.520091624711782
43,0.3,0.99,-9.727999536273211
44,0.4,0.01,9.999204628342026
45,0.4,0.1,9.995625493735686
46,0.4,0.2,9.982437554482553
47,0.4,0.3,9.943776641875523
48,0.4,0.4,9.810808317651764
49,0.4,0.5,9.084715245771978
50,0.4,0.6,0.6511365924675485
51,0.4,0.7,-8.307894393233433
52,0.4,0.8,-9.403685013429259
53,0.4,0.9,-9.67342231973657
54,0.4,0.99,-9.771846771364283
55,0.5,0.01,9.998927334095566
56,0.5,0.1,9.991565219714577
57,0.5,0.2,9.96015440703583
58,0.5,0.3,9.83808398816867
59,0.5,0.4,9.111425073521813
60,0.5,0.5,0.42905185169218185
61,0.5,0.6,-8.167165609676012
62,0.5,0.7,-9.302718273866338
63,0.5,0.8,-9.611098968030237
64,0.5,0.9,-9.723829431205226
65,0.5,0.99,-9.786943125634016
66,0.6,0.01,9.998502935232029
67,0.6,0.1,9.98196123381223
68,0.6,0.2,9.88521829441085
69,0.6,0.3,9.258542109935474
70,0.6,0.4,0.9301502754639536
71,0.6,0.5,-8.091797643704577
72,0.6,0.6,-9.246630209887188
73,0.6,0.7,-9.54240848393376
74,0.6,0.8,-9.674804338232958
75,0.6,0.9,-9.749854208273534
76,0.6,0.99,-9.780140120535158
77,0.7,0.01,9.997694134213313
78,0.7,0.1,9.949774241384905
79,0.7,0.2,9.460212037489804
80,0.7,0.3,0.9461681331130299
81,0.7,0.4,-8.14218972371524
82,0.7,0.5,-9.188037325687743
83,0.7,0.6,-9.485753601802218
84,0.7,0.7,-9.6078995080273
85,0.7,0.8,-9.686515681721799
86,0.7,0.9,-9.732872458270668
87,0.7,0.99,-9.759350520963414
88,0.8,0.01,9.995534485609651
89,0.8,0.1,9.747825745098307
90,0.8,0.2,1.6524125396104568
91,0.8,0.3,-8.189931835527279
92,0.8,0.4,-9.143244658619157
93,0.8,0.5,-9.416217334867824
94,0.8,0.6,-9.529793090717437
95,0.8,0.7,-9.598493617531487
96,0.8,0.8,-9.644493131074528
97,0.8,0.9,-9.669920845567617
98,0.8,0.99,-9.68750487900946
99,0.9,0.01,9.984661660630861
100,0.9,0.1,2.5301805305808585
101,0.9,0.2,-8.199234040317657
102,0.9,0.3,-8.976249399826807
103,0.9,0.4,-9.209644216739044
104,0.9,0.5,-9.3224459881085
105,0.9,0.6,-9.36608236521486
106,0.9,0.7,-9.411985534432112
107,0.9,0.8,-9.447581252197185
108,0.9,0.9,-9.463161603607217
109,0.9,0.99,-9.475965852323798
110,0.99,0.01,7.031532370072697
111,0.99,0.1,-6.268053568962043
112,0.99,0.2,-6.804131084791325
113,0.99,0.3,-6.887731249264047
114,0.99,0.4,-6.946271779616896
115,0.99,0.5,-7.007160944956188
116,0.99,0.6,-7.010347295176025
117,0.99,0.7,-7.02484950332106
118,0.99,0.8,-6.960659584354698
119,0.99,0.9,-7.0267123070879824
120,0.99,0.99,-7.0024273863831255
