,P,cost,value
0,0.01,0.01,0.00010189653019926667
1,0.01,0.1,0.0001027924169508384
2,0.01,0.2,9.947334919640339e-05
3,0.01,0.3,0.00019541442339203086
4,0.01,0.4,0.00026723380363553217
5,0.01,0.5,0.00036379844708462554
6,0.01,0.6,0.000674966952787997
7,0.01,0.7,0.0016147669415484693
8,0.01,0.8,0.003976338344570494
9,0.01,0.9,0.02161053839412027
10,0.01,0.99,2.846855696854988
11,0.1,0.01,0.00046555078415830194
12,0.1,0.1,0.0005088616666070317
13,0.1,0.2,0.0005901434561402407
14,0.1,0.3,0.0006079320602310528
15,0.1,0.4,0.0008159508071985508
16,0.1,0.5,0.0014484712156666928
17,0.1,0.6,0.003491683322476406
18,0.1,0.7,0.013791931253819936
19,0.1,0.8,0.09586103082583144
20,0.1,0.9,2.8910210060539088
21,0.1,0.99,0.3472377354360082
22,0.2,0.01,0.0010767657345467578
23,0.2,0.1,0.0010750637885767367
24,0.2,0.2,0.0013030351249063601
25,0.2,0.3,0.0015627461840206115
26,0.2,0.4,0.0018701501746550798
27,0.2,0.5,0.0037329844081003183
28,0.2,0.6,0.01536739705040288
29,0.2,0.7,0.16382810605465814
30,0.2,0.8,2.5212683791122643
31,0.2,0.9,0.5346868250754802
32,0.2,0.99,0.24536829678448197
33,0.3,0.01,0.0022440188982838817
34,0.3,0.1,0.0022213916457550676
35,0.3,0.2,0.0029762959560921324
36,0.3,0.3,0.003264866990879448
37,0.3,0.4,0.00441044374545626
38,0.3,0.5,0.01236510435264706
39,0.3,0.6,0.1342728174169551
40,0.3,0.7,2.4636662451287568
41,0.3,0.8,0.6453619617817146
42,0.3,0.9,0.2521619635739352
43,0.3,0.99,0.16562925022334102
44,0.4,0.01,0.005949473140946338
45,0.4,0.1,0.0056236782368113535
46,0.4,0.2,0.0068936057114320215
47,0.4,0.3,0.0094284432756865
48,0.4,0.4,0.015522443102074974
49,0.4,0.5,0.0973155536679446
50,0.4,0.6,2.030112239047272
51,0.4,0.7,0.5311847303148203
52,0.4,0.8,0.14141007664022484
53,0.4,0.9,0.07070044133780459
54,0.4,0.99,0.0568585786010151
55,0.5,0.01,0.019116265849510268
56,0.5,0.1,0.01967645928281854
57,0.5,0.2,0.02318303854442591
58,0.5,0.3,0.05446174308147787
59,0.5,0.4,0.14071427129445166
60,0.5,0.5,0.4257297724695359
61,0.5,0.6,0.1175323960950976
62,0.5,0.7,0.04279034267968573
63,0.5,0.8,0.027697682859394994
64,0.5,0.9,0.02134358148803237
65,0.5,0.99,0.01809794900515675
66,0.6,0.01,0.0496210229266877
67,0.6,0.1,0.07140993340450387
68,0.6,0.2,0.13408105630202163
69,0.6,0.3,0.5562205773934704
70,0.6,0.4,1.6641774461765864
71,0.6,0.5,0.10614379784143542
72,0.6,0.6,0.023666420945593587
73,0.6,0.7,0.015855876800232406
74,0.6,0.8,0.00931549609963854
75,0.6,0.9,0.007436685836584596
76,0.6,0.99,0.007239506587723998
77,0.7,0.01,0.14510884905581728
78,0.7,0.1,0.2543207902148316
79,0.7,0.2,0.564205221511851
80,0.7,0.3,1.913796284887014
81,0.7,0.4,0.12257299742691133
82,0.7,0.5,0.022990708320058516
83,0.7,0.6,0.013012510519110964
84,0.7,0.7,0.007466777617044655
85,0.7,0.8,0.005055000082892319
86,0.7,0.9,0.005138984754088026
87,0.7,0.99,0.004031587062307603
88,0.8,0.01,0.2736580851690267
89,0.8,0.1,0.4148386662656507
90,0.8,0.2,1.6968074576269996
91,0.8,0.3,0.09200967696362035
92,0.8,0.4,0.019354446435574855
93,0.8,0.5,0.010963381393422525
94,0.8,0.6,0.00773472957157648
95,0.8,0.7,0.004498127288184979
96,0.8,0.8,0.003990011643741918
97,0.8,0.9,0.0031897446864577106
98,0.8,0.99,0.0025952749855240225
99,0.9,0.01,0.35254976731705995
100,0.9,0.1,1.336618953938904
101,0.9,0.2,0.044673071112106694
102,0.9,0.3,0.01520627965246843
103,0.9,0.4,0.007360290313003698
104,0.9,0.5,0.006533262237648517
105,0.9,0.6,0.004679958180046056
106,0.9,0.7,0.003726705558796388
107,0.9,0.8,0.0030680982310339116
108,0.9,0.9,0.002219723242995816
109,0.9,0.99,0.001955089754028819
110,0.99,0.01,0.6179269891804677
111,0.99,0.1,0.016917432634666663
112,0.99,0.2,0.008963910389234839
113,0.99,0.3,0.006086471616907375
114,0.99,0.4,0.0046483612782284075
115,0.99,0.5,0.004118543805257651
116,0.99,0.6,0.0039291377760242215
117,0.99,0.7,0.0025718125489799766
118,0.99,0.8,0.0020439664859798683
119,0.99,0.9,0.0018446659969981838
120,0.99,0.99,0.0013744285552862454
