,P,cost,value
0,0.01,0.01,0.43000702850585515
1,0.01,0.1,0.4145025920826919
2,0.01,0.2,0.4203872556751437
3,0.01,0.3,0.4370481453973978
4,0.01,0.4,0.42015041073557313
5,0.01,0.5,0.40813837344320475
6,0.01,0.6,0.432076368983314
7,0.01,0.7,0.485538225145662
8,0.01,0.8,0.4412013460918162
9,0.01,0.9,0.608282366021782
10,0.01,0.99,3.164832033180913
11,0.1,0.01,0.11542480577809713
12,0.1,0.1,0.14894076825531555
13,0.1,0.2,0.11705561346652293
14,0.1,0.3,0.11163195486475741
15,0.1,0.4,0.13365592036179721
16,0.1,0.5,0.16733077052170436
17,0.1,0.6,0.14407287377924158
18,0.1,0.7,0.19470587027702133
19,0.1,0.8,0.40401273216941674
20,0.1,0.9,3.044133392182682
21,0.1,0.99,0.07487183012994876
22,0.2,0.01,0.11596669599675967
23,0.2,0.1,0.12594627236686573
24,0.2,0.2,0.13860708363995655
25,0.2,0.3,0.12483564962468499
26,0.2,0.4,0.11675592903127988
27,0.2,0.5,0.1548392831868297
28,0.2,0.6,0.1956009605389761
29,0.2,0.7,0.5100354742920489
30,0.2,0.8,2.704691045434287
31,0.2,0.9,0.11979602400934705
32,0.2,0.99,0.0819691240313381
33,0.3,0.01,0.10253436065128817
34,0.3,0.1,0.1034184918620503
35,0.3,0.2,0.13123007327873348
36,0.3,0.3,0.13389046485777845
37,0.3,0.4,0.14828523410400657
38,0.3,0.5,0.17972283266570976
39,0.3,0.6,0.4568320718430162
40,0.3,0.7,2.692230072979296
41,0.3,0.8,0.142755923464504
42,0.3,0.9,0.08651530810324749
43,0.3,0.99,0.082105097556644
44,0.4,0.01,0.10731303601159459
45,0.4,0.1,0.10432529881421163
46,0.4,0.2,0.13496651408663501
47,0.4,0.3,0.13019644995648946
48,0.4,0.4,0.16372508679530634
49,0.4,0.5,0.5281004280094834
50,0.4,0.6,2.7044574817866667
51,0.4,0.7,0.18289367755757913
52,0.4,0.8,0.08519360343640715
53,0.4,0.9,0.07510245800360907
54,0.4,0.99,0.08380324560680646
55,0.5,0.01,0.08777343324808466
56,0.5,0.1,0.10710025751301305
57,0.5,0.2,0.12215194562105085
58,0.5,0.3,0.16270370224391068
59,0.5,0.4,0.44778273764656346
60,0.5,0.5,2.5214055176067243
61,0.5,0.6,0.23044887825911126
62,0.5,0.7,0.06133475904252763
63,0.5,0.8,0.0628107505032852
64,0.5,0.9,0.060282745202662295
65,0.5,0.99,0.07025839461645202
66,0.6,0.01,0.08352437113095157
67,0.6,0.1,0.08274407700500952
68,0.6,0.2,0.1435481496701555
69,0.6,0.3,0.3562684268066231
70,0.6,0.4,2.2242807554087745
71,0.6,0.5,0.21388089512665248
72,0.6,0.6,0.055280318086466385
73,0.6,0.7,0.04099521093752397
74,0.6,0.8,0.0444944727777281
75,0.6,0.9,0.046975516481491855
76,0.6,0.99,0.049578946131467634
77,0.7,0.01,0.06822824733519263
78,0.7,0.1,0.10651834641017366
79,0.7,0.2,0.25455625638535195
80,0.7,0.3,2.0276836209129314
81,0.7,0.4,0.15868722036692107
82,0.7,0.5,0.0352819632060953
83,0.7,0.6,0.033110733279750365
84,0.7,0.7,0.03535181505948999
85,0.7,0.8,0.03711370331175986
86,0.7,0.9,0.03455043806353178
87,0.7,0.99,0.03129956120940694
88,0.8,0.01,0.07789667115655438
89,0.8,0.1,0.1656002361906932
90,0.8,0.2,1.780703083836793
91,0.8,0.3,0.10724317399808764
92,0.8,0.4,0.02632854267967559
93,0.8,0.5,0.019259068840207668
94,0.8,0.6,0.019859018448893647
95,0.8,0.7,0.0188791442462218
96,0.8,0.8,0.020051742496055642
97,0.8,0.9,0.022861258488939086
98,0.8,0.99,0.019839871523457276
99,0.9,0.01,0.09552720092248809
100,0.9,0.1,1.3766410330104415
101,0.9,0.2,0.05313517357235972
102,0.9,0.3,0.017614809981798218
103,0.9,0.4,0.009940454719616102
104,0.9,0.5,0.009852915946279142
105,0.9,0.6,0.00967770494328329
106,0.9,0.7,0.009089464487459053
107,0.9,0.8,0.009598431760717136
108,0.9,0.9,0.009038326995914689
109,0.9,0.99,0.009017222882937366
110,0.99,0.01,0.6502904605659549
111,0.99,0.1,0.018187237973877227
112,0.99,0.2,0.009163465053724923
113,0.99,0.3,0.0062405313923901
114,0.99,0.4,0.0050583136974958675
115,0.99,0.5,0.004633950322021315
116,0.99,0.6,0.0040592315288043865
117,0.99,0.7,0.003222988245477048
118,0.99,0.8,0.0027286009380392533
119,0.99,0.9,0.002432030407037227
120,0.99,0.99,0.002212494898599084
