,P,cost,value
0,0.01,0.01,0.0014426523167399806
1,0.01,0.1,0.001530561294590446
2,0.01,0.2,0.0015884571962862717
3,0.01,0.3,0.0018044011766248297
4,0.01,0.4,0.0016070459928496422
5,0.01,0.5,0.0018632947872680673
6,0.01,0.6,0.0017082094818905514
7,0.01,0.7,0.001446050256931146
8,0.01,0.8,0.0036954770242765347
9,0.01,0.9,0.029847546961094026
10,0.01,0.99,3.8366835436887365
11,0.1,0.01,0.01783706747290358
12,0.1,0.1,0.014971174793570078
13,0.1,0.2,0.015016554724287857
14,0.1,0.3,0.01642280010838841
15,0.1,0.4,0.016994840803780834
16,0.1,0.5,0.012804726367639501
17,0.1,0.6,0.015554955201871331
18,0.1,0.7,0.017666688971438152
19,0.1,0.8,0.11157225995105062
20,0.1,0.9,3.039467289487381
21,0.1,0.99,0.12039488785436593
22,0.2,0.01,0.04936326448666102
23,0.2,0.1,0.05335477348364054
24,0.2,0.2,0.05448210308674076
25,0.2,0.3,0.05850825993267809
26,0.2,0.4,0.044892447690473146
27,0.2,0.5,0.050849071676826244
28,0.2,0.6,0.05326104594732055
29,0.2,0.7,0.16739081153571095
30,0.2,0.8,2.459638201581278
31,0.2,0.9,0.30360687403475134
32,0.2,0.99,0.10124084741702129
33,0.3,0.01,0.09209816331895546
34,0.3,0.1,0.09461139444687355
35,0.3,0.2,0.1018033218143636
36,0.3,0.3,0.09091508367410296
37,0.3,0.4,0.0885237604267672
38,0.3,0.5,0.09784687044101556
39,0.3,0.6,0.18421699308724104
40,0.3,0.7,2.0468717509446983
41,0.3,0.8,0.3316957912448071
42,0.3,0.9,0.13106520343111544
43,0.3,0.99,0.1203864552346974
44,0.4,0.01,0.1552467649887166
45,0.4,0.1,0.1361460458835687
46,0.4,0.2,0.1366343658449064
47,0.4,0.3,0.13893278858356278
48,0.4,0.4,0.15990680026406034
49,0.4,0.5,0.21237327951078483
50,0.4,0.6,1.327198363279738
51,0.4,0.7,0.3707733579088496
52,0.4,0.8,0.19191024022104608
53,0.4,0.9,0.14737025309634746
54,0.4,0.99,0.17058497723980184
55,0.5,0.01,0.1834168358054644
56,0.5,0.1,0.1818641121088653
57,0.5,0.2,0.19241964074726597
58,0.5,0.3,0.19788869217452848
59,0.5,0.4,0.29967664793584725
60,0.5,0.5,0.6049272640681925
61,0.5,0.6,0.2874704866412811
62,0.5,0.7,0.20630513367015152
63,0.5,0.8,0.1584299955806424
64,0.5,0.9,0.18103750529297813
65,0.5,0.99,0.18115830120973747
66,0.6,0.01,0.16204523189601028
67,0.6,0.1,0.15072373711535642
68,0.6,0.2,0.17015447050594845
69,0.6,0.3,0.3431671832532285
70,0.6,0.4,1.156325580176141
71,0.6,0.5,0.20640202837840335
72,0.6,0.6,0.1238127930331702
73,0.6,0.7,0.12077264174411283
74,0.6,0.8,0.15129990489529235
75,0.6,0.9,0.15682241095093366
76,0.6,0.99,0.1549837256235022
77,0.7,0.01,0.12654844675130766
78,0.7,0.1,0.13786845894341937
79,0.7,0.2,0.2618390632946333
80,0.7,0.3,1.6209142999937554
81,0.7,0.4,0.1867353999675101
82,0.7,0.5,0.10366685332142507
83,0.7,0.6,0.09418433702943277
84,0.7,0.7,0.09921879029746115
85,0.7,0.8,0.11100980211830583
86,0.7,0.9,0.08192713206211975
87,0.7,0.99,0.09899036737144061
88,0.8,0.01,0.09178771712030398
89,0.8,0.1,0.17999955839309723
90,0.8,0.2,1.6772907283847949
91,0.8,0.3,0.11229045772112675
92,0.8,0.4,0.049271690816514266
93,0.8,0.5,0.05405039414470231
94,0.8,0.6,0.04976413524185981
95,0.8,0.7,0.05028978984858991
96,0.8,0.8,0.04506639674685807
97,0.8,0.9,0.04971417174693241
98,0.8,0.99,0.045653964382335176
99,0.9,0.01,0.103212239411899
100,0.9,0.1,1.3710627089349292
101,0.9,0.2,0.05501464976716524
102,0.9,0.3,0.022079111401610906
103,0.9,0.4,0.016428897334354813
104,0.9,0.5,0.016606150316927644
105,0.9,0.6,0.014277780133748546
106,0.9,0.7,0.016578966292520834
107,0.9,0.8,0.017055499153744304
108,0.9,0.9,0.018246624986534742
109,0.9,0.99,0.016494364969081275
110,0.99,0.01,0.6489222023157548
111,0.99,0.1,0.018168010173930608
112,0.99,0.2,0.008932987591494725
113,0.99,0.3,0.006176159839928545
114,0.99,0.4,0.004894952868396596
115,0.99,0.5,0.004372215147171412
116,0.99,0.6,0.004383460575590716
117,0.99,0.7,0.0030522237622829552
118,0.99,0.8,0.0029160816870786735
119,0.99,0.9,0.0026297970572112628
120,0.99,0.99,0.002174367121250724
