,P,cost,value
0,0.01,0.01,5.970657744402584e-05
1,0.01,0.1,6.619395665297138e-05
2,0.01,0.2,5.745037424156355e-05
3,0.01,0.3,0.00020871168462259943
4,0.01,0.4,0.0002409204263130437
5,0.01,0.5,0.0005656013496385853
6,0.01,0.6,0.00212405005586342
7,0.01,0.7,0.00463159735999286
8,0.01,0.8,0.006102431183977486
9,0.01,0.9,0.011834154142035966
10,0.01,0.99,1.3053898685713268
11,0.1,0.01,0.00010294437540225854
12,0.1,0.1,0.00017612381041868434
13,0.1,0.2,0.0003196882456623148
14,0.1,0.3,0.0005072747030859515
15,0.1,0.4,0.0008035783265383017
16,0.1,0.5,0.0014945154005330833
17,0.1,0.6,0.0033335604674636934
18,0.1,0.7,0.007112279982989087
19,0.1,0.8,0.029421231216690758
20,0.1,0.9,1.2096091682114012
21,0.1,0.99,0.038224952551513584
22,0.2,0.01,0.00013270297978902544
23,0.2,0.1,0.00025504192121902154
24,0.2,0.2,0.0005038870077337482
25,0.2,0.3,0.0010994430640964682
26,0.2,0.4,0.001816911741628662
27,0.2,0.5,0.004237663549914249
28,0.2,0.6,0.011504415440840283
29,0.2,0.7,0.11148256583098626
30,0.2,0.8,1.8371358257981982
31,0.2,0.9,0.04123838061803948
32,0.2,0.99,0.013663261189294035
33,0.3,0.01,0.00018398576972445551
34,0.3,0.1,0.00039785517244437184
35,0.3,0.2,0.0010725506933575463
36,0.3,0.3,0.0022503460703322186
37,0.3,0.4,0.005592916201258291
38,0.3,0.5,0.019084757320966338
39,0.3,0.6,0.14792506041927386
40,0.3,0.7,2.335561435587713
41,0.3,0.8,0.08825903748886559
42,0.3,0.9,0.016192157700715984
43,0.3,0.99,0.007975936810516221
44,0.4,0.01,0.0002313603703691755
45,0.4,0.1,0.0006601056561752346
46,0.4,0.2,0.0020586588384148585
47,0.4,0.3,0.0049899103921359845
48,0.4,0.4,0.022694829687986275
49,0.4,0.5,0.16096950552552702
50,0.4,0.6,2.5746883815635977
51,0.4,0.7,0.4879118395161331
52,0.4,0.8,0.02285268948530949
53,0.4,0.9,0.009285241033702213
54,0.4,0.99,0.0053856338031683295
55,0.5,0.01,0.00029285540370258407
56,0.5,0.1,0.00103271030913465
57,0.5,0.2,0.0038747056870680105
58,0.5,0.3,0.018013953672559372
59,0.5,0.4,0.1715453210048259
60,0.5,0.5,2.135738039465379
61,0.5,0.6,0.7251329896453801
62,0.5,0.7,0.07442424811558367
63,0.5,0.8,0.010536526534641393
64,0.5,0.9,0.005656075959915864
65,0.5,0.99,0.0036059085636172515
66,0.6,0.01,0.00032325512103137545
67,0.6,0.1,0.002026289178992926
68,0.6,0.2,0.013157512008089376
69,0.6,0.3,0.12604251222971638
70,0.6,0.4,2.1206006522790237
71,0.6,0.5,0.7947532261982024
72,0.6,0.6,0.16118772642953197
73,0.6,0.7,0.020811521025535417
74,0.6,0.8,0.006851343796681737
75,0.6,0.9,0.004325461011918179
76,0.6,0.99,0.0033578743405892893
77,0.7,0.01,0.0004526847599379965
78,0.7,0.1,0.0048999526293817515
79,0.7,0.2,0.08838074195747767
80,0.7,0.3,1.8993665372375146
81,0.7,0.4,0.7227750958645711
82,0.7,0.5,0.1828294276517704
83,0.7,0.6,0.035208639653225515
84,0.7,0.7,0.012268199400161411
85,0.7,0.8,0.004978560358047884
86,0.7,0.9,0.003145724515231602
87,0.7,0.99,0.002143292910226302
88,0.8,0.01,0.0008523944592585282
89,0.8,0.1,0.023228842529444974
90,0.8,0.2,1.4771679619089677
91,0.8,0.3,0.5906321980679538
92,0.8,0.4,0.1501984626789048
93,0.8,0.5,0.03782308850528868
94,0.8,0.6,0.015526669361724322
95,0.8,0.7,0.007304427343469762
96,0.8,0.8,0.003587247691524862
97,0.8,0.9,0.002534796425434755
98,0.8,0.99,0.002022903564556643
99,0.9,0.01,0.00211324688071933
100,0.9,0.1,1.0624196114351852
101,0.9,0.2,0.614180936348244
102,0.9,0.3,0.10886054489353617
103,0.9,0.4,0.026141049449747003
104,0.9,0.5,0.011778949131099517
105,0.9,0.6,0.007846028137534053
106,0.9,0.7,0.004750436225417213
107,0.9,0.8,0.002869074580280786
108,0.9,0.9,0.0022125059285053044
109,0.9,0.99,0.0016554848891886973
110,0.99,0.01,0.07574856001080059
111,0.99,0.1,0.09125242331418076
112,0.99,0.2,0.02678144496872968
113,0.99,0.3,0.013064979971242653
114,0.99,0.4,0.006938856913325814
115,0.99,0.5,0.005036816305124836
116,0.99,0.6,0.003877761834795894
117,0.99,0.7,0.003086127475361543
118,0.99,0.8,0.002102617527231351
119,0.99,0.9,0.0015578054540040967
120,0.99,0.99,0.001416300477497306
