,P,cost,value
0,0.01,0.01,0.5771395447359056
1,0.01,0.1,0.6557800721915563
2,0.01,0.2,0.7348313941333628
3,0.01,0.3,0.6331600604286511
4,0.01,0.4,0.6223521806955059
5,0.01,0.5,0.7345865705850496
6,0.01,0.6,0.6100679047002527
7,0.01,0.7,0.7677166751891402
8,0.01,0.8,0.6098026981600063
9,0.01,0.9,0.8055173654312189
10,0.01,0.99,2.2299375887294044
11,0.1,0.01,0.5369012397215631
12,0.1,0.1,0.5408519214564917
13,0.1,0.2,0.5770049254707985
14,0.1,0.3,0.5024077903377998
15,0.1,0.4,0.5435490782833398
16,0.1,0.5,0.5532321121797511
17,0.1,0.6,0.6050219479102781
18,0.1,0.7,0.6388604712855689
19,0.1,0.8,0.7701277522032347
20,0.1,0.9,1.8504992741005524
21,0.1,0.99,0.3744464816869037
22,0.2,0.01,0.26950552794834914
23,0.2,0.1,0.2573675373482077
24,0.2,0.2,0.29261498678526005
25,0.2,0.3,0.269958042798746
26,0.2,0.4,0.3094945997244098
27,0.2,0.5,0.3372726655007945
28,0.2,0.6,0.36828673668512923
29,0.2,0.7,0.7661175871738193
30,0.2,0.8,2.8513119219469796
31,0.2,0.9,0.10657172261481992
32,0.2,0.99,0.14479580935480765
33,0.3,0.01,0.1186613927558168
34,0.3,0.1,0.1244010805535435
35,0.3,0.2,0.13552696049656537
36,0.3,0.3,0.1586850792215886
37,0.3,0.4,0.16671888855017386
38,0.3,0.5,0.2532264749813585
39,0.3,0.6,0.5660168740218408
40,0.3,0.7,2.8588610300153876
41,0.3,0.8,0.1407062613433985
42,0.3,0.9,0.044291521292357174
43,0.3,0.99,0.057217329465106145
44,0.4,0.01,0.07092990021190375
45,0.4,0.1,0.08037953337582839
46,0.4,0.2,0.0844700123024521
47,0.4,0.3,0.11947545493871684
48,0.4,0.4,0.18650662586456707
49,0.4,0.5,0.4999627178359347
50,0.4,0.6,2.982763592329436
51,0.4,0.7,0.20609141023631636
52,0.4,0.8,0.021103009433259136
53,0.4,0.9,0.019404358475787954
54,0.4,0.99,0.026482620857265833
55,0.5,0.01,0.05438499329474308
56,0.5,0.1,0.06000910657992262
57,0.5,0.2,0.06991391183307569
58,0.5,0.3,0.1266781511883181
59,0.5,0.4,0.46414068551967563
60,0.5,0.5,2.3784116177300847
61,0.5,0.6,0.21721361943335638
62,0.5,0.7,0.03333195494692519
63,0.5,0.8,0.011640305940197137
64,0.5,0.9,0.009920270914336603
65,0.5,0.99,0.009804460165765298
66,0.6,0.01,0.040265148758194355
67,0.6,0.1,0.051972780293250774
68,0.6,0.2,0.09331717147556552
69,0.6,0.3,0.3154606548301473
70,0.6,0.4,2.2974745546611484
71,0.6,0.5,0.2656154318222722
72,0.6,0.6,0.03546609801650862
73,0.6,0.7,0.013455157760493624
74,0.6,0.8,0.007202629636922429
75,0.6,0.9,0.006508319300927695
76,0.6,0.99,0.00722387202658405
77,0.7,0.01,0.03844565072398201
78,0.7,0.1,0.07205755004769217
79,0.7,0.2,0.24426879755277126
80,0.7,0.3,2.0471050735701954
81,0.7,0.4,0.20639397527481324
82,0.7,0.5,0.03580308372421106
83,0.7,0.6,0.012052026176087617
84,0.7,0.7,0.009247762765080858
85,0.7,0.8,0.005059224707133678
86,0.7,0.9,0.004202568169449142
87,0.7,0.99,0.004185395948297308
88,0.8,0.01,0.04390993956892188
89,0.8,0.1,0.1237072343949063
90,0.8,0.2,1.6257476948963503
91,0.8,0.3,0.14268579413076182
92,0.8,0.4,0.026398918738039713
93,0.8,0.5,0.012995357110206565
94,0.8,0.6,0.007829363211545395
95,0.8,0.7,0.004784282476820343
96,0.8,0.8,0.0037627294569858184
97,0.8,0.9,0.002874258207780298
98,0.8,0.99,0.002762753964393394
99,0.9,0.01,0.08066770717368407
100,0.9,0.1,1.3028429550305975
101,0.9,0.2,0.0714525809870683
102,0.9,0.3,0.018363028843427928
103,0.9,0.4,0.009896173576226998
104,0.9,0.5,0.005627078831923723
105,0.9,0.6,0.004455247043173344
106,0.9,0.7,0.003731399391848722
107,0.9,0.8,0.002849003738173281
108,0.9,0.9,0.002145612863626896
109,0.9,0.99,0.0017872188436656054
110,0.99,0.01,0.683346203596795
111,0.99,0.1,0.021401071071867114
112,0.99,0.2,0.009733169161716376
113,0.99,0.3,0.005708700270625447
114,0.99,0.4,0.005074821046039042
115,0.99,0.5,0.004044559901458703
116,0.99,0.6,0.002853159800466636
117,0.99,0.7,0.0026393019343945437
118,0.99,0.8,0.0021014166414442927
119,0.99,0.9,0.0015703620564340142
120,0.99,0.99,0.0014255338022123247
