,P,cost,value
0,0.01,0.01,0.62767314896951
1,0.01,0.1,0.6951019064913316
2,0.01,0.2,0.6746469950384725
3,0.01,0.3,0.6697097048389428
4,0.01,0.4,0.6476677097645195
5,0.01,0.5,0.5779205104709342
6,0.01,0.6,0.6346720857344751
7,0.01,0.7,0.7223377464351561
8,0.01,0.8,0.6639370213596696
9,0.01,0.9,0.8008452894889319
10,0.01,0.99,1.8962060437008887
11,0.1,0.01,0.33895942533939916
12,0.1,0.1,0.32354811155220387
13,0.1,0.2,0.33550473107154954
14,0.1,0.3,0.3262095737353809
15,0.1,0.4,0.35228638008417135
16,0.1,0.5,0.3310448331668303
17,0.1,0.6,0.30673808060515745
18,0.1,0.7,0.34448300949117583
19,0.1,0.8,0.42031626610690986
20,0.1,0.9,0.48638861209269324
21,0.1,0.99,0.2834528676074644
22,0.2,0.01,0.270956380304326
23,0.2,0.1,0.2713909466439838
24,0.2,0.2,0.24640654251345814
25,0.2,0.3,0.24760120677207076
26,0.2,0.4,0.26503788384684945
27,0.2,0.5,0.2789537444857808
28,0.2,0.6,0.29097952055509724
29,0.2,0.7,0.4042190693257048
30,0.2,0.8,0.5456486871698883
31,0.2,0.9,0.28210434741759444
32,0.2,0.99,0.24409215629817946
33,0.3,0.01,0.2443203010096727
34,0.3,0.1,0.2095191006747789
35,0.3,0.2,0.20573431607973613
36,0.3,0.3,0.23113107073717482
37,0.3,0.4,0.245849982888112
38,0.3,0.5,0.22344250033983618
39,0.3,0.6,0.33631216949235
40,0.3,0.7,0.6203639016912822
41,0.3,0.8,0.2905389894642559
42,0.3,0.9,0.23082429549906752
43,0.3,0.99,0.2195969396713061
44,0.4,0.01,0.21426834079955104
45,0.4,0.1,0.1987018953139511
46,0.4,0.2,0.2006455366379352
47,0.4,0.3,0.2145490419623599
48,0.4,0.4,0.23712026460202917
49,0.4,0.5,0.3753093007289401
50,0.4,0.6,0.5846974016381424
51,0.4,0.7,0.31311938055712696
52,0.4,0.8,0.2169014726566319
53,0.4,0.9,0.20137329831876877
54,0.4,0.99,0.219935657932468
55,0.5,0.01,0.2139012973788476
56,0.5,0.1,0.20552005197486126
57,0.5,0.2,0.21799764320843584
58,0.5,0.3,0.22225236684758742
59,0.5,0.4,0.3120139422321778
60,0.5,0.5,0.5737593139351205
61,0.5,0.6,0.2992304714822435
62,0.5,0.7,0.24201123398641539
63,0.5,0.8,0.18541666663286674
64,0.5,0.9,0.19752124732277318
65,0.5,0.99,0.19460032544951272
66,0.6,0.01,0.21006935285195988
67,0.6,0.1,0.17443749912875456
68,0.6,0.2,0.20041512826030355
69,0.6,0.3,0.2774610860799567
70,0.6,0.4,0.5675257563189974
71,0.6,0.5,0.28728628275573287
72,0.6,0.6,0.18954708899679348
73,0.6,0.7,0.18392831686830077
74,0.6,0.8,0.2179962388311395
75,0.6,0.9,0.201991323083338
76,0.6,0.99,0.20061070460781671
77,0.7,0.01,0.2034568115864348
78,0.7,0.1,0.19734936945148415
79,0.7,0.2,0.2664726847598719
80,0.7,0.3,0.5891819334314835
81,0.7,0.4,0.2757743383234619
82,0.7,0.5,0.2538409695416694
83,0.7,0.6,0.20946330787231845
84,0.7,0.7,0.2155566034335123
85,0.7,0.8,0.20364440240475054
86,0.7,0.9,0.2215269967357948
87,0.7,0.99,0.21429917119467554
88,0.8,0.01,0.22893488993339806
89,0.8,0.1,0.23791636862736426
90,0.8,0.2,0.5803756404684356
91,0.8,0.3,0.31435552751846985
92,0.8,0.4,0.23462739075640582
93,0.8,0.5,0.2789278625578714
94,0.8,0.6,0.23048994058845615
95,0.8,0.7,0.2972119355998682
96,0.8,0.8,0.24218818564048714
97,0.8,0.9,0.26744369210716623
98,0.8,0.99,0.2246408732852465
99,0.9,0.01,0.28636484594770373
100,0.9,0.1,0.48426824796729406
101,0.9,0.2,0.3685338050643075
102,0.9,0.3,0.3055108692482572
103,0.9,0.4,0.33021060388660406
104,0.9,0.5,0.33988836322077187
105,0.9,0.6,0.3309829803840598
106,0.9,0.7,0.3873357644024499
107,0.9,0.8,0.36893733070961476
108,0.9,0.9,0.3012392834065074
109,0.9,0.99,0.3811663702779417
110,0.99,0.01,0.27659324608772606
111,0.99,0.1,0.6162131183176751
112,0.99,0.2,0.663156309868112
113,0.99,0.3,0.646005524828787
114,0.99,0.4,0.677615952409098
115,0.99,0.5,0.6828402956862774
116,0.99,0.6,0.628934843170579
117,0.99,0.7,0.592902636012827
118,0.99,0.8,0.6209519466050031
119,0.99,0.9,0.6502430082706873
120,0.99,0.99,0.5650958380765848
