,P,cost,value
0,0.01,0.01,5.970657744402584e-05
1,0.01,0.1,6.619395665297138e-05
2,0.01,0.2,5.745037424156355e-05
3,0.01,0.3,0.00028269669924501007
4,0.01,0.4,0.0003565974283401386
5,0.01,0.5,0.0006004824828101625
6,0.01,0.6,0.0014024131133512077
7,0.01,0.7,0.0015690370557890376
8,0.01,0.8,0.0034603181883724275
9,0.01,0.9,0.014323374002065164
10,0.01,0.99,0.9190242724691335
11,0.1,0.01,0.00010294437540225854
12,0.1,0.1,0.0001723137070912464
13,0.1,0.2,0.00035656430473883716
14,0.1,0.3,0.0006879983487010166
15,0.1,0.4,0.001291535684172309
16,0.1,0.5,0.0022998432443946124
17,0.1,0.6,0.006022470498949472
18,0.1,0.7,0.01639973454587438
19,0.1,0.8,0.08092867102216558
20,0.1,0.9,2.333891903956123
21,0.1,0.99,0.03817211664113199
22,0.2,0.01,0.00013270297978902544
23,0.2,0.1,0.00026410464857323367
24,0.2,0.2,0.0005776761517842474
25,0.2,0.3,0.0014518942517881906
26,0.2,0.4,0.002701784733801022
27,0.2,0.5,0.006708700297250171
28,0.2,0.6,0.024799158905597002
29,0.2,0.7,0.2139579037689922
30,0.2,0.8,2.814368459426232
31,0.2,0.9,0.047690949627781684
32,0.2,0.99,0.01366627833734756
33,0.3,0.01,0.00018398576972445551
34,0.3,0.1,0.00042078107659728213
35,0.3,0.2,0.0011512942704378047
36,0.3,0.3,0.002626487077607533
37,0.3,0.4,0.007902690864497327
38,0.3,0.5,0.025930923412493992
39,0.3,0.6,0.20692237400164887
40,0.3,0.7,2.800436522733677
41,0.3,0.8,0.28546949953384465
42,0.3,0.9,0.016090336757831288
43,0.3,0.99,0.007975936810516221
44,0.4,0.01,0.0002313603703691755
45,0.4,0.1,0.0006840738082945811
46,0.4,0.2,0.0021166756488293186
47,0.4,0.3,0.005655158593582297
48,0.4,0.4,0.02612924969073368
49,0.4,0.5,0.182257808121965
50,0.4,0.6,2.752112081165952
51,0.4,0.7,0.6867054843820107
52,0.4,0.8,0.028933371719742
53,0.4,0.9,0.009237775267496594
54,0.4,0.99,0.0053856338031683295
55,0.5,0.01,0.00029285540370258407
56,0.5,0.1,0.00103271030913465
57,0.5,0.2,0.0038747056870680105
58,0.5,0.3,0.018013953672559372
59,0.5,0.4,0.1715453210048259
60,0.5,0.5,2.135738039465379
61,0.5,0.6,0.7251329896453801
62,0.5,0.7,0.07442424811558367
63,0.5,0.8,0.010536526534641393
64,0.5,0.9,0.005656075959915864
65,0.5,0.99,0.0036059085636172515
66,0.6,0.01,0.0003240050307429023
67,0.6,0.1,0.0018948041362161375
68,0.6,0.2,0.011537517462576686
69,0.6,0.3,0.11424674074923814
70,0.6,0.4,2.024907397992057
71,0.6,0.5,0.6357910506132608
72,0.6,0.6,0.06105435016639657
73,0.6,0.7,0.014983153334457712
74,0.6,0.8,0.006715856689458758
75,0.6,0.9,0.004325461011918179
76,0.6,0.99,0.0033578743405892893
77,0.7,0.01,0.00046189708605402785
78,0.7,0.1,0.004069490397286737
79,0.7,0.2,0.066854826943848
80,0.7,0.3,1.6984008976334966
81,0.7,0.4,0.3753525153364363
82,0.7,0.5,0.03485356484687187
83,0.7,0.6,0.014042296590626866
84,0.7,0.7,0.009045982341282663
85,0.7,0.8,0.004739173557694442
86,0.7,0.9,0.0030879600932633804
87,0.7,0.99,0.002143292910226302
88,0.8,0.01,0.0009668834714134386
89,0.8,0.1,0.015214648541181416
90,0.8,0.2,1.1110789111188182
91,0.8,0.3,0.1209763998763774
92,0.8,0.4,0.023307045540742168
93,0.8,0.5,0.012554982791122956
94,0.8,0.6,0.008014154962564352
95,0.8,0.7,0.0051622539600172795
96,0.8,0.8,0.003547543533026017
97,0.8,0.9,0.002546918489440598
98,0.8,0.99,0.002022903564556643
99,0.9,0.01,0.004541325108474135
100,0.9,0.1,0.33645302882146066
101,0.9,0.2,0.034813352978868936
102,0.9,0.3,0.014090957738267698
103,0.9,0.4,0.008507336007972996
104,0.9,0.5,0.005734660639265398
105,0.9,0.6,0.004670077929648937
106,0.9,0.7,0.0038168985282029076
107,0.9,0.8,0.00288357432617627
108,0.9,0.9,0.0022135664821555097
109,0.9,0.99,0.0016554848891886973
110,0.99,0.01,0.6093150966386887
111,0.99,0.1,0.01644374960618663
112,0.99,0.2,0.008739323733766204
113,0.99,0.3,0.005650162120294199
114,0.99,0.4,0.005139455279263406
115,0.99,0.5,0.003960121685654131
116,0.99,0.6,0.0030029818349724094
117,0.99,0.7,0.0026532672455979365
118,0.99,0.8,0.0021091219099209453
119,0.99,0.9,0.0015578054540040967
120,0.99,0.99,0.001416300477497306
