,P,cost,value
0,0.01,0.01,0.000182403182615321
1,0.01,0.1,0.0001748541507338893
2,0.01,0.2,0.00019094975957913304
3,0.01,0.3,0.0002062416793051285
4,0.01,0.4,0.00019927363091051757
5,0.01,0.5,0.0003572353863591686
6,0.01,0.6,0.0010096759262661788
7,0.01,0.7,0.0020246654830538106
8,0.01,0.8,0.0062709086834630496
9,0.01,0.9,0.03417123558548223
10,0.01,0.99,3.6954708294446803
11,0.1,0.01,0.0012810499047824263
12,0.1,0.1,0.001306172747696885
13,0.1,0.2,0.0011904896667288755
14,0.1,0.3,0.0011642799529230786
15,0.1,0.4,0.0012220688718196074
16,0.1,0.5,0.0015457805806531146
17,0.1,0.6,0.005235996653992695
18,0.1,0.7,0.020107951820287268
19,0.1,0.8,0.12536935442217684
20,0.1,0.9,2.9169266380513563
21,0.1,0.99,0.10545008114914511
22,0.2,0.01,0.004626809303099114
23,0.2,0.1,0.004387371525195241
24,0.2,0.2,0.004146979964483883
25,0.2,0.3,0.00327916742325304
26,0.2,0.4,0.003089476866864307
27,0.2,0.5,0.003662815257139667
28,0.2,0.6,0.022919297308010008
29,0.2,0.7,0.24769356433365555
30,0.2,0.8,3.218467004153007
31,0.2,0.9,0.20552741404059008
32,0.2,0.99,0.07074431843243595
33,0.3,0.01,0.014931642874303631
34,0.3,0.1,0.01237855397685934
35,0.3,0.2,0.013653278461953754
36,0.3,0.3,0.010627473926796539
37,0.3,0.4,0.009069357571367396
38,0.3,0.5,0.01278152343638006
39,0.3,0.6,0.19585726615919596
40,0.3,0.7,2.9302828783148827
41,0.3,0.8,0.39244143758633826
42,0.3,0.9,0.12204900149651123
43,0.3,0.99,0.07946383905492657
44,0.4,0.01,0.07490829701350611
45,0.4,0.1,0.06906894493531052
46,0.4,0.2,0.06151415624668281
47,0.4,0.3,0.056598588291216764
48,0.4,0.4,0.0490650443324655
49,0.4,0.5,0.06988540088891929
50,0.4,0.6,2.676363016701556
51,0.4,0.7,0.5635595417769063
52,0.4,0.8,0.22843004263053251
53,0.4,0.9,0.18821324842836548
54,0.4,0.99,0.13985602422103063
55,0.5,0.01,0.5353307365951208
56,0.5,0.1,0.5560929477476938
57,0.5,0.2,0.6621951678657885
58,0.5,0.3,0.6064312610375262
59,0.5,0.4,0.7209322035866828
60,0.5,0.5,0.39656050202381354
61,0.5,0.6,0.6353879552473125
62,0.5,0.7,0.6176323022894834
63,0.5,0.8,0.666805945288561
64,0.5,0.9,0.5858206052644065
65,0.5,0.99,0.49996555989703684
66,0.6,0.01,0.1524418527318073
67,0.6,0.1,0.17590131486033134
68,0.6,0.2,0.23524202875449934
69,0.6,0.3,0.46809724551201026
70,0.6,0.4,2.108933010467613
71,0.6,0.5,0.1128285115398763
72,0.6,0.6,0.04072810652759963
73,0.6,0.7,0.04846835162195212
74,0.6,0.8,0.06594189995955402
75,0.6,0.9,0.06649495195229693
76,0.6,0.99,0.07412254216778696
77,0.7,0.01,0.07386736854747922
78,0.7,0.1,0.11730452757737887
79,0.7,0.2,0.3016523830723735
80,0.7,0.3,2.0023926943489756
81,0.7,0.4,0.15697760124908633
82,0.7,0.5,0.022212941205021767
83,0.7,0.6,0.012565675102436363
84,0.7,0.7,0.013679662075315293
85,0.7,0.8,0.01414449070710663
86,0.7,0.9,0.015268452133873657
87,0.7,0.99,0.015696121111604604
88,0.8,0.01,0.05808284159099249
89,0.8,0.1,0.14411507129603085
90,0.8,0.2,1.6126615279397007
91,0.8,0.3,0.12276955078288973
92,0.8,0.4,0.0201444150540468
93,0.8,0.5,0.011002338249667669
94,0.8,0.6,0.007930014107851234
95,0.8,0.7,0.0064154660221928325
96,0.8,0.8,0.00558921469953921
97,0.8,0.9,0.00631502367810676
98,0.8,0.99,0.00604920067738885
99,0.9,0.01,0.08969248472165456
100,0.9,0.1,1.2999906508999786
101,0.9,0.2,0.06498594523687108
102,0.9,0.3,0.01611549257332221
103,0.9,0.4,0.00890630466771792
104,0.9,0.5,0.005512505661758911
105,0.9,0.6,0.004626134931827974
106,0.9,0.7,0.003982606946338395
107,0.9,0.8,0.003280749056508952
108,0.9,0.9,0.002711743057998651
109,0.9,0.99,0.002650879006618736
110,0.99,0.01,0.6851608551945811
111,0.99,0.1,0.020964377779113978
112,0.99,0.2,0.009431375733259213
113,0.99,0.3,0.005579110379579118
114,0.99,0.4,0.005074835867277251
115,0.99,0.5,0.004001230431040849
116,0.99,0.6,0.002956420621596869
117,0.99,0.7,0.0027372555986521804
118,0.99,0.8,0.002102332236711306
119,0.99,0.9,0.0015945412214581228
120,0.99,0.99,0.001428435290207437
