,P,cost,value
0,0.01,0.01,0.001446020695993252
1,0.01,0.1,0.0015373063089643422
2,0.01,0.2,0.0015884238575721733
3,0.01,0.3,0.0018118149968587914
4,0.01,0.4,0.001610478512235622
5,0.01,0.5,0.0018692783949398946
6,0.01,0.6,0.0017142137635300966
7,0.01,0.7,0.0014454474216053005
8,0.01,0.8,0.003689107066167872
9,0.01,0.9,0.02981884209900182
10,0.01,0.99,3.8365743158395
11,0.1,0.01,0.017836961638076305
12,0.1,0.1,0.014995653636145133
13,0.1,0.2,0.014992243505146111
14,0.1,0.3,0.016410712554832726
15,0.1,0.4,0.017001663174548237
16,0.1,0.5,0.012811027223630238
17,0.1,0.6,0.015528690409317675
18,0.1,0.7,0.01766109246201871
19,0.1,0.8,0.11155710220769854
20,0.1,0.9,3.0395046488151416
21,0.1,0.99,0.12039565685024028
22,0.2,0.01,0.04935125614712983
23,0.2,0.1,0.05337616599975361
24,0.2,0.2,0.05451091438580881
25,0.2,0.3,0.05851453518092797
26,0.2,0.4,0.04491070183860857
27,0.2,0.5,0.05089581013622655
28,0.2,0.6,0.05327067208331779
29,0.2,0.7,0.16736508002137984
30,0.2,0.8,2.4596837076197913
31,0.2,0.9,0.30356128951192785
32,0.2,0.99,0.1012109267051918
33,0.3,0.01,0.09218157109801817
34,0.3,0.1,0.09460188062727005
35,0.3,0.2,0.10176802884102151
36,0.3,0.3,0.0908755233983321
37,0.3,0.4,0.08851875888476245
38,0.3,0.5,0.09779217083475306
39,0.3,0.6,0.18421644175320526
40,0.3,0.7,2.046815163689055
41,0.3,0.8,0.33162922559608177
42,0.3,0.9,0.13101967289889876
43,0.3,0.99,0.12036366476284471
44,0.4,0.01,0.15526469765184914
45,0.4,0.1,0.13619027371969908
46,0.4,0.2,0.1364732264321727
47,0.4,0.3,0.13895496186810086
48,0.4,0.4,0.1599123019920975
49,0.4,0.5,0.21248137437832498
50,0.4,0.6,1.3272678079811542
51,0.4,0.7,0.37082483165117947
52,0.4,0.8,0.19191374759449037
53,0.4,0.9,0.1474018267837019
54,0.4,0.99,0.17051339571222385
55,0.5,0.01,0.18340670702305134
56,0.5,0.1,0.18185522227911982
57,0.5,0.2,0.1923933494231869
58,0.5,0.3,0.19791719025773338
59,0.5,0.4,0.2996812258723954
60,0.5,0.5,0.6050149361340367
61,0.5,0.6,0.28747490036881423
62,0.5,0.7,0.20627970043468585
63,0.5,0.8,0.1583967481346089
64,0.5,0.9,0.18096429343606607
65,0.5,0.99,0.18111366799017697
66,0.6,0.01,0.1620073426188886
67,0.6,0.1,0.15078398782326363
68,0.6,0.2,0.170152704862325
69,0.6,0.3,0.3432196146824389
70,0.6,0.4,1.1563462019643853
71,0.6,0.5,0.2064166009712985
72,0.6,0.6,0.12391797549743706
73,0.6,0.7,0.1206753166066899
74,0.6,0.8,0.1513004456453895
75,0.6,0.9,0.15680182603876644
76,0.6,0.99,0.15497704681551794
77,0.7,0.01,0.12655183676368661
78,0.7,0.1,0.13790878638553017
79,0.7,0.2,0.2618858559655579
80,0.7,0.3,1.6209882711256713
81,0.7,0.4,0.18673883665671828
82,0.7,0.5,0.1037289860514577
83,0.7,0.6,0.0942280651160598
84,0.7,0.7,0.09920031416162597
85,0.7,0.8,0.11091703947336101
86,0.7,0.9,0.08201417604179488
87,0.7,0.99,0.09898246067576469
88,0.8,0.01,0.0917663088652197
89,0.8,0.1,0.17996699407959962
90,0.8,0.2,1.6772157751054129
91,0.8,0.3,0.1122493505984409
92,0.8,0.4,0.04925606083511702
93,0.8,0.5,0.054114473856230985
94,0.8,0.6,0.04977629447932921
95,0.8,0.7,0.0502952183803369
96,0.8,0.8,0.04507359423757232
97,0.8,0.9,0.0497397843422993
98,0.8,0.99,0.04560191061564075
99,0.9,0.01,0.10317281866539478
100,0.9,0.1,1.3710831367681462
101,0.9,0.2,0.054989095218328995
102,0.9,0.3,0.022082605106657174
103,0.9,0.4,0.016435887335651714
104,0.9,0.5,0.016611641991319464
105,0.9,0.6,0.014264973852926528
106,0.9,0.7,0.01659071050361036
107,0.9,0.8,0.017055584300944303
108,0.9,0.9,0.01824292701386803
109,0.9,0.99,0.016507949049978998
110,0.99,0.01,0.6490167438550445
111,0.99,0.1,0.0181674680884683
112,0.99,0.2,0.008935349068501342
113,0.99,0.3,0.006172429605937425
114,0.99,0.4,0.004895650069102814
115,0.99,0.5,0.004384434145053233
116,0.99,0.6,0.0043883053484041305
117,0.99,0.7,0.003061112584158187
118,0.99,0.8,0.002921502077295459
119,0.99,0.9,0.0026362038876486817
120,0.99,0.99,0.0021738990113913084
