,P,cost,value
0,0.01,0.01,0.612388725970492
1,0.01,0.1,0.6480917496796014
2,0.01,0.2,0.6196420049056693
3,0.01,0.3,0.7020577442317617
4,0.01,0.4,0.5944498790811669
5,0.01,0.5,0.5888238293402663
6,0.01,0.6,0.6376180906380733
7,0.01,0.7,0.7312661182693951
8,0.01,0.8,0.6125425712438969
9,0.01,0.9,0.7830162061063146
10,0.01,0.99,1.8489279830311602
11,0.1,0.01,0.5798865555913735
12,0.1,0.1,0.6427134605350565
13,0.1,0.2,0.6992511450769595
14,0.1,0.3,0.6340092920109537
15,0.1,0.4,0.7116039202127973
16,0.1,0.5,0.7645070761342712
17,0.1,0.6,0.6895292046502043
18,0.1,0.7,0.701669873811459
19,0.1,0.8,0.8111337262467223
20,0.1,0.9,0.7438659251136227
21,0.1,0.99,0.5941404725579386
22,0.2,0.01,0.707190579800606
23,0.2,0.1,0.7148221309293643
24,0.2,0.2,0.7776042528258947
25,0.2,0.3,0.6883278017611336
26,0.2,0.4,0.6546557094167171
27,0.2,0.5,0.736601209967762
28,0.2,0.6,0.7281530663803413
29,0.2,0.7,0.8463689004255761
30,0.2,0.8,0.6263227664428718
31,0.2,0.9,0.6935075144399903
32,0.2,0.99,0.6266592080942203
33,0.3,0.01,0.7628114121642029
34,0.3,0.1,0.6706017866415553
35,0.3,0.2,0.6614819536272434
36,0.3,0.3,0.697295995194428
37,0.3,0.4,0.7558546121240559
38,0.3,0.5,0.6901653273621661
39,0.3,0.6,0.687035940981269
40,0.3,0.7,0.5782121279114788
41,0.3,0.8,0.6574222324693447
42,0.3,0.9,0.7294496185917891
43,0.3,0.99,0.6341722109918753
44,0.4,0.01,0.6981256538012468
45,0.4,0.1,0.6534308903466833
46,0.4,0.2,0.7374620509702956
47,0.4,0.3,0.6402546238456788
48,0.4,0.4,0.7055557764258515
49,0.4,0.5,0.9027182690701894
50,0.4,0.6,0.56481936230683
51,0.4,0.7,0.6468792041214878
52,0.4,0.8,0.689624338208068
53,0.4,0.9,0.6766620389411491
54,0.4,0.99,0.7492002586354871
55,0.5,0.01,0.7440389021791293
56,0.5,0.1,0.671480385553001
57,0.5,0.2,0.7192511549166622
58,0.5,0.3,0.7340895476134812
59,0.5,0.4,0.7280444822161053
60,0.5,0.5,0.44788891281802445
61,0.5,0.6,0.6956229682508184
62,0.5,0.7,0.6311423050298823
63,0.5,0.8,0.6351986020792126
64,0.5,0.9,0.7019643465352139
65,0.5,0.99,0.7464665329303966
66,0.6,0.01,0.7143717035080481
67,0.6,0.1,0.6172828957466931
68,0.6,0.2,0.7167935255090614
69,0.6,0.3,0.6738818493163754
70,0.6,0.4,0.41626494316077933
71,0.6,0.5,0.7382034732878533
72,0.6,0.6,0.7244449003488397
73,0.6,0.7,0.6240911419308277
74,0.6,0.8,0.7687288383832604
75,0.6,0.9,0.6098781681405526
76,0.6,0.99,0.7252941949308018
77,0.7,0.01,0.7194940054814201
78,0.7,0.1,0.5995320944919612
79,0.7,0.2,0.6432598345796545
80,0.7,0.3,0.3511479870008763
81,0.7,0.4,0.6831588407875194
82,0.7,0.5,0.6784005377035549
83,0.7,0.6,0.6603718830752612
84,0.7,0.7,0.6357984798142012
85,0.7,0.8,0.6627251102407848
86,0.7,0.9,0.7533561306518413
87,0.7,0.99,0.6979926233506452
88,0.8,0.01,0.6856367163503212
89,0.8,0.1,0.6157093152030673
90,0.8,0.2,0.33615589683334446
91,0.8,0.3,0.6498778769181417
92,0.8,0.4,0.6710101832985498
93,0.8,0.5,0.6832542690502816
94,0.8,0.6,0.7324837291147583
95,0.8,0.7,0.7847536950763025
96,0.8,0.8,0.7222109202798275
97,0.8,0.9,0.7206101210229456
98,0.8,0.99,0.6799431257327003
99,0.9,0.01,0.5991753222536691
100,0.9,0.1,0.24043246678114596
101,0.9,0.2,0.6927874534443077
102,0.9,0.3,0.6453242913051529
103,0.9,0.4,0.6843772176657746
104,0.9,0.5,0.7331383484413505
105,0.9,0.6,0.7005458141872023
106,0.9,0.7,0.7415642094252886
107,0.9,0.8,0.7513424462200026
108,0.9,0.9,0.6957726440136465
109,0.9,0.99,0.7202337540378514
110,0.99,0.01,0.07300764472169877
111,0.99,0.1,0.674521549987927
112,0.99,0.2,0.6392350465360137
113,0.99,0.3,0.7060704297191007
114,0.99,0.4,0.647665968802194
115,0.99,0.5,0.6594462823212617
116,0.99,0.6,0.6477000938795292
117,0.99,0.7,0.5719092478630292
118,0.99,0.8,0.7122429351015593
119,0.99,0.9,0.6767730254446838
120,0.99,0.99,0.610754598030815
