,P,cost,value
0,0.01,0.01,0.6493640389072725
1,0.01,0.1,0.6409317672298288
2,0.01,0.2,0.6365124891414892
3,0.01,0.3,0.6305806586455931
4,0.01,0.4,0.6321181874047922
5,0.01,0.5,0.6845258270487897
6,0.01,0.6,0.5415958072540551
7,0.01,0.7,0.5986507851142908
8,0.01,0.8,0.603538391221098
9,0.01,0.9,0.6557230592402873
10,0.01,0.99,1.937914148915053
11,0.1,0.01,0.8325804947362563
12,0.1,0.1,0.8409271858992102
13,0.1,0.2,0.7477726821227232
14,0.1,0.3,0.8119478799776276
15,0.1,0.4,0.8229378497245542
16,0.1,0.5,0.8642035730589354
17,0.1,0.6,0.7612161253057055
18,0.1,0.7,0.7849089653707009
19,0.1,0.8,0.8857516653203013
20,0.1,0.9,0.6611310530156066
21,0.1,0.99,0.6092115008846689
22,0.2,0.01,0.7865626791480222
23,0.2,0.1,0.8445512465055085
24,0.2,0.2,0.794491696559393
25,0.2,0.3,0.7229140490749606
26,0.2,0.4,0.7887209494021743
27,0.2,0.5,0.814870824847706
28,0.2,0.6,0.8465031310722149
29,0.2,0.7,0.9339829608499839
30,0.2,0.8,0.6472978888576654
31,0.2,0.9,0.8270293891813175
32,0.2,0.99,0.78293284429234
33,0.3,0.01,0.7455637096959857
34,0.3,0.1,0.7309845213144568
35,0.3,0.2,0.8068523734011662
36,0.3,0.3,0.8447201695897834
37,0.3,0.4,0.7328928636568017
38,0.3,0.5,0.8891635814702012
39,0.3,0.6,0.7814244590539903
40,0.3,0.7,0.5380614426529335
41,0.3,0.8,0.6780222760546827
42,0.3,0.9,0.8283413115900431
43,0.3,0.99,0.8036342702391706
44,0.4,0.01,0.7145275573136827
45,0.4,0.1,0.7210997864877182
46,0.4,0.2,0.7315635328915809
47,0.4,0.3,0.7617862278564749
48,0.4,0.4,0.8303363221617668
49,0.4,0.5,0.8208842866809207
50,0.4,0.6,0.5972523476825606
51,0.4,0.7,0.7968573271517385
52,0.4,0.8,0.7241856001154765
53,0.4,0.9,0.7200503885914572
54,0.4,0.99,0.7475996107833978
55,0.5,0.01,0.6925306104895123
56,0.5,0.1,0.7569251849545173
57,0.5,0.2,0.8719893317839033
58,0.5,0.3,0.7962239453013692
59,0.5,0.4,0.8739939745049892
60,0.5,0.5,0.4038791022927589
61,0.5,0.6,0.7690638650009713
62,0.5,0.7,0.7687040753804287
63,0.5,0.8,0.8226526865394311
64,0.5,0.9,0.7976021255367399
65,0.5,0.99,0.6897438007795647
66,0.6,0.01,0.7997652553013364
67,0.6,0.1,0.7289906802025553
68,0.6,0.2,0.7815758688328185
69,0.6,0.3,0.7292851844481127
70,0.6,0.4,0.42684739314156006
71,0.6,0.5,0.8571353457428226
72,0.6,0.6,0.8488802503143487
73,0.6,0.7,0.765437094111679
74,0.6,0.8,0.8237431479994755
75,0.6,0.9,0.8803838629195183
76,0.6,0.99,0.8563209713481041
77,0.7,0.01,0.7863165666051348
78,0.7,0.1,0.8328945739699813
79,0.7,0.2,0.6482406191288961
80,0.7,0.3,0.40097805646716356
81,0.7,0.4,0.7884769285718645
82,0.7,0.5,0.7412052728404604
83,0.7,0.6,0.7594850831167335
84,0.7,0.7,0.8148763748099019
85,0.7,0.8,0.8473242184093012
86,0.7,0.9,0.7919230059458784
87,0.7,0.99,0.6609583730021993
88,0.8,0.01,0.7635538828690396
89,0.8,0.1,0.6649316500449077
90,0.8,0.2,0.2980099387223632
91,0.8,0.3,0.7738879719401555
92,0.8,0.4,0.7691949494811503
93,0.8,0.5,0.7915111243423224
94,0.8,0.6,0.7635022388634904
95,0.8,0.7,0.7535916787786118
96,0.8,0.8,0.8242461618827284
97,0.8,0.9,0.7543553347717074
98,0.8,0.99,0.8391642307952292
99,0.9,0.01,0.7365782031928132
100,0.9,0.1,0.28319534611154024
101,0.9,0.2,0.8051811118519131
102,0.9,0.3,0.7805287318540779
103,0.9,0.4,0.7598674393383082
104,0.9,0.5,0.7592737019573604
105,0.9,0.6,0.8123181844065412
106,0.9,0.7,0.7349611067881051
107,0.9,0.8,0.7853902447060791
108,0.9,0.9,0.8437765050380875
109,0.9,0.99,0.8628630831749196
110,0.99,0.01,0.16019119513231883
111,0.99,0.1,0.7533175030136287
112,0.99,0.2,0.7062188872500266
113,0.99,0.3,0.7004048261093077
114,0.99,0.4,0.6259566370539654
115,0.99,0.5,0.6846681585085445
116,0.99,0.6,0.6791494915634606
117,0.99,0.7,0.7221771655454501
118,0.99,0.8,0.7074574002422636
119,0.99,0.9,0.6848943533773997
120,0.99,0.99,0.6013711495750615
