,P,cost,value
0,0.01,0.01,0.6633139421712995
1,0.01,0.1,0.7292330160770593
2,0.01,0.2,0.6821712460868925
3,0.01,0.3,0.6964906004538153
4,0.01,0.4,0.6683050907152598
5,0.01,0.5,0.6093426279267253
6,0.01,0.6,0.665090136571891
7,0.01,0.7,0.7450862572666549
8,0.01,0.8,0.6842477841980926
9,0.01,0.9,0.8542783261267868
10,0.01,0.99,2.1902661609580862
11,0.1,0.01,0.5416710406292519
12,0.1,0.1,0.5448349994559328
13,0.1,0.2,0.5211556943833101
14,0.1,0.3,0.5111629746166788
15,0.1,0.4,0.5174906631180259
16,0.1,0.5,0.514113122463117
17,0.1,0.6,0.5015871001453958
18,0.1,0.7,0.49362688084958944
19,0.1,0.8,0.5753225774014714
20,0.1,0.9,0.46038718095817355
21,0.1,0.99,0.43539160311980174
22,0.2,0.01,0.3688007955136081
23,0.2,0.1,0.34573536998579824
24,0.2,0.2,0.3365605435252037
25,0.2,0.3,0.338119498610845
26,0.2,0.4,0.3530010603797707
27,0.2,0.5,0.37400283143148755
28,0.2,0.6,0.36976139548822234
29,0.2,0.7,0.48977142818415076
30,0.2,0.8,0.49755510372044476
31,0.2,0.9,0.33654183003553906
32,0.2,0.99,0.30541996666249804
33,0.3,0.01,0.28546279291927545
34,0.3,0.1,0.24077090130423706
35,0.3,0.2,0.2409796956780198
36,0.3,0.3,0.27040470460418364
37,0.3,0.4,0.28910297959605075
38,0.3,0.5,0.2622416085298702
39,0.3,0.6,0.36515333555411533
40,0.3,0.7,0.6083810128421829
41,0.3,0.8,0.3010393393384003
42,0.3,0.9,0.25174790447162304
43,0.3,0.99,0.2511882992563602
44,0.4,0.01,0.2238398122417201
45,0.4,0.1,0.20332275896365526
46,0.4,0.2,0.21135033558570515
47,0.4,0.3,0.22577926162950276
48,0.4,0.4,0.2511100455955728
49,0.4,0.5,0.385213304442717
50,0.4,0.6,0.5841027861079667
51,0.4,0.7,0.3156997375853657
52,0.4,0.8,0.21973473723568934
53,0.4,0.9,0.2040154857843366
54,0.4,0.99,0.22696279936888752
55,0.5,0.01,0.21600173805653833
56,0.5,0.1,0.20730494161756652
57,0.5,0.2,0.2192716139839494
58,0.5,0.3,0.22343712700541865
59,0.5,0.4,0.31150836537111043
60,0.5,0.5,0.5764088572132335
61,0.5,0.6,0.3012785261278469
62,0.5,0.7,0.2446005058561213
63,0.5,0.8,0.18542836144602903
64,0.5,0.9,0.1994193831094181
65,0.5,0.99,0.19516389491079725
66,0.6,0.01,0.2163466619232857
67,0.6,0.1,0.1852347998498492
68,0.6,0.2,0.20524228243655207
69,0.6,0.3,0.28098273938474
70,0.6,0.4,0.565127116285525
71,0.6,0.5,0.2960555102761284
72,0.6,0.6,0.1967304014019094
73,0.6,0.7,0.19622116805502027
74,0.6,0.8,0.22832537113721346
75,0.6,0.9,0.21205148795763018
76,0.6,0.99,0.2100051243836756
77,0.7,0.01,0.2236324989494949
78,0.7,0.1,0.2157621041298442
79,0.7,0.2,0.27840090837958414
80,0.7,0.3,0.5833250358893589
81,0.7,0.4,0.3067073627966693
82,0.7,0.5,0.29373604457390656
83,0.7,0.6,0.24619228060292175
84,0.7,0.7,0.2505348938395966
85,0.7,0.8,0.24019333171517776
86,0.7,0.9,0.25281879153075415
87,0.7,0.99,0.2508960783344013
88,0.8,0.01,0.30819666733418827
89,0.8,0.1,0.2916908071486233
90,0.8,0.2,0.5496492242267308
91,0.8,0.3,0.39396926040046354
92,0.8,0.4,0.3093818675771578
93,0.8,0.5,0.3687785801992968
94,0.8,0.6,0.302279088363159
95,0.8,0.7,0.38606561253216953
96,0.8,0.8,0.30394952109727447
97,0.8,0.9,0.3404347696650667
98,0.8,0.99,0.30914805052427324
99,0.9,0.01,0.43789195713755713
100,0.9,0.1,0.4025702876387064
101,0.9,0.2,0.5858561739481695
102,0.9,0.3,0.49570123860586396
103,0.9,0.4,0.524698152599514
104,0.9,0.5,0.5575237972387078
105,0.9,0.6,0.5376229422284216
106,0.9,0.7,0.5940041527299147
107,0.9,0.8,0.6056146160908888
108,0.9,0.9,0.5052029140100963
109,0.9,0.99,0.6110103174686972
110,0.99,0.01,0.20022185927824646
111,0.99,0.1,0.6534035641633777
112,0.99,0.2,0.699423281176817
113,0.99,0.3,0.686623110703321
114,0.99,0.4,0.7159398053613829
115,0.99,0.5,0.7080948635248557
116,0.99,0.6,0.6705846511456366
117,0.99,0.7,0.6097301665250263
118,0.99,0.8,0.6609207311279787
119,0.99,0.9,0.6916673315704079
120,0.99,0.99,0.5792628436459717
