,P,cost,value
0,0.01,0.01,0.5757886085095703
1,0.01,0.1,0.6088942192512405
2,0.01,0.2,0.5817367763289367
3,0.01,0.3,0.6509728949283846
4,0.01,0.4,0.5575005913210828
5,0.01,0.5,0.5352212098039866
6,0.01,0.6,0.5805116988967653
7,0.01,0.7,0.6990578883629822
8,0.01,0.8,0.5696754262378158
9,0.01,0.9,0.7362923331586093
10,0.01,0.99,1.7418415093379804
11,0.1,0.01,0.521183752980413
12,0.1,0.1,0.5278700339900123
13,0.1,0.2,0.5956310536169706
14,0.1,0.3,0.5829757516918879
15,0.1,0.4,0.593508635095451
16,0.1,0.5,0.6395861557317285
17,0.1,0.6,0.582038172031344
18,0.1,0.7,0.6237270930662474
19,0.1,0.8,0.7444324714504209
20,0.1,0.9,0.6879108149777731
21,0.1,0.99,0.5102313516813091
22,0.2,0.01,0.6046341713813392
23,0.2,0.1,0.621501534765766
24,0.2,0.2,0.6101982663099922
25,0.2,0.3,0.5896047861970616
26,0.2,0.4,0.5496952739978725
27,0.2,0.5,0.6035864657575771
28,0.2,0.6,0.6545722765511772
29,0.2,0.7,0.7944423861819544
30,0.2,0.8,0.5747590495286361
31,0.2,0.9,0.587128075278111
32,0.2,0.99,0.5485618771576729
33,0.3,0.01,0.6674264843562068
34,0.3,0.1,0.5869981034272196
35,0.3,0.2,0.550344849796265
36,0.3,0.3,0.5951285949733127
37,0.3,0.4,0.6558787247178423
38,0.3,0.5,0.5801837956780044
39,0.3,0.6,0.6489127049971178
40,0.3,0.7,0.5410118569353919
41,0.3,0.8,0.5853785646585887
42,0.3,0.9,0.6215335484576776
43,0.3,0.99,0.5607904027409105
44,0.4,0.01,0.6053540850270027
45,0.4,0.1,0.5664778427198275
46,0.4,0.2,0.6236602046521281
47,0.4,0.3,0.5532360855068045
48,0.4,0.4,0.6278069550268306
49,0.4,0.5,0.8513282978543797
50,0.4,0.6,0.5476772972316445
51,0.4,0.7,0.581089928577452
52,0.4,0.8,0.6031529052646872
53,0.4,0.9,0.5583163622355685
54,0.4,0.99,0.6333059392704065
55,0.5,0.01,0.6457062190895448
56,0.5,0.1,0.5918991539561514
57,0.5,0.2,0.6055470598834971
58,0.5,0.3,0.6199700409879686
59,0.5,0.4,0.6646765803010604
60,0.5,0.5,0.42492589358443195
61,0.5,0.6,0.6064850778620241
62,0.5,0.7,0.5593185425141612
63,0.5,0.8,0.5313107033449931
64,0.5,0.9,0.6082737994959964
65,0.5,0.99,0.6177053560095653
66,0.6,0.01,0.6180189986057989
67,0.6,0.1,0.5322533317841381
68,0.6,0.2,0.6040622214155158
69,0.6,0.3,0.6145441213348736
70,0.6,0.4,0.4090575929082554
71,0.6,0.5,0.6926797024157284
72,0.6,0.6,0.5942226224153567
73,0.6,0.7,0.5268806721467507
74,0.6,0.8,0.663361261446494
75,0.6,0.9,0.5438596292780052
76,0.6,0.99,0.5950051165594142
77,0.7,0.01,0.6000220774487468
78,0.7,0.1,0.5021368461278599
79,0.7,0.2,0.586143997601323
80,0.7,0.3,0.3395653494342518
81,0.7,0.4,0.5835755289524442
82,0.7,0.5,0.5865193753062369
83,0.7,0.6,0.5551546535982614
84,0.7,0.7,0.5393747958218813
85,0.7,0.8,0.5509559049251888
86,0.7,0.9,0.6441143318606989
87,0.7,0.99,0.5807445136096904
88,0.8,0.01,0.5646998642365234
89,0.8,0.1,0.5159471696691204
90,0.8,0.2,0.32865370339132666
91,0.8,0.3,0.5970685084541145
92,0.8,0.4,0.5757483885936794
93,0.8,0.5,0.5968145612322592
94,0.8,0.6,0.6066856347573234
95,0.8,0.7,0.6861339698896269
96,0.8,0.8,0.6228388858674591
97,0.8,0.9,0.6118367953700753
98,0.8,0.99,0.5736568689486903
99,0.9,0.01,0.5141346124450923
100,0.9,0.1,0.23619163362818832
101,0.9,0.2,0.5733673730785751
102,0.9,0.3,0.5680167559835468
103,0.9,0.4,0.577423947911583
104,0.9,0.5,0.6187390931509378
105,0.9,0.6,0.6028451497674506
106,0.9,0.7,0.645046437688334
107,0.9,0.8,0.652296935143949
108,0.9,0.9,0.5973506865547199
109,0.9,0.99,0.6299891216622775
110,0.99,0.01,0.07493687567504058
111,0.99,0.1,0.6091935836430508
112,0.99,0.2,0.5756910581479593
113,0.99,0.3,0.6487154195995322
114,0.99,0.4,0.5919863777606419
115,0.99,0.5,0.6184641132913317
116,0.99,0.6,0.6063320078004704
117,0.99,0.7,0.5260312262238982
118,0.99,0.8,0.65409939282553
119,0.99,0.9,0.6221980071295126
120,0.99,0.99,0.5682099013322424
