,P,cost,value
0,0.01,0.01,3.6821932062951477e-16
1,0.01,0.1,4.839349969133126e-16
2,0.01,0.2,5.087681048627601e-16
3,0.01,0.3,3.8459253727671276e-16
4,0.01,0.4,3.8459253727671276e-16
5,0.01,0.5,3.3306690738754696e-16
6,0.01,0.6,3.14018491736755e-16
7,0.01,0.7,0.0
8,0.01,0.8,0.0
9,0.01,0.9,0.0
10,0.01,0.99,0.0
11,0.1,0.01,6.080941944488117e-16
12,0.1,0.1,5.438959822042073e-16
13,0.1,0.2,3.8459253727671276e-16
14,0.1,0.3,0.0
15,0.1,0.4,1.1102230246251565e-16
16,0.1,0.5,1.1102230246251565e-16
17,0.1,0.6,0.0
18,0.1,0.7,0.0
19,0.1,0.8,0.0
20,0.1,0.9,0.0
21,0.1,0.99,0.0
22,0.2,0.01,6.473657049138938e-16
23,0.2,0.1,1.9229626863835638e-16
24,0.2,0.2,1.9229626863835638e-16
25,0.2,0.3,0.0
26,0.2,0.4,0.0
27,0.2,0.5,0.0
28,0.2,0.6,0.0
29,0.2,0.7,0.0
30,0.2,0.8,0.0
31,0.2,0.9,0.0
32,0.2,0.99,0.0
33,0.3,0.01,6.933340566559918e-16
34,0.3,0.1,1.570092458683775e-16
35,0.3,0.2,1.1102230246251565e-16
36,0.3,0.3,0.0
37,0.3,0.4,0.0
38,0.3,0.5,0.0
39,0.3,0.6,0.0
40,0.3,0.7,0.0
41,0.3,0.8,0.0
42,0.3,0.9,0.0
43,0.3,0.99,0.0
44,0.4,0.01,6.473657049138938e-16
45,0.4,0.1,1.1102230246251565e-16
46,0.4,0.2,0.0
47,0.4,0.3,0.0
48,0.4,0.4,0.0
49,0.4,0.5,0.0
50,0.4,0.6,0.0
51,0.4,0.7,0.0
52,0.4,0.8,0.0
53,0.4,0.9,0.0
54,0.4,0.99,0.0
55,0.5,0.01,6.843874359417886e-16
56,0.5,0.1,2.220446049250313e-16
57,0.5,0.2,0.0
58,0.5,0.3,0.0
59,0.5,0.4,0.0
60,0.5,0.5,0.0
61,0.5,0.6,0.0
62,0.5,0.7,0.0
63,0.5,0.8,0.0
64,0.5,0.9,0.0
65,0.5,0.99,0.0
66,0.6,0.01,6.473657049138938e-16
67,0.6,0.1,1.570092458683775e-16
68,0.6,0.2,1.1102230246251565e-16
69,0.6,0.3,0.0
70,0.6,0.4,0.0
71,0.6,0.5,0.0
72,0.6,0.6,0.0
73,0.6,0.7,0.0
74,0.6,0.8,0.0
75,0.6,0.9,0.0
76,0.6,0.99,0.0
77,0.7,0.01,6.377745716588144e-16
78,0.7,0.1,1.1102230246251565e-16
79,0.7,0.2,0.0
80,0.7,0.3,0.0
81,0.7,0.4,0.0
82,0.7,0.5,0.0
83,0.7,0.6,0.0
84,0.7,0.7,0.0
85,0.7,0.8,0.0
86,0.7,0.9,0.0
87,0.7,0.99,0.0
88,0.8,0.01,5.874748045952207e-16
89,0.8,0.1,2.220446049250313e-16
90,0.8,0.2,1.1102230246251565e-16
91,0.8,0.3,0.0
92,0.8,0.4,0.0
93,0.8,0.5,0.0
94,0.8,0.6,0.0
95,0.8,0.7,0.0
96,0.8,0.8,0.0
97,0.8,0.9,0.0
98,0.8,0.99,0.0
99,0.9,0.01,4.839349969133126e-16
100,0.9,0.1,2.482534153247273e-16
101,0.9,0.2,0.0
102,0.9,0.3,0.0
103,0.9,0.4,0.0
104,0.9,0.5,0.0
105,0.9,0.6,0.0
106,0.9,0.7,0.0
107,0.9,0.8,0.0
108,0.9,0.9,0.0
109,0.9,0.99,0.0
110,0.99,0.01,5.32444257940492e-16
111,0.99,0.1,3.3306690738754696e-16
112,0.99,0.2,1.9229626863835638e-16
113,0.99,0.3,0.0
114,0.99,0.4,0.0
115,0.99,0.5,0.0
116,0.99,0.6,0.0
117,0.99,0.7,0.0
118,0.99,0.8,0.0
119,0.99,0.9,0.0
120,0.99,0.99,0.0
