,P,cost,value
0,0.01,0.01,5.733921211016114e-05
1,0.01,0.1,7.099226723890347e-05
2,0.01,0.2,5.615621821306858e-05
3,0.01,0.3,0.0002517992469257138
4,0.01,0.4,0.00026723380363553217
5,0.01,0.5,0.00036379844708462554
6,0.01,0.6,0.0006340598642863206
7,0.01,0.7,0.0009703572095223346
8,0.01,0.8,0.002326832900134273
9,0.01,0.9,0.008478045529685346
10,0.01,0.99,1.7301797697257593
11,0.1,0.01,9.780392475179977e-05
12,0.1,0.1,0.00014927728967168046
13,0.1,0.2,0.00029392490243317277
14,0.1,0.3,0.00048167941976035673
15,0.1,0.4,0.0008561219082484061
16,0.1,0.5,0.0014484712156666928
17,0.1,0.6,0.0029778457615535557
18,0.1,0.7,0.007833842025284518
19,0.1,0.8,0.029752163516056775
20,0.1,0.9,0.7095407819644364
21,0.1,0.99,0.04234618748262356
22,0.2,0.01,0.00014043426344259913
23,0.2,0.1,0.0002535119545332502
24,0.2,0.2,0.0005632307281734806
25,0.2,0.3,0.0011232782379969615
26,0.2,0.4,0.0017321156705945766
27,0.2,0.5,0.0037329844081003183
28,0.2,0.6,0.01011744777207507
29,0.2,0.7,0.06577855427881982
30,0.2,0.8,0.6072146513375695
31,0.2,0.9,0.06444389749743008
32,0.2,0.99,0.012931008004334872
33,0.3,0.01,0.00017707425224970462
34,0.3,0.1,0.00042256918485847637
35,0.3,0.2,0.0010747970504554312
36,0.3,0.3,0.0018229788432866994
37,0.3,0.4,0.00456893983311898
38,0.3,0.5,0.01236510435264706
39,0.3,0.6,0.06662622548742589
40,0.3,0.7,0.5361937207703376
41,0.3,0.8,0.07749719123905424
42,0.3,0.9,0.017765233441061193
43,0.3,0.99,0.008870149358991393
44,0.4,0.01,0.00021286791035640917
45,0.4,0.1,0.0006803229620228566
46,0.4,0.2,0.001675926812331613
47,0.4,0.3,0.004370917248000532
48,0.4,0.4,0.015610940839094827
49,0.4,0.5,0.0973155536679446
50,0.4,0.6,0.5328155024147145
51,0.4,0.7,0.10405540058350363
52,0.4,0.8,0.02714746261286423
53,0.4,0.9,0.008748299654230154
54,0.4,0.99,0.0055214401004707436
55,0.5,0.01,0.0002705272300795038
56,0.5,0.1,0.0009209856594680173
57,0.5,0.2,0.003333910211064484
58,0.5,0.3,0.01023107852264959
59,0.5,0.4,0.07287098933631751
60,0.5,0.5,0.4257297724695359
61,0.5,0.6,0.11640673558807377
62,0.5,0.7,0.02750999051471433
63,0.5,0.8,0.012877094251091972
64,0.5,0.9,0.006398390322654972
65,0.5,0.99,0.004752566457875787
66,0.6,0.01,0.00037635374888162843
67,0.6,0.1,0.0014895580731990896
68,0.6,0.2,0.008756809552382078
69,0.6,0.3,0.049474499585437925
70,0.6,0.4,0.40849532612569894
71,0.6,0.5,0.10614379784143542
72,0.6,0.6,0.02782861087643177
73,0.6,0.7,0.013281195117924478
74,0.6,0.8,0.00582976776233536
75,0.6,0.9,0.003935976571004888
76,0.6,0.99,0.00294350548831309
77,0.7,0.01,0.0004959110037322655
78,0.7,0.1,0.003984738390164058
79,0.7,0.2,0.03279938469825199
80,0.7,0.3,0.33929967656153437
81,0.7,0.4,0.08205045247250342
82,0.7,0.5,0.022990708320058516
83,0.7,0.6,0.012692336707273362
84,0.7,0.7,0.007047659203322734
85,0.7,0.8,0.0041041360370473465
86,0.7,0.9,0.0033539815738391886
87,0.7,0.99,0.0025284658366029823
88,0.8,0.01,0.0007615728491938532
89,0.8,0.1,0.013144570268544367
90,0.8,0.2,0.329502406745715
91,0.8,0.3,0.05919342422231795
92,0.8,0.4,0.01679903747869641
93,0.8,0.5,0.010963381393422525
94,0.8,0.6,0.007649602845318158
95,0.8,0.7,0.004039096523892277
96,0.8,0.8,0.003868019487910385
97,0.8,0.9,0.00284138423474575
98,0.8,0.99,0.0020317105632889
99,0.9,0.01,0.0014324626953600395
100,0.9,0.1,0.23707396217464005
101,0.9,0.2,0.03035312784786073
102,0.9,0.3,0.0137842551054305
103,0.9,0.4,0.007509478768287395
104,0.9,0.5,0.006533262237648517
105,0.9,0.6,0.004870748206643114
106,0.9,0.7,0.0037453369521816696
107,0.9,0.8,0.0029415183493708783
108,0.9,0.9,0.001992996135068283
109,0.9,0.99,0.0017248978599418592
110,0.99,0.01,0.07516045205886683
111,0.99,0.1,0.01633593130303775
112,0.99,0.2,0.008750203643002713
113,0.99,0.3,0.006165202449884369
114,0.99,0.4,0.004676956693503454
115,0.99,0.5,0.004118543805257651
116,0.99,0.6,0.0039291377760242215
117,0.99,0.7,0.0025949496425580437
118,0.99,0.8,0.0020639565769381744
119,0.99,0.9,0.0018137482344977374
120,0.99,0.99,0.0013611089552579762
