,P,cost,value
0,0.01,0.01,0.00018599399847140982
1,0.01,0.1,0.007047608848148493
2,0.01,0.2,0.03721220091472581
3,0.01,0.3,0.10359935301312032
4,0.01,0.4,0.3288353450837595
5,0.01,0.5,0.6660006873692206
6,0.01,0.6,0.4717248747820204
7,0.01,0.7,0.4593494103905873
8,0.01,0.8,0.4176951677819241
9,0.01,0.9,0.5418795653074633
10,0.01,0.99,2.79822662276973
11,0.1,0.01,0.00010452849090124096
12,0.1,0.1,0.001362834987675423
13,0.1,0.2,0.006952082117914134
14,0.1,0.3,0.031675536412563654
15,0.1,0.4,0.15957717537453558
16,0.1,0.5,0.6315475173586254
17,0.1,0.6,0.3233839933426843
18,0.1,0.7,0.23458825997963484
19,0.1,0.8,0.3767628843887689
20,0.1,0.9,2.8327913980308046
21,0.1,0.99,0.03836159055597474
22,0.2,0.01,0.00013270297978902544
23,0.2,0.1,0.0009375339679287911
24,0.2,0.2,0.004064879763418992
25,0.2,0.3,0.015859300232368766
26,0.2,0.4,0.07693179014217345
27,0.2,0.5,0.6720058138946821
28,0.2,0.6,0.3511032925806914
29,0.2,0.7,0.5944386342251778
30,0.2,0.8,3.2388632129725696
31,0.2,0.9,0.08615352787255039
32,0.2,0.99,0.013665541224937973
33,0.3,0.01,0.00018398576972445551
34,0.3,0.1,0.0006911417414625384
35,0.3,0.2,0.0029264734689666136
36,0.3,0.3,0.01076947520329388
37,0.3,0.4,0.057683262875360894
38,0.3,0.5,0.6503391586743226
39,0.3,0.6,0.6318137696801512
40,0.3,0.7,2.9327222503111674
41,0.3,0.8,0.21152571781553056
42,0.3,0.9,0.019817969901775513
43,0.3,0.99,0.007975936810516221
44,0.4,0.01,0.0002313603703691755
45,0.4,0.1,0.0006437138860742036
46,0.4,0.2,0.0021412179144557025
47,0.4,0.3,0.0075000242112220564
48,0.4,0.4,0.04847249003265376
49,0.4,0.5,0.7108936170992863
50,0.4,0.6,2.8044503887014463
51,0.4,0.7,0.2030889038962244
52,0.4,0.8,0.024981857373977193
53,0.4,0.9,0.01002323664267038
54,0.4,0.99,0.0053856338031683295
55,0.5,0.01,0.00029285540370258407
56,0.5,0.1,0.000982228068973564
57,0.5,0.2,0.003216778597792803
58,0.5,0.3,0.009587383081910813
59,0.5,0.4,0.07019034556704402
60,0.5,0.5,0.39457054397397506
61,0.5,0.6,0.1045637299669758
62,0.5,0.7,0.029067935240103315
63,0.5,0.8,0.01083216913178883
64,0.5,0.9,0.0056382608586842955
65,0.5,0.99,0.0036059085636172515
66,0.6,0.01,0.00032036827412620456
67,0.6,0.1,0.002412304297679163
68,0.6,0.2,0.014587290631406834
69,0.6,0.3,0.12703238471891826
70,0.6,0.4,2.0837697641306057
71,0.6,0.5,0.6524927108326153
72,0.6,0.6,0.04358462207982905
73,0.6,0.7,0.013289821349695611
74,0.6,0.8,0.006607750926139727
75,0.6,0.9,0.004401344923644692
76,0.6,0.99,0.0033578743405892893
77,0.7,0.01,0.0004515889405419702
78,0.7,0.1,0.007154597497537864
79,0.7,0.2,0.10897233744126232
80,0.7,0.3,1.992285292067487
81,0.7,0.4,0.5445693247646236
82,0.7,0.5,0.5978447835878938
83,0.7,0.6,0.059608105564086106
84,0.7,0.7,0.013860641180275829
85,0.7,0.8,0.005676777392573863
86,0.7,0.9,0.0032096458618694986
87,0.7,0.99,0.002143292910226302
88,0.8,0.01,0.0008056956273073838
89,0.8,0.1,0.03683456720185499
90,0.8,0.2,1.592624179801627
91,0.8,0.3,0.344746211038808
92,0.8,0.4,0.31296587869946624
93,0.8,0.5,0.49163809536997916
94,0.8,0.6,0.08388134751639945
95,0.8,0.7,0.017590937184724074
96,0.8,0.8,0.005575428574952062
97,0.8,0.9,0.0029045000388119796
98,0.8,0.99,0.002022903564556643
99,0.9,0.01,0.0014057537802832489
100,0.9,0.1,1.2158868440938226
101,0.9,0.2,0.2681673192137936
102,0.9,0.3,0.21538158661653842
103,0.9,0.4,0.3550191988646214
104,0.9,0.5,0.589545290526045
105,0.9,0.6,0.1612475704315897
106,0.9,0.7,0.03159988943308503
107,0.9,0.8,0.008698262906019218
108,0.9,0.9,0.002692648740882337
109,0.9,0.99,0.0016540689271050035
110,0.99,0.01,0.1534380012245521
111,0.99,0.1,0.4105486723160562
112,0.99,0.2,0.44248152792203344
113,0.99,0.3,0.3830659180495053
114,0.99,0.4,0.5182137770415983
115,0.99,0.5,0.6150759468782755
116,0.99,0.6,0.3422009803547688
117,0.99,0.7,0.11964513378840538
118,0.99,0.8,0.0419494898197313
119,0.99,0.9,0.008592010210773687
120,0.99,0.99,0.00145810624664905
