,P,cost,value
0,0.01,0.01,0.5702912177765492
1,0.01,0.1,0.5776435912064769
2,0.01,0.2,0.6258494793027263
3,0.01,0.3,0.6256385083147319
4,0.01,0.4,0.5605201292202332
5,0.01,0.5,0.6661447301516382
6,0.01,0.6,0.5236040118257035
7,0.01,0.7,0.6308837797990867
8,0.01,0.8,0.5615857415441002
9,0.01,0.9,0.6636790586092718
10,0.01,0.99,1.7023152016697347
11,0.1,0.01,0.6507427449668836
12,0.1,0.1,0.6503309552548707
13,0.1,0.2,0.6197070712452676
14,0.1,0.3,0.5800431875467342
15,0.1,0.4,0.638538043766202
16,0.1,0.5,0.6328691062568198
17,0.1,0.6,0.6413197310735884
18,0.1,0.7,0.6637592717526603
19,0.1,0.8,0.7249350800258375
20,0.1,0.9,0.6572716250891526
21,0.1,0.99,0.4322992671715348
22,0.2,0.01,0.5887936508742281
23,0.2,0.1,0.67010317641217
24,0.2,0.2,0.6111028300012779
25,0.2,0.3,0.5824399269930476
26,0.2,0.4,0.6394639190769675
27,0.2,0.5,0.6715099149136992
28,0.2,0.6,0.6336315958285712
29,0.2,0.7,0.8127895849718865
30,0.2,0.8,0.6412747964614143
31,0.2,0.9,0.5745649704708268
32,0.2,0.99,0.5838253504335602
33,0.3,0.01,0.5493918954235357
34,0.3,0.1,0.5699845493200569
35,0.3,0.2,0.6059390656326415
36,0.3,0.3,0.6456895762622443
37,0.3,0.4,0.521927031066092
38,0.3,0.5,0.6524918125705004
39,0.3,0.6,0.7235714470680594
40,0.3,0.7,0.5574894651394336
41,0.3,0.8,0.5568907322977654
42,0.3,0.9,0.5726110118254821
43,0.3,0.99,0.5754639257479273
44,0.4,0.01,0.5333376159114527
45,0.4,0.1,0.5773513285216935
46,0.4,0.2,0.5645701404279367
47,0.4,0.3,0.6346353975187287
48,0.4,0.4,0.64185526472119
49,0.4,0.5,0.7135865059980694
50,0.4,0.6,0.5761699844495072
51,0.4,0.7,0.645387060014166
52,0.4,0.8,0.5984470966986981
53,0.4,0.9,0.5691186503729622
54,0.4,0.99,0.5513945936940031
55,0.5,0.01,0.5342952412613066
56,0.5,0.1,0.5457892141395052
57,0.5,0.2,0.6599273020719688
58,0.5,0.3,0.607285189294521
59,0.5,0.4,0.7175447940052384
60,0.5,0.5,0.39749735556721755
61,0.5,0.6,0.6364277803545344
62,0.5,0.7,0.6148353347419737
63,0.5,0.8,0.6600884361331316
64,0.5,0.9,0.5823052065763866
65,0.5,0.99,0.4987037643780078
66,0.6,0.01,0.5694269222299057
67,0.6,0.1,0.5606840368656725
68,0.6,0.2,0.606431412220873
69,0.6,0.3,0.6118302169253274
70,0.6,0.4,0.4055393062463024
71,0.6,0.5,0.6542110004276043
72,0.6,0.6,0.6586238569793862
73,0.6,0.7,0.5728995368985154
74,0.6,0.8,0.6426738825202349
75,0.6,0.9,0.6424149411690467
76,0.6,0.99,0.6676121801348645
77,0.7,0.01,0.5695087549570477
78,0.7,0.1,0.6475899579143586
79,0.7,0.2,0.5574706157360928
80,0.7,0.3,0.3172249008862833
81,0.7,0.4,0.6999326572616227
82,0.7,0.5,0.5977563915021658
83,0.7,0.6,0.6031223293548627
84,0.7,0.7,0.6091074707408314
85,0.7,0.8,0.6396284428977668
86,0.7,0.9,0.6642862565264163
87,0.7,0.99,0.6101285911574129
88,0.8,0.01,0.5529222412227396
89,0.8,0.1,0.5803035441653837
90,0.8,0.2,0.24099265251458402
91,0.8,0.3,0.5573386289538869
92,0.8,0.4,0.5818892614130545
93,0.8,0.5,0.49094656655460645
94,0.8,0.6,0.592635304863759
95,0.8,0.7,0.5861180911202614
96,0.8,0.8,0.6007636702785125
97,0.8,0.9,0.5705368267854037
98,0.8,0.99,0.6141672395756971
99,0.9,0.01,0.5134307080711682
100,0.9,0.1,0.2214084217398846
101,0.9,0.2,0.6071034383997505
102,0.9,0.3,0.5708807500875681
103,0.9,0.4,0.6232558259189888
104,0.9,0.5,0.5884804049591683
105,0.9,0.6,0.6596262443553644
106,0.9,0.7,0.5843727404279868
107,0.9,0.8,0.6182964722802671
108,0.9,0.9,0.6503184531324695
109,0.9,0.99,0.5920172786696436
110,0.99,0.01,0.07526462252095674
111,0.99,0.1,0.6014546551683235
112,0.99,0.2,0.6207060702750727
113,0.99,0.3,0.617875925120901
114,0.99,0.4,0.5890183997161349
115,0.99,0.5,0.6154158592076984
116,0.99,0.6,0.5823437904487762
117,0.99,0.7,0.6221092316634904
118,0.99,0.8,0.653907309323869
119,0.99,0.9,0.6233245295934482
120,0.99,0.99,0.613512857580561
