,P,cost,value
0,0.01,0.01,0.00016472456618372744
1,0.01,0.1,0.00016843764775030236
2,0.01,0.2,0.00018690019992544064
3,0.01,0.3,0.00019902129713455905
4,0.01,0.4,0.0001975751462526697
5,0.01,0.5,0.0003598407091173848
6,0.01,0.6,0.001016497490093053
7,0.01,0.7,0.002048832816200435
8,0.01,0.8,0.006307965860495673
9,0.01,0.9,0.03428426780421649
10,0.01,0.99,3.695666421221928
11,0.1,0.01,0.0012683615620034962
12,0.1,0.1,0.0012850998795373226
13,0.1,0.2,0.001188892253648147
14,0.1,0.3,0.0011385978280148007
15,0.1,0.4,0.0012169128205980887
16,0.1,0.5,0.0015301366351741974
17,0.1,0.6,0.005246859927586528
18,0.1,0.7,0.020084281651715632
19,0.1,0.8,0.12528985904601606
20,0.1,0.9,2.917609971485607
21,0.1,0.99,0.10538801743185316
22,0.2,0.01,0.004557999540525076
23,0.2,0.1,0.0042839139745184975
24,0.2,0.2,0.004130885903386457
25,0.2,0.3,0.0033326299483525195
26,0.2,0.4,0.0030792805701813867
27,0.2,0.5,0.0036489361203497156
28,0.2,0.6,0.02294012963839593
29,0.2,0.7,0.247193338883696
30,0.2,0.8,3.2181663411685717
31,0.2,0.9,0.20581060364355042
32,0.2,0.99,0.07088379964956038
33,0.3,0.01,0.01513999716074247
34,0.3,0.1,0.012265587204539153
35,0.3,0.2,0.013557496456892944
36,0.3,0.3,0.010579114457429737
37,0.3,0.4,0.009011657941322445
38,0.3,0.5,0.012666380608696362
39,0.3,0.6,0.19565564901955085
40,0.3,0.7,2.930487859382808
41,0.3,0.8,0.39258669035783744
42,0.3,0.9,0.12213483924061964
43,0.3,0.99,0.07938322358874864
44,0.4,0.01,0.07332912322774093
45,0.4,0.1,0.06882145639488613
46,0.4,0.2,0.061314622490866416
47,0.4,0.3,0.05661810593167262
48,0.4,0.4,0.04857594944689078
49,0.4,0.5,0.07009041304600913
50,0.4,0.6,2.6760666912692965
51,0.4,0.7,0.5635817282039062
52,0.4,0.8,0.22792635895506824
53,0.4,0.9,0.18821701862613516
54,0.4,0.99,0.1397340396427412
55,0.5,0.01,0.5337584741247434
56,0.5,0.1,0.5519138104346201
57,0.5,0.2,0.6624312082044355
58,0.5,0.3,0.6087264539477979
59,0.5,0.4,0.7169401225519735
60,0.5,0.5,0.39540391286003596
61,0.5,0.6,0.6350416467812132
62,0.5,0.7,0.6150041027246563
63,0.5,0.8,0.6610198378871358
64,0.5,0.9,0.5819213531736769
65,0.5,0.99,0.496628611042301
66,0.6,0.01,0.15200337909865197
67,0.6,0.1,0.1759812942623566
68,0.6,0.2,0.23528715256229998
69,0.6,0.3,0.46891530229531286
70,0.6,0.4,2.1098989445871865
71,0.6,0.5,0.11301880966501289
72,0.6,0.6,0.04060036759300182
73,0.6,0.7,0.048415478526428066
74,0.6,0.8,0.06605049431667859
75,0.6,0.9,0.06611098019567897
76,0.6,0.99,0.07385250404422813
77,0.7,0.01,0.0739433068842304
78,0.7,0.1,0.11682983246252297
79,0.7,0.2,0.3011649532974765
80,0.7,0.3,2.0024524089791127
81,0.7,0.4,0.1569317456346714
82,0.7,0.5,0.022149435146174623
83,0.7,0.6,0.01245506192871335
84,0.7,0.7,0.013876016398113816
85,0.7,0.8,0.014048273595590336
86,0.7,0.9,0.015137472086664855
87,0.7,0.99,0.015677669765836382
88,0.8,0.01,0.05808924676532084
89,0.8,0.1,0.14418451717812436
90,0.8,0.2,1.6125966321849796
91,0.8,0.3,0.12269926169133692
92,0.8,0.4,0.020150281265874044
93,0.8,0.5,0.01094180032413505
94,0.8,0.6,0.007781398931549662
95,0.8,0.7,0.006457149652541469
96,0.8,0.8,0.005604848726411149
97,0.8,0.9,0.006232811954785554
98,0.8,0.99,0.006023197136196527
99,0.9,0.01,0.08985789007387143
100,0.9,0.1,1.3000914187490111
101,0.9,0.2,0.0649981468078142
102,0.9,0.3,0.01605644518292909
103,0.9,0.4,0.008863426713658609
104,0.9,0.5,0.005500474862157555
105,0.9,0.6,0.0045940115891279915
106,0.9,0.7,0.004010014129965962
107,0.9,0.8,0.0032736994908099466
108,0.9,0.9,0.0027027850666065346
109,0.9,0.99,0.002636319772139541
110,0.99,0.01,0.6851252956879734
111,0.99,0.1,0.02090416799491873
112,0.99,0.2,0.009482708414791206
113,0.99,0.3,0.005573176440908452
114,0.99,0.4,0.0050631968239320535
115,0.99,0.5,0.003967938041188768
116,0.99,0.6,0.0029273307154536092
117,0.99,0.7,0.0027181262696930474
118,0.99,0.8,0.0020915864773681635
119,0.99,0.9,0.0016151186322524939
120,0.99,0.99,0.0014314799012877058
