,P,cost,value
0,0.01,0.01,0.5755955604362857
1,0.01,0.1,0.6086257259464034
2,0.01,0.2,0.5818935925021306
3,0.01,0.3,0.6509309050512825
4,0.01,0.4,0.5577850647031295
5,0.01,0.5,0.5346687902333386
6,0.01,0.6,0.5811554192966213
7,0.01,0.7,0.6990632186886941
8,0.01,0.8,0.5697352650626435
9,0.01,0.9,0.7368914166950745
10,0.01,0.99,1.7421674542157413
11,0.1,0.01,0.5214483143221038
12,0.1,0.1,0.5274922324420562
13,0.1,0.2,0.5966134947730063
14,0.1,0.3,0.5831732120568507
15,0.1,0.4,0.5944828853368891
16,0.1,0.5,0.6399246082822164
17,0.1,0.6,0.5807143679994621
18,0.1,0.7,0.6234525566992615
19,0.1,0.8,0.74252965235242
20,0.1,0.9,0.6871634001210636
21,0.1,0.99,0.5104135435716458
22,0.2,0.01,0.6053080479537396
23,0.2,0.1,0.6224539020351345
24,0.2,0.2,0.6126314246792526
25,0.2,0.3,0.5877227121213515
26,0.2,0.4,0.5481052216360897
27,0.2,0.5,0.6032948122413999
28,0.2,0.6,0.6545152129219693
29,0.2,0.7,0.79180692655485
30,0.2,0.8,0.5742672860961361
31,0.2,0.9,0.5859544365918204
32,0.2,0.99,0.549767473604248
33,0.3,0.01,0.6666003434023821
34,0.3,0.1,0.5866462634525126
35,0.3,0.2,0.5481069685257609
36,0.3,0.3,0.5947533776772782
37,0.3,0.4,0.6547731806224459
38,0.3,0.5,0.5799120144549488
39,0.3,0.6,0.6491087333442708
40,0.3,0.7,0.5402410717854836
41,0.3,0.8,0.5851205989292563
42,0.3,0.9,0.622131361656509
43,0.3,0.99,0.5599404479449136
44,0.4,0.01,0.6042093347389746
45,0.4,0.1,0.5686221815826611
46,0.4,0.2,0.6240003678239269
47,0.4,0.3,0.5535726060862758
48,0.4,0.4,0.6277370992541489
49,0.4,0.5,0.8527086598616893
50,0.4,0.6,0.5454155737201558
51,0.4,0.7,0.5842381310903724
52,0.4,0.8,0.6030593000043244
53,0.4,0.9,0.5608062555211314
54,0.4,0.99,0.6347755008769139
55,0.5,0.01,0.6413654874226564
56,0.5,0.1,0.592265569340113
57,0.5,0.2,0.605039205772303
58,0.5,0.3,0.6202743716431974
59,0.5,0.4,0.6661651531481022
60,0.5,0.5,0.423797868414553
61,0.5,0.6,0.6040797138955891
62,0.5,0.7,0.5668960691833853
63,0.5,0.8,0.5292887819723137
64,0.5,0.9,0.6121327369697933
65,0.5,0.99,0.6200899778625555
66,0.6,0.01,0.6197093076366325
67,0.6,0.1,0.5329068396004362
68,0.6,0.2,0.6054950491794732
69,0.6,0.3,0.6153810866397365
70,0.6,0.4,0.40934026363638903
71,0.6,0.5,0.697542516279714
72,0.6,0.6,0.5937433758850466
73,0.6,0.7,0.530627837084504
74,0.6,0.8,0.6636564752281721
75,0.6,0.9,0.5431109008171512
76,0.6,0.99,0.5972971173997708
77,0.7,0.01,0.5984760809384863
78,0.7,0.1,0.5035747704396644
79,0.7,0.2,0.5862614229322406
80,0.7,0.3,0.3394654238827354
81,0.7,0.4,0.5829316361468422
82,0.7,0.5,0.5860850684434954
83,0.7,0.6,0.5552424075303426
84,0.7,0.7,0.5383071245274889
85,0.7,0.8,0.5501883765599932
86,0.7,0.9,0.6447927743817219
87,0.7,0.99,0.5816080882706302
88,0.8,0.01,0.5673430561956966
89,0.8,0.1,0.5155320690692607
90,0.8,0.2,0.33006355311913765
91,0.8,0.3,0.5930570082390484
92,0.8,0.4,0.5736155612121079
93,0.8,0.5,0.5954557303507225
94,0.8,0.6,0.6052988830811037
95,0.8,0.7,0.6853343970833774
96,0.8,0.8,0.6222452165977252
97,0.8,0.9,0.6132284011145704
98,0.8,0.99,0.5744115256899861
99,0.9,0.01,0.5160228195260511
100,0.9,0.1,0.2366005595671292
101,0.9,0.2,0.5721798160948118
102,0.9,0.3,0.5664524371929247
103,0.9,0.4,0.576648933439363
104,0.9,0.5,0.6197791414657154
105,0.9,0.6,0.6039699459474429
106,0.9,0.7,0.6479874363768152
107,0.9,0.8,0.6522400110704057
108,0.9,0.9,0.595988713387418
109,0.9,0.99,0.6302201905662362
110,0.99,0.01,0.0750808674966937
111,0.99,0.1,0.6094809927619225
112,0.99,0.2,0.5758793847714083
113,0.99,0.3,0.6492117363929464
114,0.99,0.4,0.5922172653527794
115,0.99,0.5,0.6183356611070643
116,0.99,0.6,0.6065510922572281
117,0.99,0.7,0.5261662259441039
118,0.99,0.8,0.653866611798901
119,0.99,0.9,0.621950279389903
120,0.99,0.99,0.5680101121666837
