,P,cost,value
0,0.01,0.01,0.6733611935685111
1,0.01,0.1,0.7360335691108948
2,0.01,0.2,0.6810244248872627
3,0.01,0.3,0.7010609706249865
4,0.01,0.4,0.6714362065768906
5,0.01,0.5,0.6204772226074288
6,0.01,0.6,0.6791610149634331
7,0.01,0.7,0.7505653373441481
8,0.01,0.8,0.6910436643678487
9,0.01,0.9,0.8728787239832391
10,0.01,0.99,2.368888669866767
11,0.1,0.01,0.5606054643261431
12,0.1,0.1,0.5283116892375386
13,0.1,0.2,0.5008705993980878
14,0.1,0.3,0.5610373702769823
15,0.1,0.4,0.5648075234919309
16,0.1,0.5,0.5504783592791562
17,0.1,0.6,0.48691548383980765
18,0.1,0.7,0.6093010548147437
19,0.1,0.8,0.772297657166746
20,0.1,0.9,2.0138039102620877
21,0.1,0.99,0.35591967053392326
22,0.2,0.01,0.24947405281698254
23,0.2,0.1,0.287740365941716
24,0.2,0.2,0.280309043669914
25,0.2,0.3,0.2543467578360079
26,0.2,0.4,0.309503545750468
27,0.2,0.5,0.2796938811130715
28,0.2,0.6,0.40490179152724404
29,0.2,0.7,0.7226791829337226
30,0.2,0.8,2.4589443984262296
31,0.2,0.9,0.08954903609545425
32,0.2,0.99,0.14835135302359573
33,0.3,0.01,0.1124869870572686
34,0.3,0.1,0.11405074463282994
35,0.3,0.2,0.14639079460830304
36,0.3,0.3,0.15712591698055606
37,0.3,0.4,0.17587391255787985
38,0.3,0.5,0.1973373287642642
39,0.3,0.6,0.5453070057915372
40,0.3,0.7,2.6311484166652717
41,0.3,0.8,0.09394730042262321
42,0.3,0.9,0.041209922769199075
43,0.3,0.99,0.05745817840126597
44,0.4,0.01,0.07152781160094542
45,0.4,0.1,0.0835895668618576
46,0.4,0.2,0.09052268768358752
47,0.4,0.3,0.11820369152866396
48,0.4,0.4,0.15785144310118596
49,0.4,0.5,0.5431417722523957
50,0.4,0.6,2.7198755516541406
51,0.4,0.7,0.17197575077088398
52,0.4,0.8,0.026400552126973797
53,0.4,0.9,0.019826539710924233
54,0.4,0.99,0.02242571911648034
55,0.5,0.01,0.05353220568688039
56,0.5,0.1,0.061476476137883485
57,0.5,0.2,0.08452783384290435
58,0.5,0.3,0.13067249346967966
59,0.5,0.4,0.44054563676968966
60,0.5,0.5,2.5577946096929587
61,0.5,0.6,0.24135231664568935
62,0.5,0.7,0.03418861910421399
63,0.5,0.8,0.014283792739582248
64,0.5,0.9,0.011483466372084325
65,0.5,0.99,0.011466412387838326
66,0.6,0.01,0.040208834315707764
67,0.6,0.1,0.05225677388012323
68,0.6,0.2,0.10508825147962557
69,0.6,0.3,0.3166249951460364
70,0.6,0.4,2.274775988980957
71,0.6,0.5,0.23866776139971388
72,0.6,0.6,0.03955212964180742
73,0.6,0.7,0.014325719541834304
74,0.6,0.8,0.006761616961273391
75,0.6,0.9,0.0058329879687139905
76,0.6,0.99,0.006650342881779814
77,0.7,0.01,0.040915860587042684
78,0.7,0.1,0.06864548889772976
79,0.7,0.2,0.2191981989450924
80,0.7,0.3,2.069795741906834
81,0.7,0.4,0.1846110143758718
82,0.7,0.5,0.035234468052245616
83,0.7,0.6,0.01399442728520624
84,0.7,0.7,0.007293688586830251
85,0.7,0.8,0.004584258050862601
86,0.7,0.9,0.004616916283429071
87,0.7,0.99,0.0038677427282175717
88,0.8,0.01,0.04410665581858128
89,0.8,0.1,0.1360055738528017
90,0.8,0.2,1.8146213865088743
91,0.8,0.3,0.12470408832576413
92,0.8,0.4,0.029507124872529412
93,0.8,0.5,0.011335915477339621
94,0.8,0.6,0.0077569514907635945
95,0.8,0.7,0.00429511938470424
96,0.8,0.8,0.0039145553493903865
97,0.8,0.9,0.003003358184324366
98,0.8,0.99,0.0027492383768124586
99,0.9,0.01,0.07165435264067106
100,0.9,0.1,1.3882654914194372
101,0.9,0.2,0.06367691330622277
102,0.9,0.3,0.0195975716621754
103,0.9,0.4,0.008453559347057923
104,0.9,0.5,0.006557981158659774
105,0.9,0.6,0.005004461860612171
106,0.9,0.7,0.00375836246028864
107,0.9,0.8,0.003029051134450911
108,0.9,0.9,0.0022597481107270103
109,0.9,0.99,0.0019723382205002983
110,0.99,0.01,0.6402280988153762
111,0.99,0.1,0.019119621125694816
112,0.99,0.2,0.009384746542283558
113,0.99,0.3,0.006127883783153459
114,0.99,0.4,0.004724188987684307
115,0.99,0.5,0.004168803816016252
116,0.99,0.6,0.0039395343126809096
117,0.99,0.7,0.002583990448297365
118,0.99,0.8,0.0020703204602546257
119,0.99,0.9,0.0018287190921804741
120,0.99,0.99,0.0013685070192042143
