,P,cost,value
0,0.01,0.01,0.6136073479969445
1,0.01,0.1,0.6562700693833262
2,0.01,0.2,0.6167155468742169
3,0.01,0.3,0.6437384168390325
4,0.01,0.4,0.6018918474893877
5,0.01,0.5,0.5646558247972742
6,0.01,0.6,0.630179130574876
7,0.01,0.7,0.7001474237107902
8,0.01,0.8,0.6306990766783427
9,0.01,0.9,0.8085815709771481
10,0.01,0.99,2.08973631153816
11,0.1,0.01,0.641121577454356
12,0.1,0.1,0.6327070437127738
13,0.1,0.2,0.7337946568706819
14,0.1,0.3,0.6542128784278796
15,0.1,0.4,0.7564660492801333
16,0.1,0.5,0.7196290082405448
17,0.1,0.6,0.6685873285277687
18,0.1,0.7,0.7323076732559815
19,0.1,0.8,0.7798626739882291
20,0.1,0.9,0.717541072367408
21,0.1,0.99,0.5555588909214029
22,0.2,0.01,0.7166055662991042
23,0.2,0.1,0.6486718125853415
24,0.2,0.2,0.6765470108056189
25,0.2,0.3,0.6384059972873783
26,0.2,0.4,0.6596141474848926
27,0.2,0.5,0.6692904427202535
28,0.2,0.6,0.6933267386614264
29,0.2,0.7,0.8324678126292775
30,0.2,0.8,0.5741721231935359
31,0.2,0.9,0.6259473944587947
32,0.2,0.99,0.5902810710385085
33,0.3,0.01,0.6910865921462825
34,0.3,0.1,0.6189607247392175
35,0.3,0.2,0.5682212791917132
36,0.3,0.3,0.6445754322728403
37,0.3,0.4,0.6920965563601247
38,0.3,0.5,0.5892966463473284
39,0.3,0.6,0.6459870749869291
40,0.3,0.7,0.5678019162190582
41,0.3,0.8,0.6261616563500123
42,0.3,0.9,0.6464094648031747
43,0.3,0.99,0.600315857845723
44,0.4,0.01,0.6216108499799835
45,0.4,0.1,0.5574077284000697
46,0.4,0.2,0.6417847851032232
47,0.4,0.3,0.5591262980732934
48,0.4,0.4,0.6412062712675557
49,0.4,0.5,0.8426001760579044
50,0.4,0.6,0.5473970321113966
51,0.4,0.7,0.6024282464730814
52,0.4,0.8,0.610993484948227
53,0.4,0.9,0.5616785257812695
54,0.4,0.99,0.6501617618727963
55,0.5,0.01,0.6459113890560529
56,0.5,0.1,0.5934889486391508
57,0.5,0.2,0.6071494373622712
58,0.5,0.3,0.621905668318823
59,0.5,0.4,0.667566633754582
60,0.5,0.5,0.4257297724695359
61,0.5,0.6,0.6062032214767501
62,0.5,0.7,0.5600987549536528
63,0.5,0.8,0.5330857894454232
64,0.5,0.9,0.6099238182925535
65,0.5,0.99,0.6198400796890183
66,0.6,0.01,0.612344564532178
67,0.6,0.1,0.5375562833330001
68,0.6,0.2,0.6132262421248973
69,0.6,0.3,0.6200565704886278
70,0.6,0.4,0.41334519945293974
71,0.6,0.5,0.7048562196989343
72,0.6,0.6,0.5868553426971138
73,0.6,0.7,0.5443032245474666
74,0.6,0.8,0.6774839186967839
75,0.6,0.9,0.5623033543574597
76,0.6,0.99,0.6078130237238646
77,0.7,0.01,0.6266782784685838
78,0.7,0.1,0.5076393530110942
79,0.7,0.2,0.6078691265451873
80,0.7,0.3,0.3455282441695916
81,0.7,0.4,0.5996781712035075
82,0.7,0.5,0.6113249264094022
83,0.7,0.6,0.5764225481057137
84,0.7,0.7,0.5807553360483009
85,0.7,0.8,0.5875753444654795
86,0.7,0.9,0.6448048213344284
87,0.7,0.99,0.6115744195830674
88,0.8,0.01,0.6426909457470591
89,0.8,0.1,0.5629716869590673
90,0.8,0.2,0.32774116584741786
91,0.8,0.3,0.6167717586444589
92,0.8,0.4,0.5772398389615008
93,0.8,0.5,0.6738014571125668
94,0.8,0.6,0.6276227639409658
95,0.8,0.7,0.7279834890571002
96,0.8,0.8,0.6209034285285991
97,0.8,0.9,0.6699399035502323
98,0.8,0.99,0.6082955006070708
99,0.9,0.01,0.5989900155440585
100,0.9,0.1,0.26527944206039356
101,0.9,0.2,0.7575546556788404
102,0.9,0.3,0.6543924756924777
103,0.9,0.4,0.6867435392271608
104,0.9,0.5,0.7730442349976425
105,0.9,0.6,0.7450294065624681
106,0.9,0.7,0.7628901575718884
107,0.9,0.8,0.820574438048371
108,0.9,0.9,0.6622550928697306
109,0.9,0.99,0.7570581264062891
110,0.99,0.01,0.1287686914773007
111,0.99,0.1,0.6307904569567925
112,0.99,0.2,0.6386013147476759
113,0.99,0.3,0.6536326516553543
114,0.99,0.4,0.6659766524876208
115,0.99,0.5,0.6548387846154617
116,0.99,0.6,0.6555595733666365
117,0.99,0.7,0.5741292127893469
118,0.99,0.8,0.626098929371317
119,0.99,0.9,0.6514662549484449
120,0.99,0.99,0.5330624787408962
