,P,cost,value
0,0.01,0.01,0.6361015148419629
1,0.01,0.1,0.6579528260584668
2,0.01,0.2,0.6491583061033845
3,0.01,0.3,0.7376746022530165
4,0.01,0.4,0.6270163996283911
5,0.01,0.5,0.6465658688337
6,0.01,0.6,0.6872894694878557
7,0.01,0.7,0.7367835551424893
8,0.01,0.8,0.6506751141051247
9,0.01,0.9,0.8170567961406452
10,0.01,0.99,2.0962728593186615
11,0.1,0.01,0.65567184778415
12,0.1,0.1,0.7467359997029327
13,0.1,0.2,0.7929084428503312
14,0.1,0.3,0.6888867188348436
15,0.1,0.4,0.8308030640532109
16,0.1,0.5,0.8603383311209958
17,0.1,0.6,0.8021569118701638
18,0.1,0.7,0.7693664902109093
19,0.1,0.8,0.8448982788907905
20,0.1,0.9,0.9153956228598138
21,0.1,0.99,0.6595621874514052
22,0.2,0.01,0.7912761587742254
23,0.2,0.1,0.7943725655764454
24,0.2,0.2,0.8937370745821802
25,0.2,0.3,0.7800605636976443
26,0.2,0.4,0.7530033862186291
27,0.2,0.5,0.8511162609388
28,0.2,0.6,0.7969765798663081
29,0.2,0.7,0.8866621652413919
30,0.2,0.8,0.7385723086098568
31,0.2,0.9,0.7691335392615112
32,0.2,0.99,0.7013431791373016
33,0.3,0.01,0.842021846542096
34,0.3,0.1,0.7552217178907479
35,0.3,0.2,0.7456687936120576
36,0.3,0.3,0.7852158651146726
37,0.3,0.4,0.8375736779813228
38,0.3,0.5,0.7822351272483725
39,0.3,0.6,0.7278813766493906
40,0.3,0.7,0.6382975772772358
41,0.3,0.8,0.6967037585154925
42,0.3,0.9,0.8099268302843549
43,0.3,0.99,0.7156881678961413
44,0.4,0.01,0.7676652903765615
45,0.4,0.1,0.7340148515979354
46,0.4,0.2,0.8359204202952459
47,0.4,0.3,0.7391082332519521
48,0.4,0.4,0.7765012881879528
49,0.4,0.5,0.9358061969440421
50,0.4,0.6,0.606236618608131
51,0.4,0.7,0.6950840436472607
52,0.4,0.8,0.7605590271795029
53,0.4,0.9,0.7673466725789907
54,0.4,0.99,0.8540975596875205
55,0.5,0.01,0.8127384751486442
56,0.5,0.1,0.7445916349427553
57,0.5,0.2,0.8086116051900545
58,0.5,0.3,0.8164704459474577
59,0.5,0.4,0.7853347905498722
60,0.5,0.5,0.5114644274188357
61,0.5,0.6,0.7385320579624933
62,0.5,0.7,0.7057902579818319
63,0.5,0.8,0.7262109071211145
64,0.5,0.9,0.7539948309957134
65,0.5,0.99,0.8137355264859797
66,0.6,0.01,0.7959155050052173
67,0.6,0.1,0.7127533801717829
68,0.6,0.2,0.8013202028330857
69,0.6,0.3,0.7227433809975761
70,0.6,0.4,0.40566415603011724
71,0.6,0.5,0.7645393709003118
72,0.6,0.6,0.823188913846687
73,0.6,0.7,0.7234688149536971
74,0.6,0.8,0.8589171088387688
75,0.6,0.9,0.6659327075207399
76,0.6,0.99,0.816490956059432
77,0.7,0.01,0.8027775594354082
78,0.7,0.1,0.6782345750084315
79,0.7,0.2,0.7015105345199575
80,0.7,0.3,0.3744977415137468
81,0.7,0.4,0.7515067456955593
82,0.7,0.5,0.7599441699834224
83,0.7,0.6,0.7517059112757629
84,0.7,0.7,0.7228855432340814
85,0.7,0.8,0.7470605880971388
86,0.7,0.9,0.819082895620855
87,0.7,0.99,0.7789615032288154
88,0.8,0.01,0.7797465245010321
89,0.8,0.1,0.694445520998218
90,0.8,0.2,0.3318480706229904
91,0.8,0.3,0.6879195983635921
92,0.8,0.4,0.7577086958558472
93,0.8,0.5,0.7501049526544685
94,0.8,0.6,0.8320236479664336
95,0.8,0.7,0.858383996017444
96,0.8,0.8,0.7982211353177776
97,0.8,0.9,0.7996560372216173
98,0.8,0.99,0.7659749580880713
99,0.9,0.01,0.675683713131256
100,0.9,0.1,0.24093005390061112
101,0.9,0.2,0.804763975148127
102,0.9,0.3,0.7235947617937295
103,0.9,0.4,0.7803403071994813
104,0.9,0.5,0.8222086374249353
105,0.9,0.6,0.7766895660540413
106,0.9,0.7,0.8205278611838847
107,0.9,0.8,0.8307593064582707
108,0.9,0.9,0.7823048747207978
109,0.9,0.99,0.792679860922471
110,0.99,0.01,0.08765295302204809
111,0.99,0.1,0.7145144131101432
112,0.99,0.2,0.6780993365562862
113,0.99,0.3,0.729158637168881
114,0.99,0.4,0.6760056306939608
115,0.99,0.5,0.6909864241752082
116,0.99,0.6,0.6666500998122391
117,0.99,0.7,0.617611923067306
118,0.99,0.8,0.7541340828420791
119,0.99,0.9,0.695907900635389
120,0.99,0.99,0.6218416933441305
