,P,cost,value
0,0.01,0.01,0.6737436276289911
1,0.01,0.1,0.7372863985255872
2,0.01,0.2,0.6817460572481991
3,0.01,0.3,0.7014046646812966
4,0.01,0.4,0.672886098580885
5,0.01,0.5,0.6214357000194619
6,0.01,0.6,0.6795635531755355
7,0.01,0.7,0.7512900444372655
8,0.01,0.8,0.6921622475055113
9,0.01,0.9,0.8737548393875454
10,0.01,0.99,2.3589634748652926
11,0.1,0.01,0.70499943145069
12,0.1,0.1,0.7192904230457482
13,0.1,0.2,0.8200292203513473
14,0.1,0.3,0.7313226174376064
15,0.1,0.4,0.8511001747867075
16,0.1,0.5,0.8030082816518511
17,0.1,0.6,0.7675861460104887
18,0.1,0.7,0.79897551597483
19,0.1,0.8,0.8226647341675535
20,0.1,0.9,0.7722616863293883
21,0.1,0.99,0.6067800831529405
22,0.2,0.01,0.8606837521904799
23,0.2,0.1,0.7838571524377974
24,0.2,0.2,0.8237694419633721
25,0.2,0.3,0.764935110833257
26,0.2,0.4,0.8444820455135681
27,0.2,0.5,0.8108987171366387
28,0.2,0.6,0.8211360922126483
29,0.2,0.7,0.9019234234525914
30,0.2,0.8,0.6146958683460653
31,0.2,0.9,0.7154257745615118
32,0.2,0.99,0.6944009482077143
33,0.3,0.01,0.867824338558924
34,0.3,0.1,0.8075384848967346
35,0.3,0.2,0.7171927725218727
36,0.3,0.3,0.8334670679776817
37,0.3,0.4,0.8617150179255322
38,0.3,0.5,0.7434598691139954
39,0.3,0.6,0.7438269704862183
40,0.3,0.7,0.6474085163748946
41,0.3,0.8,0.7459381138143262
42,0.3,0.9,0.7976837790793117
43,0.3,0.99,0.8436909385827787
44,0.4,0.01,0.7781520468861491
45,0.4,0.1,0.7718000659648184
46,0.4,0.2,0.8904348719459776
47,0.4,0.3,0.7827749158457131
48,0.4,0.4,0.8504533587522144
49,0.4,0.5,0.8972591252143247
50,0.4,0.6,0.5625141085003176
51,0.4,0.7,0.804586964364691
52,0.4,0.8,0.8024913950581213
53,0.4,0.9,0.7207430561535132
54,0.4,0.99,0.8970787302362371
55,0.5,0.01,0.820725340749975
56,0.5,0.1,0.8134594253122552
57,0.5,0.2,0.7520792611029742
58,0.5,0.3,0.8458593230233016
59,0.5,0.4,0.8048919483822686
60,0.5,0.5,0.45175172334058167
61,0.5,0.6,0.7311643284199691
62,0.5,0.7,0.6705920568023191
63,0.5,0.8,0.7592710202772655
64,0.5,0.9,0.7555730077579839
65,0.5,0.99,0.7581265548957615
66,0.6,0.01,0.8196407829343856
67,0.6,0.1,0.7773368663763929
68,0.6,0.2,0.8220250171933443
69,0.6,0.3,0.7042099217086799
70,0.6,0.4,0.39977937059177127
71,0.6,0.5,0.8019498053594896
72,0.6,0.6,0.8615608970963398
73,0.6,0.7,0.7621630156777904
74,0.6,0.8,0.8272927293055539
75,0.6,0.9,0.6409149201519502
76,0.6,0.99,0.762567453547543
77,0.7,0.01,0.8099157821041415
78,0.7,0.1,0.7257089004439098
79,0.7,0.2,0.719584102553064
80,0.7,0.3,0.3630205920580492
81,0.7,0.4,0.7720099124107299
82,0.7,0.5,0.7246215329604327
83,0.7,0.6,0.8482935989777247
84,0.7,0.7,0.7697470089207281
85,0.7,0.8,0.7427291189584422
86,0.7,0.9,0.8117385614087135
87,0.7,0.99,0.8118091081898842
88,0.8,0.01,0.7301270655460743
89,0.8,0.1,0.7426351137205047
90,0.8,0.2,0.35705982599422115
91,0.8,0.3,0.7330538808519965
92,0.8,0.4,0.869911994728705
93,0.8,0.5,0.7102390153698624
94,0.8,0.6,0.8968368001822289
95,0.8,0.7,0.8248344445542113
96,0.8,0.8,0.836547449565233
97,0.8,0.9,0.8372273881130889
98,0.8,0.99,0.8233520792839704
99,0.9,0.01,0.7531045854790525
100,0.9,0.1,0.24204529723267015
101,0.9,0.2,0.7012053241980619
102,0.9,0.3,0.7346087346220269
103,0.9,0.4,0.8064812380005882
104,0.9,0.5,0.7826353375838893
105,0.9,0.6,0.7918778928824057
106,0.9,0.7,0.7819403864524292
107,0.9,0.8,0.7695798588448364
108,0.9,0.9,0.8355997857608817
109,0.9,0.99,0.7735092031296869
110,0.99,0.01,0.1320344315080887
111,0.99,0.1,0.6451626520487747
112,0.99,0.2,0.5929894351449669
113,0.99,0.3,0.6656964873106312
114,0.99,0.4,0.6207086555737058
115,0.99,0.5,0.6196937875254915
116,0.99,0.6,0.6019973068995639
117,0.99,0.7,0.603684145937504
118,0.99,0.8,0.6348063577558141
119,0.99,0.9,0.6107018501333307
120,0.99,0.99,0.6776466949308737
