,P,cost,value
0,0.01,0.01,0.31029062895576937
1,0.01,0.1,0.29864347779149175
2,0.01,0.2,0.3153901509792531
3,0.01,0.3,0.3374467293602709
4,0.01,0.4,0.33929807330248246
5,0.01,0.5,0.31125485523097807
6,0.01,0.6,0.3346114016090728
7,0.01,0.7,0.3756254597602322
8,0.01,0.8,0.34152195262759133
9,0.01,0.9,0.49412777026975396
10,0.01,0.99,3.663693518451585
11,0.1,0.01,0.053295587780448135
12,0.1,0.1,0.05460816258774075
13,0.1,0.2,0.05507436258144503
14,0.1,0.3,0.059914278314872
15,0.1,0.4,0.06860374142631313
16,0.1,0.5,0.08794370054710392
17,0.1,0.6,0.07822882483975138
18,0.1,0.7,0.13223068475848107
19,0.1,0.8,0.351253950232046
20,0.1,0.9,3.118743470570905
21,0.1,0.99,0.04398774680366316
22,0.2,0.01,0.03359172503031106
23,0.2,0.1,0.03370166516859165
24,0.2,0.2,0.0409380160671831
25,0.2,0.3,0.0430381494645727
26,0.2,0.4,0.04858563582676303
27,0.2,0.5,0.06604272592947073
28,0.2,0.6,0.12385164650528516
29,0.2,0.7,0.43126896037123896
30,0.2,0.8,2.7724157612343916
31,0.2,0.9,0.11902496593560977
32,0.2,0.99,0.012777875266804115
33,0.3,0.01,0.023288694009120422
34,0.3,0.1,0.02348106791068123
35,0.3,0.2,0.03483368173970123
36,0.3,0.3,0.043721562404560835
37,0.3,0.4,0.061314217992489276
38,0.3,0.5,0.10373169132140875
39,0.3,0.6,0.3931726902943949
40,0.3,0.7,2.7684423949985506
41,0.3,0.8,0.17478049027150497
42,0.3,0.9,0.02157679428864735
43,0.3,0.99,0.008693162370212967
44,0.4,0.01,0.02413506014565891
45,0.4,0.1,0.026246955281519126
46,0.4,0.2,0.03678185873637587
47,0.4,0.3,0.052435748229246536
48,0.4,0.4,0.10643918408124431
49,0.4,0.5,0.45385817014847574
50,0.4,0.6,2.7887886215315367
51,0.4,0.7,0.23278080542209384
52,0.4,0.8,0.0431354604085906
53,0.4,0.9,0.00961309751734951
54,0.4,0.99,0.005319725916556356
55,0.5,0.01,0.023803975801956912
56,0.5,0.1,0.02808564444218462
57,0.5,0.2,0.04783037695186509
58,0.5,0.3,0.09211655414376761
59,0.5,0.4,0.3765011067464141
60,0.5,0.5,2.591632426859811
61,0.5,0.6,0.2915148412319377
62,0.5,0.7,0.04736266911055242
63,0.5,0.8,0.015905316247219033
64,0.5,0.9,0.007041550719499277
65,0.5,0.99,0.004576174911805664
66,0.6,0.01,0.02428404085170444
67,0.6,0.1,0.032318253846781594
68,0.6,0.2,0.07685451671777656
69,0.6,0.3,0.28399357943355996
70,0.6,0.4,2.2972608590515113
71,0.6,0.5,0.2701592883898182
72,0.6,0.6,0.05038228651976771
73,0.6,0.7,0.01721336467942307
74,0.6,0.8,0.007090222095909936
75,0.6,0.9,0.003921703995266602
76,0.6,0.99,0.0028762718848205416
77,0.7,0.01,0.02698714876920281
78,0.7,0.1,0.051859931678532374
79,0.7,0.2,0.19871077049022362
80,0.7,0.3,2.0740197511964653
81,0.7,0.4,0.2006667347044237
82,0.7,0.5,0.041460426229308095
83,0.7,0.6,0.016328228828631563
84,0.7,0.7,0.008561999409864685
85,0.7,0.8,0.004803249063847595
86,0.7,0.9,0.0033208574863826485
87,0.7,0.99,0.002534793185918855
88,0.8,0.01,0.03473077526784828
89,0.8,0.1,0.1206691839702258
90,0.8,0.2,1.8202319052267144
91,0.8,0.3,0.13307055241288204
92,0.8,0.4,0.03390712946581036
93,0.8,0.5,0.012512171741234682
94,0.8,0.6,0.008553036093226985
95,0.8,0.7,0.004728868128355768
96,0.8,0.8,0.0039719423428515995
97,0.8,0.9,0.0027640084800087806
98,0.8,0.99,0.0019148938100690275
99,0.9,0.01,0.06583418905684449
100,0.9,0.1,1.3897344435383951
101,0.9,0.2,0.06746815476875441
102,0.9,0.3,0.021865512814156024
103,0.9,0.4,0.009588975384618108
104,0.9,0.5,0.007028402953150832
105,0.9,0.6,0.00558817904206785
106,0.9,0.7,0.003914808491368359
107,0.9,0.8,0.002918863443497665
108,0.9,0.9,0.0019673277570729894
109,0.9,0.99,0.0016695518178805608
110,0.99,0.01,0.6395791542470786
111,0.99,0.1,0.019529848742941773
112,0.99,0.2,0.009568312899135477
113,0.99,0.3,0.006164022001067452
114,0.99,0.4,0.00474665465772359
115,0.99,0.5,0.004217081073371777
116,0.99,0.6,0.003983735573898194
117,0.99,0.7,0.0026145058235829276
118,0.99,0.8,0.002046915362828298
119,0.99,0.9,0.0017787098641765206
120,0.99,0.99,0.0013096890440254022
