,P,cost,value
0,0.01,0.01,5.3256809324667755e-05
1,0.01,0.1,7.326541245043758e-05
2,0.01,0.2,9.703670811512629e-05
3,0.01,0.3,0.0003737424984630929
4,0.01,0.4,0.0005306932759436404
5,0.01,0.5,0.0009126583379289165
6,0.01,0.6,0.0019320029702915064
7,0.01,0.7,0.0035498846584907035
8,0.01,0.8,0.008400586509720831
9,0.01,0.9,0.039128795299387883
10,0.01,0.99,3.8773700456584366
11,0.1,0.01,0.00010198161812835022
12,0.1,0.1,0.00019666329611729927
13,0.1,0.2,0.000532634682888987
14,0.1,0.3,0.0010239966190680513
15,0.1,0.4,0.0022907130307054093
16,0.1,0.5,0.0043832042687807354
17,0.1,0.6,0.008171274142151783
18,0.1,0.7,0.028059710969345328
19,0.1,0.8,0.15883971643339076
20,0.1,0.9,3.130379113761232
21,0.1,0.99,0.09234835640278265
22,0.2,0.01,7.785163151908516e-05
23,0.2,0.1,0.0003497681268000138
24,0.2,0.2,0.0010036656588017902
25,0.2,0.3,0.002848598229383664
26,0.2,0.4,0.005316510987849261
27,0.2,0.5,0.012649017969340445
28,0.2,0.6,0.042369419910083105
29,0.2,0.7,0.2695682361873702
30,0.2,0.8,2.7550254136254235
31,0.2,0.9,0.21724351104785977
32,0.2,0.99,0.04278427267781293
33,0.3,0.01,8.279729909454531e-05
34,0.3,0.1,0.0006540412092204444
35,0.3,0.2,0.0020031420260062955
36,0.3,0.3,0.005449306488536051
37,0.3,0.4,0.013964552636826843
38,0.3,0.5,0.04477755648552002
39,0.3,0.6,0.2705052356636154
40,0.3,0.7,2.7731965768798075
41,0.3,0.8,0.2644847041603141
42,0.3,0.9,0.05792094830112803
43,0.3,0.99,0.03027060650709748
44,0.4,0.01,0.00011931217505959671
45,0.4,0.1,0.0010275439570903333
46,0.4,0.2,0.00400912355127026
47,0.4,0.3,0.012758241880278413
48,0.4,0.4,0.05385772229964911
49,0.4,0.5,0.32857303309320895
50,0.4,0.6,2.7891482307610276
51,0.4,0.7,0.31802958077585086
52,0.4,0.8,0.0871413724039671
53,0.4,0.9,0.036325806044793574
54,0.4,0.99,0.026563115745788204
55,0.5,0.01,0.0001184725531091657
56,0.5,0.1,0.0016799807153226294
57,0.5,0.2,0.00826653837645041
58,0.5,0.3,0.04068199244712043
59,0.5,0.4,0.263519804276133
60,0.5,0.5,2.5881224942602383
61,0.5,0.6,0.39363184620903907
62,0.5,0.7,0.09150574790827386
63,0.5,0.8,0.05109250450675628
64,0.5,0.9,0.03314393506525777
65,0.5,0.99,0.022982435158416
66,0.6,0.01,0.00018529246011738377
67,0.6,0.1,0.0037620434194766826
68,0.6,0.2,0.027088662925755305
69,0.6,0.3,0.19271770058909454
70,0.6,0.4,2.3132564850279023
71,0.6,0.5,0.3657838598693774
72,0.6,0.6,0.10362851743664572
73,0.6,0.7,0.0504525766199255
74,0.6,0.8,0.03619199209970906
75,0.6,0.9,0.028966129710011026
76,0.6,0.99,0.026031538343102012
77,0.7,0.01,0.0002958280552965643
78,0.7,0.1,0.009861320515357944
79,0.7,0.2,0.11785254195657141
80,0.7,0.3,2.0378689547676965
81,0.7,0.4,0.27567218879349226
82,0.7,0.5,0.09340064082501467
83,0.7,0.6,0.057652910363979674
84,0.7,0.7,0.040997372419973796
85,0.7,0.8,0.037749578726192924
86,0.7,0.9,0.030336808741496038
87,0.7,0.99,0.02509302098157269
88,0.8,0.01,0.0004261478155302689
89,0.8,0.1,0.04661656621323143
90,0.8,0.2,1.8045288286430592
91,0.8,0.3,0.21433064839917199
92,0.8,0.4,0.09355170202557414
93,0.8,0.5,0.0579211597350974
94,0.8,0.6,0.06062504876715867
95,0.8,0.7,0.047641107470652276
96,0.8,0.8,0.03868937326471108
97,0.8,0.9,0.036941067457992666
98,0.8,0.99,0.03292628463724168
99,0.9,0.01,0.0015335783262804402
100,0.9,0.1,1.3250404467087518
101,0.9,0.2,0.17528166300683146
102,0.9,0.3,0.10199089009296841
103,0.9,0.4,0.08936306907464552
104,0.9,0.5,0.06934695101794655
105,0.9,0.6,0.0728451884709959
106,0.9,0.7,0.0626310395968516
107,0.9,0.8,0.059961289677362195
108,0.9,0.9,0.05354107590701176
109,0.9,0.99,0.05980576571801975
110,0.99,0.01,0.26692538198717664
111,0.99,0.1,0.38054933189987383
112,0.99,0.2,0.33605734630719414
113,0.99,0.3,0.35444308133003116
114,0.99,0.4,0.34853227049819613
115,0.99,0.5,0.35121412050879053
116,0.99,0.6,0.3338525131497791
117,0.99,0.7,0.3075429645578865
118,0.99,0.8,0.35201871746067365
119,0.99,0.9,0.3371520228163355
120,0.99,0.99,0.3316721211616138
