,P,cost,value
0,0.01,0.01,9.999999984710334
1,0.01,0.1,9.999999985527362
2,0.01,0.2,9.999999993802092
3,0.01,0.3,9.99999998962389
4,0.01,0.4,9.999999928397438
5,0.01,0.5,9.999999823137248
6,0.01,0.6,9.999999429199999
7,0.01,0.7,9.999996696444914
8,0.01,0.8,9.999989234735425
9,0.01,0.9,9.99953998509571
10,0.01,0.99,9.029766469001764
11,0.1,0.01,9.999996548426985
12,0.1,0.1,9.99999774443472
13,0.1,0.2,9.999996820070836
14,0.1,0.3,9.99999741828439
15,0.1,0.4,9.999996054649852
16,0.1,0.5,9.999986701494613
17,0.1,0.6,9.999948198498412
18,0.1,0.7,9.999300615500461
19,0.1,0.8,9.956836390474473
20,0.1,0.9,6.029107140036123
21,0.1,0.99,-2.6868871458832704
22,0.2,0.01,9.999938344016995
23,0.2,0.1,9.999957969302763
24,0.2,0.2,9.999957203504588
25,0.2,0.3,9.99997607018902
26,0.2,0.4,9.999970372564146
27,0.2,0.5,9.999861528285305
28,0.2,0.6,9.99847492001296
29,0.2,0.7,9.91483428868046
30,0.2,0.8,5.43140832781948
31,0.2,0.9,-2.297952226680995
32,0.2,0.99,-2.609693638908375
33,0.3,0.01,9.998975178974117
34,0.3,0.1,9.999343846212582
35,0.3,0.2,9.999768942205215
36,0.3,0.3,9.999729043682255
37,0.3,0.4,9.999753696858093
38,0.3,0.5,9.997367865219964
39,0.3,0.6,9.926035544237653
40,0.3,0.7,6.471974863132688
41,0.3,0.8,1.1295475911686368
42,0.3,0.9,1.2508828919033912
43,0.3,0.99,0.922181013757975
44,0.4,0.01,9.981256077868167
45,0.4,0.1,9.990489676143952
46,0.4,0.2,9.995501006646816
47,0.4,0.3,9.996383145752375
48,0.4,0.4,9.995446071594339
49,0.4,0.5,9.953142863727377
50,0.4,0.6,8.164500459324964
51,0.4,0.7,5.9467022675574395
52,0.4,0.8,7.346431726128015
53,0.4,0.9,8.025909283451004
54,0.4,0.99,6.745841646293974
55,0.5,0.01,9.664953376707736
56,0.5,0.1,9.847120074304609
57,0.5,0.2,9.881662602333908
58,0.5,0.3,9.834638285813476
59,0.5,0.4,9.691511077909439
60,0.5,0.5,9.656783282921216
61,0.5,0.6,9.640298288988232
62,0.5,0.7,9.825648493252327
63,0.5,0.8,9.864362139417402
64,0.5,0.9,9.833429984365024
65,0.5,0.99,9.681392495857436
66,0.6,0.01,6.984213745580097
67,0.6,0.1,7.906286515362697
68,0.6,0.2,7.370297312903401
69,0.6,0.3,6.31877801017231
70,0.6,0.4,8.45032142061435
71,0.6,0.5,9.91210574994385
72,0.6,0.6,9.990298846623261
73,0.6,0.7,9.993870452112619
74,0.6,0.8,9.994312298854434
75,0.6,0.9,9.989807450624797
76,0.6,0.99,9.97701660149109
77,0.7,0.01,1.0921897762053867
78,0.7,0.1,1.0787580840327218
79,0.7,0.2,0.6679281646769901
80,0.7,0.3,6.152333754975707
81,0.7,0.4,9.895963816981862
82,0.7,0.5,9.994362314783793
83,0.7,0.6,9.998778418084832
84,0.7,0.7,9.999161853294275
85,0.7,0.8,9.999139697743072
86,0.7,0.9,9.998917695753146
87,0.7,0.99,9.998211553799571
88,0.8,0.01,-2.7024140345992667
89,0.8,0.1,-2.263329070925299
90,0.8,0.2,5.187276725491593
91,0.8,0.3,9.88470759912669
92,0.8,0.4,9.993615247953716
93,0.8,0.5,9.999088077098442
94,0.8,0.6,9.999559900674303
95,0.8,0.7,9.999753255151859
96,0.8,0.8,9.999811624611777
97,0.8,0.9,9.999863234515981
98,0.8,0.99,9.999809150795523
99,0.9,0.01,-3.2359957033909055
100,0.9,0.1,5.478664431847361
101,0.9,0.2,9.947591614805408
102,0.9,0.3,9.997793990245212
103,0.9,0.4,9.999399624597391
104,0.9,0.5,9.999690640589654
105,0.9,0.6,9.999825380159916
106,0.9,0.7,9.999896118101448
107,0.9,0.8,9.99993966339835
108,0.9,0.9,9.999946800217971
109,0.9,0.99,9.999962989305228
110,0.99,0.01,8.588087867230346
111,0.99,0.1,9.995336676963152
112,0.99,0.2,9.999183335197039
113,0.99,0.3,9.99967048301462
114,0.99,0.4,9.999808213838474
115,0.99,0.5,9.999865923182
116,0.99,0.6,9.999901925850615
117,0.99,0.7,9.999939239854498
118,0.99,0.8,9.999964558641413
119,0.99,0.9,9.999980975186402
120,0.99,0.99,9.99998573124937
