,P,cost,value
0,0.01,0.01,-4.541764296473023
1,0.01,0.1,-4.567548436754649
2,0.01,0.2,-4.35670332082579
3,0.01,0.3,-4.452173660869467
4,0.01,0.4,-4.094130568834905
5,0.01,0.5,-4.290868784454979
6,0.01,0.6,-4.26110867080074
7,0.01,0.7,-4.135019858795668
8,0.01,0.8,-3.566927670195011
9,0.01,0.9,-0.9869459547292546
10,0.01,0.99,8.202585514394404
11,0.1,0.01,-9.722790307478217
12,0.1,0.1,-9.71094814787506
13,0.1,0.2,-9.700244268450675
14,0.1,0.3,-9.678900152813233
15,0.1,0.4,-9.662352738488236
16,0.1,0.5,-9.607359899189142
17,0.1,0.6,-9.533778996084623
18,0.1,0.7,-9.36532149491759
19,0.1,0.8,-8.403896271723658
20,0.1,0.9,1.8390042858461273
21,0.1,0.99,9.985542165457424
22,0.2,0.01,-9.808174653246983
23,0.2,0.1,-9.802116241469792
24,0.2,0.2,-9.788698243017333
25,0.2,0.3,-9.769318847513738
26,0.2,0.4,-9.727485261438357
27,0.2,0.5,-9.67331140435833
28,0.2,0.6,-9.446161187225734
29,0.2,0.7,-8.417602805747448
30,0.2,0.8,1.2969423141921552
31,0.2,0.9,9.948421817528086
32,0.2,0.99,9.90176990307662
33,0.3,0.01,-9.825458120857162
34,0.3,0.1,-9.815527406611661
35,0.3,0.2,-9.784547600393381
36,0.3,0.3,-9.754852535833242
37,0.3,0.4,-9.674179663436203
38,0.3,0.5,-9.414337387544007
39,0.3,0.6,-8.119372666219364
40,0.3,0.7,0.6641030441185953
41,0.3,0.8,9.854767510538943
42,0.3,0.9,9.855817434514073
43,0.3,0.99,9.755579975480696
44,0.4,0.01,-9.814908820131388
45,0.4,0.1,-9.808294519876606
46,0.4,0.2,-9.75892686733295
47,0.4,0.3,-9.655196242167705
48,0.4,0.4,-9.428217830731224
49,0.4,0.5,-8.005487876529202
50,0.4,0.6,1.2537475465635484
51,0.4,0.7,9.722230373229518
52,0.4,0.8,9.8188985478419
53,0.4,0.9,9.721914784694615
54,0.4,0.99,9.61185922065328
55,0.5,0.01,-9.807212380265211
56,0.5,0.1,-9.773807376965769
57,0.5,0.2,-9.692880793136414
58,0.5,0.3,-9.452419155033596
59,0.5,0.4,-8.153044356824763
60,0.5,0.5,0.7432524195213297
61,0.5,0.6,9.708773091845732
62,0.5,0.7,9.84621221395778
63,0.5,0.8,9.72579105570383
64,0.5,0.9,9.642774078028184
65,0.5,0.99,9.508946713408653
66,0.6,0.01,-9.788936335178292
67,0.6,0.1,-9.73095736305298
68,0.6,0.2,-9.489671595092874
69,0.6,0.3,-8.14022327405951
70,0.6,0.4,1.123184803763741
71,0.6,0.5,9.74122305569727
72,0.6,0.6,9.891003997230603
73,0.6,0.7,9.78310697621613
74,0.6,0.8,9.645953725769417
75,0.6,0.9,9.592794441489733
76,0.6,0.99,9.487877032328822
77,0.7,0.01,-9.763287272237077
78,0.7,0.1,-9.622844344829481
79,0.7,0.2,-8.620699374388849
80,0.7,0.3,0.6674785936844307
81,0.7,0.4,9.791100128780894
82,0.7,0.5,9.910229180154781
83,0.7,0.6,9.821623394890317
84,0.7,0.7,9.713160209253576
85,0.7,0.8,9.723624892448516
86,0.7,0.9,9.658395566603598
87,0.7,0.99,9.619338011872422
88,0.8,0.01,-9.667649931291146
89,0.8,0.1,-9.050701352696825
90,0.8,0.2,0.6225346539914955
91,0.8,0.3,9.841439575466516
92,0.8,0.4,9.945407201525777
93,0.8,0.5,9.906872172699
94,0.8,0.6,9.862626793449161
95,0.8,0.7,9.865442244222308
96,0.8,0.8,9.838345628582314
97,0.8,0.9,9.830521032457572
98,0.8,0.99,9.79315075914807
99,0.9,0.01,-9.424120688948499
100,0.9,0.1,0.6420120066455249
101,0.9,0.2,9.954823054651857
102,0.9,0.3,9.982469368544354
103,0.9,0.4,9.97364443179075
104,0.9,0.5,9.966527809449072
105,0.9,0.6,9.958070494090425
106,0.9,0.7,9.961045347027866
107,0.9,0.8,9.958663148622929
108,0.9,0.9,9.957686368021008
109,0.9,0.99,9.960957882046587
110,0.99,0.01,1.2826259897171455
111,0.99,0.1,9.995232035613688
112,0.99,0.2,9.998015731584925
113,0.99,0.3,9.998242243251287
114,0.99,0.4,9.998201804027975
115,0.99,0.5,9.998280531860445
116,0.99,0.6,9.998577617870886
117,0.99,0.7,9.998550519631856
118,0.99,0.8,9.998252691205723
119,0.99,0.9,9.99831481090411
120,0.99,0.99,9.998544288619598
