,P,cost,value
0,0.01,0.01,9.999999590868073
1,0.01,0.1,9.999999626445227
2,0.01,0.2,9.999999648940161
3,0.01,0.3,9.99999977312565
4,0.01,0.4,9.999999766107809
5,0.01,0.5,9.999999498032523
6,0.01,0.6,9.999999235999383
7,0.01,0.7,9.999995517799448
8,0.01,0.8,9.999936047418071
9,0.01,0.9,9.997485892002054
10,0.01,0.99,1.7977384378011436
11,0.1,0.01,9.999958555251938
12,0.1,0.1,9.999961428274448
13,0.1,0.2,9.999969345302791
14,0.1,0.3,9.99997412779508
15,0.1,0.4,9.999974203265067
16,0.1,0.5,9.999959990195734
17,0.1,0.6,9.999805976931595
18,0.1,0.7,9.99733942072697
19,0.1,0.8,9.904080545536797
20,0.1,0.9,-1.1269363345354928
21,0.1,0.99,-9.478528255245575
22,0.2,0.01,9.9991248237916
23,0.2,0.1,9.999164486707512
24,0.2,0.2,9.999247766476785
25,0.2,0.3,9.999339781495706
26,0.2,0.4,9.999282808691841
27,0.2,0.5,9.998606431348607
28,0.2,0.6,9.989754401611698
29,0.2,0.7,9.632785565031243
30,0.2,0.8,-0.7338539252138285
31,0.2,0.9,-8.705680463141793
32,0.2,0.99,-8.831428240119752
33,0.3,0.01,9.987536928363733
34,0.3,0.1,9.98783588370194
35,0.3,0.2,9.9884082027489
36,0.3,0.3,9.988455119550563
37,0.3,0.4,9.986218873428097
38,0.3,0.5,9.967133958472608
39,0.3,0.6,9.375514584601222
40,0.3,0.7,-0.3507747569087946
41,0.3,0.8,-7.321199587659235
42,0.3,0.9,-7.0852948145468915
43,0.3,0.99,-6.961461424150111
44,0.4,0.01,9.846904661971895
45,0.4,0.1,9.851734652851354
46,0.4,0.2,9.853821714772725
47,0.4,0.3,9.851700123229282
48,0.4,0.4,9.819551805723236
49,0.4,0.5,9.092334888320906
50,0.4,0.6,-0.9561144946054012
51,0.4,0.7,-4.466526550126159
52,0.4,0.8,-2.825265313816183
53,0.4,0.9,-2.3967208922771355
54,0.4,0.99,-2.418052093231579
55,0.5,0.01,6.317383741130293
56,0.5,0.1,6.132707811359954
57,0.5,0.2,5.903738364172092
58,0.5,0.3,5.961123268054259
59,0.5,0.4,3.9649524061221246
60,0.5,0.5,-1.167816835136359
61,0.5,0.6,3.193435214326494
62,0.5,0.7,5.642649322027244
63,0.5,0.8,6.072624713766648
64,0.5,0.9,6.022561699974394
65,0.5,0.99,6.205073375794865
66,0.6,0.01,-2.4488529975245585
67,0.6,0.1,-2.4917831540380515
68,0.6,0.2,-2.781319627808851
69,0.6,0.3,-4.298528125768605
70,0.6,0.4,-1.1782441592633623
71,0.6,0.5,8.95836216867142
72,0.6,0.6,9.792014341701789
73,0.6,0.7,9.841102428875185
74,0.6,0.8,9.848285796651231
75,0.6,0.9,9.845632546543591
76,0.6,0.99,9.843130748086303
77,0.7,0.01,-7.030269836845084
78,0.7,0.1,-7.051248810031115
79,0.7,0.2,-7.3443060012453945
80,0.7,0.3,-1.1561269942978634
81,0.7,0.4,9.369864281098604
82,0.7,0.5,9.956971285624633
83,0.7,0.6,9.982426801532828
84,0.7,0.7,9.98525496937851
85,0.7,0.8,9.986117071027081
86,0.7,0.9,9.986461090304665
87,0.7,0.99,9.98620827605177
88,0.8,0.01,-8.889046875743748
89,0.8,0.1,-8.8102718988037
90,0.8,0.2,-1.118566430377527
91,0.8,0.3,9.572691658566253
92,0.8,0.4,9.982937358157821
93,0.8,0.5,9.997083464035976
94,0.8,0.6,9.998201463518829
95,0.8,0.7,9.998636919885032
96,0.8,0.8,9.998816212574992
97,0.8,0.9,9.998815151657931
98,0.8,0.99,9.998832791023453
99,0.9,0.01,-9.512123102458558
100,0.9,0.1,-1.8296802993116543
101,0.9,0.2,9.840525671182569
102,0.9,0.3,9.994615417768077
103,0.9,0.4,9.998964081914083
104,0.9,0.5,9.99952122701034
105,0.9,0.6,9.999703041141327
106,0.9,0.7,9.999791222032421
107,0.9,0.8,9.999850698165632
108,0.9,0.9,9.999872147546013
109,0.9,0.99,9.999888901342125
110,0.99,0.01,-1.0359463922016168
111,0.99,0.1,9.988320624711411
112,0.99,0.2,9.999121081096252
113,0.99,0.3,9.999607081071257
114,0.99,0.4,9.99980434689659
115,0.99,0.5,9.99986489101077
116,0.99,0.6,9.999908349797739
117,0.99,0.7,9.999937149544348
118,0.99,0.8,9.999963990447407
119,0.99,0.9,9.999974762607266
120,0.99,0.99,9.999983527489517
