,P,cost,value
0,0.01,0.01,9.999999993536656
1,0.01,0.1,9.999999996707698
2,0.01,0.2,9.999999996785697
3,0.01,0.3,9.9999999790673
4,0.01,0.4,9.999999958939805
5,0.01,0.5,9.999999780816882
6,0.01,0.6,9.99999390426552
7,0.01,0.7,9.999964879046647
8,0.01,0.8,9.999963015873357
9,0.01,0.9,9.999729178093684
10,0.01,0.99,9.829599746352105
11,0.1,0.01,9.999999868471829
12,0.1,0.1,9.999999911768967
13,0.1,0.2,9.999999730108664
14,0.1,0.3,9.999998719007614
15,0.1,0.4,9.999996116983228
16,0.1,0.5,9.999985447399144
17,0.1,0.6,9.999938419609888
18,0.1,0.7,9.999474592860802
19,0.1,0.8,9.994627780381794
20,0.1,0.9,9.563997106545646
21,0.1,0.99,9.998726132579987
22,0.2,0.01,9.999999745076739
23,0.2,0.1,9.999999666737207
24,0.2,0.2,9.999998883227615
25,0.2,0.3,9.99999281151079
26,0.2,0.4,9.999973795747891
27,0.2,0.5,9.999840497605078
28,0.2,0.6,9.998774638524882
29,0.2,0.7,9.965320167931639
30,0.2,0.8,9.028865627023812
31,0.2,0.9,9.972730140689738
32,0.2,0.99,9.99961362372492
33,0.3,0.01,9.999999455582845
34,0.3,0.1,9.99999911664654
35,0.3,0.2,9.999992985437116
36,0.3,0.3,9.999962751887576
37,0.3,0.4,9.999668770675763
38,0.3,0.5,9.997371037749048
39,0.3,0.6,9.888306654265493
40,0.3,0.7,7.9859832960736465
41,0.3,0.8,9.766590467289497
42,0.3,0.9,9.998251043151878
43,0.3,0.99,9.999781470963784
44,0.4,0.01,9.999998643618431
45,0.4,0.1,9.999997480364275
46,0.4,0.2,9.999976364035257
47,0.4,0.3,9.99982421349748
48,0.4,0.4,9.996887730011366
49,0.4,0.5,9.857424020534745
50,0.4,0.6,6.442193280363661
51,0.4,0.7,7.495169329775962
52,0.4,0.8,9.98770995509649
53,0.4,0.9,9.999564407191912
54,0.4,0.99,9.999856905706924
55,0.5,0.01,9.999997783680772
56,0.5,0.1,9.999989357363646
57,0.5,0.2,9.999876594337657
58,0.5,0.3,9.997388310977868
59,0.5,0.4,9.815485168784086
60,0.5,0.5,5.494476334845931
61,0.5,0.6,3.9215014307786333
62,0.5,0.7,9.79152888446334
63,0.5,0.8,9.99849207957169
64,0.5,0.9,9.99978644765877
65,0.5,0.99,9.999909345759377
66,0.6,0.01,9.999995459242035
67,0.6,0.1,9.999961053506519
68,0.6,0.2,9.998405094782045
69,0.6,0.3,9.89667645800984
70,0.6,0.4,5.231340399612268
71,0.6,0.5,2.4506944939610853
72,0.6,0.6,8.814243589398876
73,0.6,0.7,9.983048214577462
74,0.6,0.8,9.999569409666547
75,0.6,0.9,9.999887926093177
76,0.6,0.99,9.999934955253039
77,0.7,0.01,9.999990787925448
78,0.7,0.1,9.999756896496349
79,0.7,0.2,9.93320165697045
80,0.7,0.3,5.311574263177069
81,0.7,0.4,1.862151417165976
82,0.7,0.5,8.440928791568577
83,0.7,0.6,9.925424899861394
84,0.7,0.7,9.997682096472762
85,0.7,0.8,9.999804619858224
86,0.7,0.9,9.999923714392748
87,0.7,0.99,9.999958328714408
88,0.8,0.01,9.999960797992397
89,0.8,0.1,9.991514296632344
90,0.8,0.2,5.3525374828668335
91,0.8,0.3,1.6604655487173607
92,0.8,0.4,8.814384830934925
93,0.8,0.5,9.91755887219913
94,0.8,0.6,9.993298759802089
95,0.8,0.7,9.999402080769821
96,0.8,0.8,9.99990467790498
97,0.8,0.9,9.999948481899095
98,0.8,0.99,9.99996937566204
99,0.9,0.01,9.99968818795896
100,0.9,0.1,6.976141288435073
101,0.9,0.2,4.151626139416621
102,0.9,0.3,9.23919355022102
103,0.9,0.4,9.975960462822455
104,0.9,0.5,9.995998173777762
105,0.9,0.6,9.99894767716784
106,0.9,0.7,9.999770910822377
107,0.9,0.8,9.999938786582788
108,0.9,0.9,9.99996628566425
109,0.9,0.99,9.999978538848511
110,0.99,0.01,9.978534578530933
111,0.99,0.1,9.372277747926997
112,0.99,0.2,9.925849635014
113,0.99,0.3,9.992220864477948
114,0.99,0.4,9.999102933744538
115,0.99,0.5,9.999651408487466
116,0.99,0.6,9.999854643212222
117,0.99,0.7,9.999924551071475
118,0.99,0.8,9.999967632089085
119,0.99,0.9,9.999979373320217
120,0.99,0.99,9.999987488700414
