,P,cost,value
0,0.01,0.01,-2.386124724067694
1,0.01,0.1,-2.383403529911029
2,0.01,0.2,-2.340010819323451
3,0.01,0.3,-2.329966103240846
4,0.01,0.4,-2.325849746729119
5,0.01,0.5,-2.223911133709915
6,0.01,0.6,-2.245827692340722
7,0.01,0.7,-1.8706695738766352
8,0.01,0.8,-1.3550635026241196
9,0.01,0.9,-0.3136867759119671
10,0.01,0.99,8.411016942354955
11,0.1,0.01,-8.682215179871408
12,0.1,0.1,-8.594259415221096
13,0.1,0.2,-8.621968972962973
14,0.1,0.3,-8.54816558985577
15,0.1,0.4,-8.43452133435007
16,0.1,0.5,-8.290785652519773
17,0.1,0.6,-8.024351664305392
18,0.1,0.7,-7.4595972188259685
19,0.1,0.8,-5.5547110085792015
20,0.1,0.9,3.9538121275591003
21,0.1,0.99,9.909789207006984
22,0.2,0.01,-9.507285118886388
23,0.2,0.1,-9.484966936266243
24,0.2,0.2,-9.478393990822521
25,0.2,0.3,-9.422733504730441
26,0.2,0.4,-9.28134573141633
27,0.2,0.5,-9.113310800390721
28,0.2,0.6,-8.649912475372258
29,0.2,0.7,-6.918431274285228
30,0.2,0.8,1.114602487943122
31,0.2,0.9,9.951765452441755
32,0.2,0.99,9.991578586191403
33,0.3,0.01,-9.74489458280522
34,0.3,0.1,-9.717361969790803
35,0.3,0.2,-9.697249333578723
36,0.3,0.3,-9.625282523991384
37,0.3,0.4,-9.50890874149745
38,0.3,0.5,-9.065437271167005
39,0.3,0.6,-7.452027602074821
40,0.3,0.7,-0.26844783561152097
41,0.3,0.8,9.759276061435697
42,0.3,0.9,9.996589755270552
43,0.3,0.99,9.99853480750617
44,0.4,0.01,-9.836952895863186
45,0.4,0.1,-9.821334780393103
46,0.4,0.2,-9.780578012226968
47,0.4,0.3,-9.666160854290935
48,0.4,0.4,-9.363238467483635
49,0.4,0.5,-8.094063388794975
50,0.4,0.6,-0.8639663809060244
51,0.4,0.7,9.481217427152917
52,0.4,0.8,9.992296658042116
53,0.4,0.9,9.999337670168373
54,0.4,0.99,9.999539313980621
55,0.5,0.01,-9.88020767233129
56,0.5,0.1,-9.850946542436192
57,0.5,0.2,-9.77656138421413
58,0.5,0.3,-9.54668770163157
59,0.5,0.4,-8.274103998183204
60,0.5,0.5,-1.1286438999300756
61,0.5,0.6,9.105961901826362
62,0.5,0.7,9.978408882275865
63,0.5,0.8,9.998864587175682
64,0.5,0.9,9.99970717291449
65,0.5,0.99,9.999815283996051
66,0.6,0.01,-9.898364603461955
67,0.6,0.1,-9.86005252655218
68,0.6,0.2,-9.676999921268802
69,0.6,0.3,-8.789682249014955
70,0.6,0.4,-1.4932725068574322
71,0.6,0.5,9.143055722981801
72,0.6,0.6,9.970014942364593
73,0.6,0.7,9.998094624333117
74,0.6,0.8,9.999586764384622
75,0.6,0.9,9.999862319368555
76,0.6,0.99,9.999897711830544
77,0.7,0.01,-9.888820122831275
78,0.7,0.1,-9.780339145458383
79,0.7,0.2,-8.985284250350155
80,0.7,0.3,-1.8749681141572527
81,0.7,0.4,9.19393865704636
82,0.7,0.5,9.96982621576118
83,0.7,0.6,9.99740503461723
84,0.7,0.7,9.99935675931844
85,0.7,0.8,9.999821148275123
86,0.7,0.9,9.99991474678267
87,0.7,0.99,9.999945306867502
88,0.8,0.01,-9.867552622314381
89,0.8,0.1,-9.382869080257182
90,0.8,0.2,-1.8679922372718827
91,0.8,0.3,9.420418373066767
92,0.8,0.4,9.974548668338835
93,0.8,0.5,9.997905821326
94,0.8,0.6,9.999260587542825
95,0.8,0.7,9.999772405472276
96,0.8,0.8,9.999908536672589
97,0.8,0.9,9.999944408649595
98,0.8,0.99,9.999964060804935
99,0.9,0.01,-9.67867670868052
100,0.9,0.1,-2.257346079927482
101,0.9,0.2,9.785243577585849
102,0.9,0.3,9.992160838728756
103,0.9,0.4,9.998608680596435
104,0.9,0.5,9.999520263752832
105,0.9,0.6,9.99977798863363
106,0.9,0.7,9.99988375846564
107,0.9,0.8,9.999938875498591
108,0.9,0.9,9.999965145023204
109,0.9,0.99,9.999977152780739
110,0.99,0.01,-1.2088703291636302
111,0.99,0.1,9.986087200351994
112,0.99,0.2,9.999024276127745
113,0.99,0.3,9.999585387105467
114,0.99,0.4,9.99979836391881
115,0.99,0.5,9.999865974803374
116,0.99,0.6,9.999912380422979
117,0.99,0.7,9.999941528481088
118,0.99,0.8,9.99996755657586
119,0.99,0.9,9.999979335960965
120,0.99,0.99,9.999987427534059
