,P,cost,value
0,0.01,0.01,4.863172502863538
1,0.01,0.1,4.855491582239791
2,0.01,0.2,4.855227330054329
3,0.01,0.3,4.865968862187499
4,0.01,0.4,4.844787145671323
5,0.01,0.5,4.863301341751513
6,0.01,0.6,4.855328646989257
7,0.01,0.7,4.861755426186328
8,0.01,0.8,4.76549672396637
9,0.01,0.9,4.518096116392444
10,0.01,0.99,7.823887049330517
11,0.1,0.01,5.455959162716067
12,0.1,0.1,5.447610496806034
13,0.1,0.2,5.469101360302489
14,0.1,0.3,5.473452541494867
15,0.1,0.4,5.495632282490836
16,0.1,0.5,5.45369652040838
17,0.1,0.6,5.373624859984901
18,0.1,0.7,5.150179707471309
19,0.1,0.8,3.841110056670844
20,0.1,0.9,0.9834813592929377
21,0.1,0.99,8.022755796134277
22,0.2,0.01,5.712568296269659
23,0.2,0.1,5.683557572321671
24,0.2,0.2,5.709269454615665
25,0.2,0.3,5.697445812027917
26,0.2,0.4,5.630822170552792
27,0.2,0.5,5.5647644538323515
28,0.2,0.6,5.102906174483395
29,0.2,0.7,3.2252925253523914
30,0.2,0.8,-0.7423074345876044
31,0.2,0.9,6.421692183611175
32,0.2,0.99,7.145348612010989
33,0.3,0.01,5.951174646407345
34,0.3,0.1,5.9508557965924025
35,0.3,0.2,5.911276358811652
36,0.3,0.3,5.928649338851567
37,0.3,0.4,5.767461101446574
38,0.3,0.5,5.301831477720568
39,0.3,0.6,3.0894237114873895
40,0.3,0.7,-1.3602485799205217
41,0.3,0.8,4.99281607768477
42,0.3,0.9,6.6121863375478585
43,0.3,0.99,6.71100340517084
44,0.4,0.01,6.118886103458524
45,0.4,0.1,6.131153500152119
46,0.4,0.2,6.121747577314763
47,0.4,0.3,5.951217713783771
48,0.4,0.4,5.48953484020696
49,0.4,0.5,3.285417120313159
50,0.4,0.6,-1.5095542581803927
51,0.4,0.7,3.951930020272865
52,0.4,0.8,6.0323095911375475
53,0.4,0.9,6.433320650438402
54,0.4,0.99,6.501486239486875
55,0.5,0.01,6.224371457966563
56,0.5,0.1,6.298116731432966
57,0.5,0.2,6.193667706228478
58,0.5,0.3,5.871271249204688
59,0.5,0.4,3.994534112446339
60,0.5,0.5,-1.5629082660654847
61,0.5,0.6,3.353056627633732
62,0.5,0.7,5.600276247810312
63,0.5,0.8,6.067517458195986
64,0.5,0.9,6.278775633340868
65,0.5,0.99,6.278592928645445
66,0.6,0.01,6.424727546011287
67,0.6,0.1,6.503862164869703
68,0.6,0.2,6.206863979297157
69,0.6,0.3,4.0784489169551295
70,0.6,0.4,-1.6078379073863207
71,0.6,0.5,3.1977822336349178
72,0.6,0.6,5.3175310476969155
73,0.6,0.7,5.8811010592830755
74,0.6,0.8,6.082902255770753
75,0.6,0.9,6.173889820830018
76,0.6,0.99,6.0733230610562146
77,0.7,0.01,6.7300090455228005
78,0.7,0.1,6.686951236008122
79,0.7,0.2,5.06609299516748
80,0.7,0.3,-1.6643294693501343
81,0.7,0.4,2.996471017024904
82,0.7,0.5,5.159343581145169
83,0.7,0.6,5.6635842725445364
84,0.7,0.7,5.766336450101197
85,0.7,0.8,5.929890560472513
86,0.7,0.9,5.937486445431741
87,0.7,0.99,5.9767733231965785
88,0.8,0.01,7.229773154373644
89,0.8,0.1,6.598438780541841
90,0.8,0.2,-0.570932198553314
91,0.8,0.3,2.8827236874887268
92,0.8,0.4,4.923703744704091
93,0.8,0.5,5.443659469602084
94,0.8,0.6,5.577268257487972
95,0.8,0.7,5.605606778489305
96,0.8,0.8,5.680728328502501
97,0.8,0.9,5.705571752086705
98,0.8,0.99,5.658972621458785
99,0.9,0.01,8.023958788780183
100,0.9,0.1,0.9495992753926586
101,0.9,0.2,3.3631777056110836
102,0.9,0.3,4.931486532571187
103,0.9,0.4,5.279428990664437
104,0.9,0.5,5.371514959645224
105,0.9,0.6,5.4201039792001415
106,0.9,0.7,5.446426088669521
107,0.9,0.8,5.426447639645811
108,0.9,0.9,5.469075786327514
109,0.9,0.99,5.47367952069825
110,0.99,0.01,9.229984660699639
111,0.99,0.1,3.9938909042546253
112,0.99,0.2,4.343047054556644
113,0.99,0.3,4.544514056860288
114,0.99,0.4,4.6443283449727515
115,0.99,0.5,4.654478145593536
116,0.99,0.6,4.696791971891395
117,0.99,0.7,4.840808417758435
118,0.99,0.8,4.843558535952369
119,0.99,0.9,4.838002893307969
120,0.99,0.99,4.831253926749575
