,P,cost,value
0,0.01,0.01,9.999999992055853
1,0.01,0.1,9.999999994658712
2,0.01,0.2,9.999999995954841
3,0.01,0.3,9.999999950503117
4,0.01,0.4,9.999999883952928
5,0.01,0.5,9.999999557468563
6,0.01,0.6,9.99999918472579
7,0.01,0.7,9.999995882189953
8,0.01,0.8,9.999983458795846
9,0.01,0.9,9.999696936285842
10,0.01,0.99,9.791598411088142
11,0.1,0.01,9.999999882344536
12,0.1,0.1,9.999999930179204
13,0.1,0.2,9.99999969932912
14,0.1,0.3,9.99999857026271
15,0.1,0.4,9.99999510226885
16,0.1,0.5,9.999979978039692
17,0.1,0.6,9.999864372859605
18,0.1,0.7,9.999172677821285
19,0.1,0.8,9.973185673975266
20,0.1,0.9,7.8731463743770655
21,0.1,0.99,9.999102993897859
22,0.2,0.01,9.999999532894206
23,0.2,0.1,9.999999656898774
24,0.2,0.2,9.999997942481967
25,0.2,0.3,9.99999145715385
26,0.2,0.4,9.999947380964084
27,0.2,0.5,9.99984125338055
28,0.2,0.6,9.995672447037297
29,0.2,0.7,9.831160115526153
30,0.2,0.8,5.739587728132696
31,0.2,0.9,9.91186556488126
32,0.2,0.99,9.999595794377585
33,0.3,0.01,9.999999410813178
34,0.3,0.1,9.999998914237983
35,0.3,0.2,9.999993772645329
36,0.3,0.3,9.99996688322152
37,0.3,0.4,9.999741988811369
38,0.3,0.5,9.996065717222383
39,0.3,0.6,9.749197775180814
40,0.3,0.7,4.5806911494097875
41,0.3,0.8,8.287947165391673
42,0.3,0.9,9.998195168423473
43,0.3,0.99,9.999760636096385
44,0.4,0.01,9.99999892387068
45,0.4,0.1,9.999997664185859
46,0.4,0.2,9.999961689602033
47,0.4,0.3,9.999693525872416
48,0.4,0.4,9.996012370489161
49,0.4,0.5,9.801525614585824
50,0.4,0.6,4.092488745229268
51,0.4,0.7,3.143533397822477
52,0.4,0.8,9.976227829948236
53,0.4,0.9,9.999535459920953
54,0.4,0.99,9.999864443340165
55,0.5,0.01,9.999997829044611
56,0.5,0.1,9.999989662571139
57,0.5,0.2,9.999850896901908
58,0.5,0.3,9.996654823846274
59,0.5,0.4,9.849990436937297
60,0.5,0.5,5.712629176485069
61,0.5,0.6,3.8807716299028776
62,0.5,0.7,9.735231611048551
63,0.5,0.8,9.998146683582709
64,0.5,0.9,9.999795254024734
65,0.5,0.99,9.999909501659447
66,0.6,0.01,9.999995829049396
67,0.6,0.1,9.999968816367456
68,0.6,0.2,9.999002014895703
69,0.6,0.3,9.885687133087945
70,0.6,0.4,6.285736909286534
71,0.6,0.5,6.264319527879882
72,0.6,0.6,9.802458104790631
73,0.6,0.7,9.994738891619056
74,0.6,0.8,9.999634789294307
75,0.6,0.9,9.999893280804274
76,0.6,0.99,9.999938014935147
77,0.7,0.01,9.999988717762978
78,0.7,0.1,9.99973440965215
79,0.7,0.2,9.964900029017036
80,0.7,0.3,7.458534338779512
81,0.7,0.4,8.390036971341809
82,0.7,0.5,9.939843202340672
83,0.7,0.6,9.995419155559198
84,0.7,0.7,9.99936170647205
85,0.7,0.8,9.999835350230107
86,0.7,0.9,9.999925257309695
87,0.7,0.99,9.999958304810386
88,0.8,0.01,9.999957220303298
89,0.8,0.1,9.995767931337989
90,0.8,0.2,8.862918135386504
91,0.8,0.3,9.623203702496543
92,0.8,0.4,9.982692504348986
93,0.8,0.5,9.998220366397717
94,0.8,0.6,9.999258993197227
95,0.8,0.7,9.99972917218
96,0.8,0.8,9.999896821928777
97,0.8,0.9,9.999953566425457
98,0.8,0.99,9.999964606772501
99,0.9,0.01,9.999250190639579
100,0.9,0.1,9.842039945909445
101,0.9,0.2,9.964195379580003
102,0.9,0.3,9.996520735457421
103,0.9,0.4,9.999119929114622
104,0.9,0.5,9.999646658228787
105,0.9,0.6,9.999785129443865
106,0.9,0.7,9.999876611748043
107,0.9,0.8,9.999944713425421
108,0.9,0.9,9.999968082735354
109,0.9,0.99,9.999976720069391
110,0.99,0.01,8.376638473584508
111,0.99,0.1,9.996022432760668
112,0.99,0.2,9.999249810853586
113,0.99,0.3,9.999676547307534
114,0.99,0.4,9.999784637173823
115,0.99,0.5,9.999869554025938
116,0.99,0.6,9.999906343607277
117,0.99,0.7,9.999936888477931
118,0.99,0.8,9.999967563509571
119,0.99,0.9,9.999978409235023
120,0.99,0.99,9.999985171151032
