,P,cost,value
0,0.01,0.01,9.999999788670866
1,0.01,0.1,9.999999887968743
2,0.01,0.2,9.999999719611761
3,0.01,0.3,9.999999923081157
4,0.01,0.4,9.999999883499012
5,0.01,0.5,9.999999789242752
6,0.01,0.6,9.99999956859394
7,0.01,0.7,9.999995126010038
8,0.01,0.8,9.999951067459262
9,0.01,0.9,9.997693868184584
10,0.01,0.99,2.208780250765226
11,0.1,0.01,9.999982743634273
12,0.1,0.1,9.999986418712105
13,0.1,0.2,9.999989320929949
14,0.1,0.3,9.999994200713834
15,0.1,0.4,9.999994265262082
16,0.1,0.5,9.999987578217413
17,0.1,0.6,9.999897149045589
18,0.1,0.7,9.9985843966859
19,0.1,0.8,9.901460048939692
20,0.1,0.9,-0.6729527238645612
21,0.1,0.99,-9.59929809286455
22,0.2,0.01,9.999624676649407
23,0.2,0.1,9.999734949981974
24,0.2,0.2,9.999820679593153
25,0.2,0.3,9.999872039285068
26,0.2,0.4,9.999944807525399
27,0.2,0.5,9.999897878757126
28,0.2,0.6,9.996365723479093
29,0.2,0.7,9.72986347258485
30,0.2,0.8,-0.31916629039655275
31,0.2,0.9,-9.042576138642671
32,0.2,0.99,-9.775559911091364
33,0.3,0.01,9.993172047376833
34,0.3,0.1,9.992589621489568
35,0.3,0.2,9.995525912813806
36,0.3,0.3,9.997068531120322
37,0.3,0.4,9.999011258681891
38,0.3,0.5,9.998537141394742
39,0.3,0.6,9.789335076024091
40,0.3,0.7,1.9158636523458037
41,0.3,0.8,-7.942870810971771
42,0.3,0.9,-9.437503990516747
43,0.3,0.99,-9.655242628632651
44,0.4,0.01,9.59805132172923
45,0.4,0.1,9.59160350736089
46,0.4,0.2,9.72784249511939
47,0.4,0.3,9.830384798912359
48,0.4,0.4,9.947816919508057
49,0.4,0.5,9.968940420786966
50,0.4,0.6,4.979351641097968
51,0.4,0.7,-4.595578300558125
52,0.4,0.8,-8.075440069691899
53,0.4,0.9,-8.66615154601684
54,0.4,0.99,-8.875950005174648
55,0.5,0.01,-1.294279124414846
56,0.5,0.1,-0.6991045215536948
57,0.5,0.2,0.3563844228343593
58,0.5,0.3,1.9775251909489264
59,0.5,0.4,6.0847336601320245
60,0.5,0.5,9.680007618665242
61,0.5,0.6,6.166293404156807
62,0.5,0.7,2.466718626282856
63,0.5,0.8,0.20258213605135797
64,0.5,0.9,-0.6304056190040288
65,0.5,0.99,-0.965848597048536
66,0.6,0.01,-8.963879514065951
67,0.6,0.1,-8.777386461724475
68,0.6,0.2,-7.890512056689122
69,0.6,0.3,-4.649527982594403
70,0.6,0.4,5.63070660559451
71,0.6,0.5,9.93724406436544
72,0.6,0.6,9.918652076163461
73,0.6,0.7,9.789652974695846
74,0.6,0.8,9.700697734401961
75,0.6,0.9,9.630988150865809
76,0.6,0.99,9.565201246495958
77,0.7,0.01,-9.697174732192096
78,0.7,0.1,-9.520248065509659
79,0.7,0.2,-8.277898899210086
80,0.7,0.3,1.1230584280031093
81,0.7,0.4,9.799855805083999
82,0.7,0.5,9.994616049809924
83,0.7,0.6,9.997527908739027
84,0.7,0.7,9.995484875450197
85,0.7,0.8,9.99319772060267
86,0.7,0.9,9.993111704873932
87,0.7,0.99,9.990388777774498
88,0.8,0.01,-9.757243052782451
89,0.8,0.1,-9.151372292559737
90,0.8,0.2,-0.42793022463678954
91,0.8,0.3,9.692978307841893
92,0.8,0.4,9.991673738693962
93,0.8,0.5,9.99894937184554
94,0.8,0.6,9.99947169648849
95,0.8,0.7,9.999477548698582
96,0.8,0.8,9.999526294713792
97,0.8,0.9,9.99956187399051
98,0.8,0.99,9.999503131049917
99,0.9,0.01,-9.64213194083608
100,0.9,0.1,-1.4843089234805305
101,0.9,0.2,9.839886985164469
102,0.9,0.3,9.99359754940522
103,0.9,0.4,9.99918454545371
104,0.9,0.5,9.999687690224256
105,0.9,0.6,9.999814981381705
106,0.9,0.7,9.999853517457355
107,0.9,0.8,9.999915317019788
108,0.9,0.9,9.999924129679819
109,0.9,0.99,9.999932392933724
110,0.99,0.01,-0.7532434452732821
111,0.99,0.1,9.988180660152597
112,0.99,0.2,9.999079373130277
113,0.99,0.3,9.999654276161206
114,0.99,0.4,9.999782755079853
115,0.99,0.5,9.999869814829278
116,0.99,0.6,9.999908318824156
117,0.99,0.7,9.999936568971133
118,0.99,0.8,9.999966265269048
119,0.99,0.9,9.999976651044308
120,0.99,0.99,9.99998279220375
