,P,cost,value
0,0.01,0.01,9.999999519535331
1,0.01,0.1,9.999999656366022
2,0.01,0.2,9.99999965492997
3,0.01,0.3,9.999999695610343
4,0.01,0.4,9.99999971327928
5,0.01,0.5,9.999999521080799
6,0.01,0.6,9.999999497728
7,0.01,0.7,9.999994961208078
8,0.01,0.8,9.999961069704574
9,0.01,0.9,9.997992571364358
10,0.01,0.99,2.2380631379972655
11,0.1,0.01,9.999957971325568
12,0.1,0.1,9.999962991658236
13,0.1,0.2,9.999966942301404
14,0.1,0.3,9.999974879251884
15,0.1,0.4,9.999975006504718
16,0.1,0.5,9.999957484943272
17,0.1,0.6,9.999816819663591
18,0.1,0.7,9.998210297233376
19,0.1,0.8,9.894280984320767
20,0.1,0.9,-0.8403583114921799
21,0.1,0.99,-9.477197101097731
22,0.2,0.01,9.999113701160518
23,0.2,0.1,9.999182343588403
24,0.2,0.2,9.999263446266383
25,0.2,0.3,9.999308728385284
26,0.2,0.4,9.99923964878511
27,0.2,0.5,9.99885192924286
28,0.2,0.6,9.990509712524368
29,0.2,0.7,9.634662080627802
30,0.2,0.8,-1.031626960408758
31,0.2,0.9,-8.745271649588027
32,0.2,0.99,-8.84677349823415
33,0.3,0.01,9.987322496093428
34,0.3,0.1,9.987814501577448
35,0.3,0.2,9.9884503077539
36,0.3,0.3,9.988609252744173
37,0.3,0.4,9.98740478203607
38,0.3,0.5,9.97069338210617
39,0.3,0.6,9.446251241247614
40,0.3,0.7,-0.6116867225201541
41,0.3,0.8,-7.320221434823927
42,0.3,0.9,-7.008472346819148
43,0.3,0.99,-6.970083770383809
44,0.4,0.01,9.847381907131242
45,0.4,0.1,9.85175677584228
46,0.4,0.2,9.852095073130005
47,0.4,0.3,9.851903300177495
48,0.4,0.4,9.82071803725248
49,0.4,0.5,9.11294577963636
50,0.4,0.6,-1.412920288752251
51,0.4,0.7,-4.36188110959029
52,0.4,0.8,-2.85678873461433
53,0.4,0.9,-2.4154075154915273
54,0.4,0.99,-2.423633349941631
55,0.5,0.01,5.999884826961319
56,0.5,0.1,6.149921093486021
57,0.5,0.2,6.158209037074601
58,0.5,0.3,5.858150529175354
59,0.5,0.4,4.241810737327389
60,0.5,0.5,-0.8991697006974566
61,0.5,0.6,3.5588428889412986
62,0.5,0.7,5.683677104689946
63,0.5,0.8,5.943186393371817
64,0.5,0.9,6.239402614198497
65,0.5,0.99,6.125734397514769
66,0.6,0.01,-2.478703118748404
67,0.6,0.1,-2.453769939213004
68,0.6,0.2,-2.664162011351825
69,0.6,0.3,-4.327233765895685
70,0.6,0.4,-0.9771549773711337
71,0.6,0.5,9.011081034809926
72,0.6,0.6,9.794550220995834
73,0.6,0.7,9.839136699111709
74,0.6,0.8,9.848444541930906
75,0.6,0.9,9.847666544717905
76,0.6,0.99,9.845634200371947
77,0.7,0.01,-7.025806978954449
78,0.7,0.1,-7.02980894000254
79,0.7,0.2,-7.4510062622907025
80,0.7,0.3,-1.222329724724247
81,0.7,0.4,9.434221763401485
82,0.7,0.5,9.954854803926432
83,0.7,0.6,9.981842688644715
84,0.7,0.7,9.98573421518915
85,0.7,0.8,9.986552551920267
86,0.7,0.9,9.986659805419805
87,0.7,0.99,9.986485991710003
88,0.8,0.01,-8.86720426996247
89,0.8,0.1,-8.819770814550612
90,0.8,0.2,-1.1187063212498218
91,0.8,0.3,9.588070465897845
92,0.8,0.4,9.98238181795668
93,0.8,0.5,9.996778676633543
94,0.8,0.6,9.998233875874282
95,0.8,0.7,9.998606369052222
96,0.8,0.8,9.998782301551937
97,0.8,0.9,9.998844985732552
98,0.8,0.99,9.998784162600332
99,0.9,0.01,-9.524876685096192
100,0.9,0.1,-1.6456917736642571
101,0.9,0.2,9.830212844041455
102,0.9,0.3,9.992672969064984
103,0.9,0.4,9.998937574478026
104,0.9,0.5,9.99956334957565
105,0.9,0.6,9.999739404665426
106,0.9,0.7,9.999785575712206
107,0.9,0.8,9.99985872605357
108,0.9,0.9,9.999884430737694
109,0.9,0.99,9.999888910615093
110,0.99,0.01,-0.7384211606865223
111,0.99,0.1,9.989079709119139
112,0.99,0.2,9.999107510869173
113,0.99,0.3,9.999654183151153
114,0.99,0.4,9.999776728780356
115,0.99,0.5,9.999865370424292
116,0.99,0.6,9.999903188002424
117,0.99,0.7,9.999932710953154
118,0.99,0.8,9.999963162557894
119,0.99,0.9,9.99997464466308
120,0.99,0.99,9.999981392136348
