,P,cost,value
0,0.01,0.01,1.7437174604077406
1,0.01,0.1,1.6394616080418363
2,0.01,0.2,2.0281819339159304
3,0.01,0.3,1.6599286294971802
4,0.01,0.4,2.018355152842045
5,0.01,0.5,2.0418701892765685
6,0.01,0.6,1.838777196364568
7,0.01,0.7,1.9750258568030303
8,0.01,0.8,2.180532839769007
9,0.01,0.9,4.034674841761111
10,0.01,0.99,9.616642636828278
11,0.1,0.01,0.7419907782718572
12,0.1,0.1,1.0457941138135514
13,0.1,0.2,1.0663472523262685
14,0.1,0.3,1.2073566930095547
15,0.1,0.4,1.7284912358139208
16,0.1,0.5,1.6596759553637788
17,0.1,0.6,2.668286583177462
18,0.1,0.7,3.5911585649031337
19,0.1,0.8,6.080484419932592
20,0.1,0.9,9.367756822390376
21,0.1,0.99,4.45339776841588
22,0.2,0.01,1.161452645771563
23,0.2,0.1,0.8871908633208075
24,0.2,0.2,1.6186191289183025
25,0.2,0.3,1.5929309574845925
26,0.2,0.4,2.192628744139335
27,0.2,0.5,2.6216866695376067
28,0.2,0.6,3.8570027778786202
29,0.2,0.7,6.276595485043065
30,0.2,0.8,9.298495410291322
31,0.2,0.9,5.084016925526395
32,0.2,0.99,2.9226176870576075
33,0.3,0.01,0.7058794431935671
34,0.3,0.1,0.9615244083077233
35,0.3,0.2,1.375755596939938
36,0.3,0.3,2.2783768317759083
37,0.3,0.4,2.6626237515656115
38,0.3,0.5,4.234456768144469
39,0.3,0.6,6.86988554029655
40,0.3,0.7,9.302692085209179
41,0.3,0.8,5.788848458945961
42,0.3,0.9,3.3746153168556656
43,0.3,0.99,2.31888048710128
44,0.4,0.01,1.4427142114046712
45,0.4,0.1,1.755542240152689
46,0.4,0.2,2.1995241581767995
47,0.4,0.3,3.0136149945525204
48,0.4,0.4,4.288201434000383
49,0.4,0.5,6.792686519294638
50,0.4,0.6,9.306128553051824
51,0.4,0.7,6.017128690655889
52,0.4,0.8,3.5559723548919915
53,0.4,0.9,2.6996724047189846
54,0.4,0.99,2.0674322661461204
55,0.5,0.01,1.3963488425211332
56,0.5,0.1,2.0460569985664745
57,0.5,0.2,2.8427597681188326
58,0.5,0.3,4.032267508490734
59,0.5,0.4,6.549174513036564
60,0.5,0.5,9.377006140245353
61,0.5,0.6,6.279462492885689
62,0.5,0.7,4.195226914839406
63,0.5,0.8,2.7258248801638367
64,0.5,0.9,2.2965276337420986
65,0.5,0.99,1.9020811398702868
66,0.6,0.01,1.4641377452864914
67,0.6,0.1,2.4577061472578023
68,0.6,0.2,3.967600154575326
69,0.6,0.3,6.597811112531172
70,0.6,0.4,9.412244184428664
71,0.6,0.5,6.552655101386843
72,0.6,0.6,4.202888468974929
73,0.6,0.7,3.0724205826834066
74,0.6,0.8,2.28932652618306
75,0.6,0.9,2.0403132307602534
76,0.6,0.99,1.2841598875966407
77,0.7,0.01,2.1964198529241714
78,0.7,0.1,3.464804285984502
79,0.7,0.2,5.6904285455824954
80,0.7,0.3,9.520146630043357
81,0.7,0.4,6.602046807459523
82,0.7,0.5,4.21582312321163
83,0.7,0.6,3.0294368619153627
84,0.7,0.7,1.8920223972530357
85,0.7,0.8,1.9184477183943787
86,0.7,0.9,1.4790020029387887
87,0.7,0.99,1.0917706293263687
88,0.8,0.01,2.7886823286337563
89,0.8,0.1,5.0088785097170385
90,0.8,0.2,9.464879678367641
91,0.8,0.3,6.339616312482679
92,0.8,0.4,4.012513389001801
93,0.8,0.5,2.6070077773964324
94,0.8,0.6,2.0259691258701205
95,0.8,0.7,1.9984746973132184
96,0.8,0.8,1.3135612606964877
97,0.8,0.9,1.3239212109704503
98,0.8,0.99,1.0206742666552306
99,0.9,0.01,3.7344492781357546
100,0.9,0.1,9.670541929243704
101,0.9,0.2,6.012533290500535
102,0.9,0.3,4.017052139834471
103,0.9,0.4,2.422091037458753
104,0.9,0.5,1.99788989891903
105,0.9,0.6,1.2435419849015437
106,0.9,0.7,1.0278517701729697
107,0.9,0.8,0.8708909543516239
108,0.9,0.9,1.0913982664222392
109,0.9,0.99,1.0064091115571263
110,0.99,0.01,9.938378873572848
111,0.99,0.1,4.418003719913395
112,0.99,0.2,2.621415513588159
113,0.99,0.3,2.2733287880520883
114,0.99,0.4,2.3685667568640048
115,0.99,0.5,1.9647354280060647
116,0.99,0.6,1.8069562100269898
117,0.99,0.7,1.714670004210919
118,0.99,0.8,1.9783174034990898
119,0.99,0.9,1.6225608980410717
120,0.99,0.99,1.6722824127748612
