,P,cost,value
0,0.01,0.01,5.236161574386447
1,0.01,0.1,5.241735171419215
2,0.01,0.2,5.350454916670437
3,0.01,0.3,5.206075616808215
4,0.01,0.4,5.412120266159444
5,0.01,0.5,5.411502821091289
6,0.01,0.6,5.344069504357211
7,0.01,0.7,5.386670637151287
8,0.01,0.8,5.564151247804557
9,0.01,0.9,6.328298983830147
10,0.01,0.99,8.125593436812728
11,0.1,0.01,5.8228319822329
12,0.1,0.1,5.870936048944394
13,0.1,0.2,5.940291799448078
14,0.1,0.3,6.0598234554446995
15,0.1,0.4,6.190768620803104
16,0.1,0.5,6.206408301424968
17,0.1,0.6,6.584700817773385
18,0.1,0.7,7.10321999211184
19,0.1,0.8,8.255692588161182
20,0.1,0.9,6.3392084069214905
21,0.1,0.99,-3.8931021771472913
22,0.2,0.01,6.429195725430463
23,0.2,0.1,6.357098588285295
24,0.2,0.2,6.575501652357425
25,0.2,0.3,6.7073696181901905
26,0.2,0.4,6.799054853282507
27,0.2,0.5,7.1086029812460305
28,0.2,0.6,7.782249371958539
29,0.2,0.7,8.682959256335675
30,0.2,0.8,5.595163897266566
31,0.2,0.9,-3.338917083388917
32,0.2,0.99,-6.019149196824722
33,0.3,0.01,6.60102181432072
34,0.3,0.1,6.885699951269501
35,0.3,0.2,6.7884107388592865
36,0.3,0.3,7.275372560542252
37,0.3,0.4,7.425844681207164
38,0.3,0.5,8.031977813491816
39,0.3,0.6,9.002759420641745
40,0.3,0.7,5.707948111093021
41,0.3,0.8,-2.402492007608123
42,0.3,0.9,-5.808677454970366
43,0.3,0.99,-6.653688509553177
44,0.4,0.01,7.057065946321296
45,0.4,0.1,7.20294899000975
46,0.4,0.2,7.366262478418366
47,0.4,0.3,7.753053226148442
48,0.4,0.4,8.21687004181059
49,0.4,0.5,9.051811759781058
50,0.4,0.6,5.0478722948617785
51,0.4,0.7,-2.1256731870151793
52,0.4,0.8,-5.547309827124307
53,0.4,0.9,-6.601439697915112
54,0.4,0.99,-6.976203974705626
55,0.5,0.01,7.220097115430924
56,0.5,0.1,7.568142809521312
57,0.5,0.2,7.886720430305014
58,0.5,0.3,8.432695471842994
59,0.5,0.4,9.123231442505803
60,0.5,0.5,5.541362685953731
61,0.5,0.6,-1.786210842793344
62,0.5,0.7,-4.857839621311309
63,0.5,0.8,-6.433286167885265
64,0.5,0.9,-6.935791981845492
65,0.5,0.99,-7.084501284862581
66,0.6,0.01,7.550292945154578
67,0.6,0.1,7.858689314611681
68,0.6,0.2,8.366746578552856
69,0.6,0.3,9.148537627616072
70,0.6,0.4,5.27815532352038
71,0.6,0.5,-2.1583264746706816
72,0.6,0.6,-4.973643233095056
73,0.6,0.7,-6.282358542848544
74,0.6,0.8,-6.857811439111433
75,0.6,0.9,-7.137279471366527
76,0.6,0.99,-7.362540150090407
77,0.7,0.01,7.940305091103833
78,0.7,0.1,8.378431348779019
79,0.7,0.2,9.101732999995045
80,0.7,0.3,5.38017240128902
81,0.7,0.4,-2.2429874145763344
82,0.7,0.5,-5.193108765699065
83,0.7,0.6,-6.250303518260693
84,0.7,0.7,-6.9437831545557716
85,0.7,0.8,-7.168427580813672
86,0.7,0.9,-7.352327228146162
87,0.7,0.99,-7.3332654536239
88,0.8,0.01,8.487524443864396
89,0.8,0.1,9.142154872178264
90,0.8,0.2,5.719965172318995
91,0.8,0.3,-2.389593923860685
92,0.8,0.4,-5.401529228016692
93,0.8,0.5,-6.445117389627921
94,0.8,0.6,-6.905182376293641
95,0.8,0.7,-7.106733738284717
96,0.8,0.8,-7.317497496432783
97,0.8,0.9,-7.365214855994674
98,0.8,0.99,-7.429308078058585
99,0.9,0.01,9.194239709196578
100,0.9,0.1,6.0633486666304535
101,0.9,0.2,-2.7027605881748116
102,0.9,0.3,-5.423036772351092
103,0.9,0.4,-6.353749499388003
104,0.9,0.5,-6.734687163631276
105,0.9,0.6,-7.024617305210708
106,0.9,0.7,-7.061268017360439
107,0.9,0.8,-7.11512014818546
108,0.9,0.9,-7.2117881631702385
109,0.9,0.99,-7.127961857819145
110,0.99,0.01,9.447705081576038
111,0.99,0.1,0.2692103635800885
112,0.99,0.2,-1.455134375566719
113,0.99,0.3,-1.7949583019124684
114,0.99,0.4,-1.7845977825842676
115,0.99,0.5,-2.160162358399453
116,0.99,0.6,-2.2181766701219794
117,0.99,0.7,-2.2096817288244748
118,0.99,0.8,-2.2139754453497607
119,0.99,0.9,-2.334349822163148
120,0.99,0.99,-2.3084421201326313
