,P,cost,value
0,0.01,0.01,4.44740018807946
1,0.01,0.1,4.444287296237665
2,0.01,0.2,4.452111879323277
3,0.01,0.3,4.453024593347633
4,0.01,0.4,4.455983087278598
5,0.01,0.5,4.439863531673167
6,0.01,0.6,4.440149678338992
7,0.01,0.7,4.462441654176276
8,0.01,0.8,4.4495471610346975
9,0.01,0.9,4.264015384593186
10,0.01,0.99,8.364627016331907
11,0.1,0.01,5.289992826030724
12,0.1,0.1,5.28546130409326
13,0.1,0.2,5.288749978084568
14,0.1,0.3,5.28891299121088
15,0.1,0.4,5.274891531983416
16,0.1,0.5,5.245799289314849
17,0.1,0.6,5.149320087816509
18,0.1,0.7,4.834536233049879
19,0.1,0.8,3.26303752103964
20,0.1,0.9,2.4020223650059247
21,0.1,0.99,7.883091489022123
22,0.2,0.01,5.614309149698409
23,0.2,0.1,5.66833969872028
24,0.2,0.2,5.610454882687632
25,0.2,0.3,5.65870119465827
26,0.2,0.4,5.595500695937653
27,0.2,0.5,5.437000791853459
28,0.2,0.6,4.957695463945083
29,0.2,0.7,2.8023643868934576
30,0.2,0.8,-0.3213360783132282
31,0.2,0.9,6.646396422802573
32,0.2,0.99,7.220034725740629
33,0.3,0.01,5.991449774619837
34,0.3,0.1,5.922769695024127
35,0.3,0.2,5.927275023222584
36,0.3,0.3,5.872594723696833
37,0.3,0.4,5.700542426287132
38,0.3,0.5,5.075545980597299
39,0.3,0.6,2.6386517122877917
40,0.3,0.7,-1.0936318288361182
41,0.3,0.8,5.0545672311737455
42,0.3,0.9,6.552338951940055
43,0.3,0.99,6.680381747491993
44,0.4,0.01,6.1150935704248655
45,0.4,0.1,6.1137410753468515
46,0.4,0.2,6.118372948702303
47,0.4,0.3,6.0268180693981765
48,0.4,0.4,5.509996160294371
49,0.4,0.5,3.153858219044816
50,0.4,0.6,-1.8723013999986906
51,0.4,0.7,4.091351270491824
52,0.4,0.8,6.071837192500559
53,0.4,0.9,6.410751069692382
54,0.4,0.99,6.453638405165458
55,0.5,0.01,6.362891960149838
56,0.5,0.1,6.2848105732359505
57,0.5,0.2,6.130950975610933
58,0.5,0.3,5.81363021548219
59,0.5,0.4,3.713792376446277
60,0.5,0.5,-1.919554461520803
61,0.5,0.6,3.0987008602469963
62,0.5,0.7,5.599304283177078
63,0.5,0.8,6.1506196074487365
64,0.5,0.9,6.184509475047664
65,0.5,0.99,6.304166709588221
66,0.6,0.01,6.49853170054084
67,0.6,0.1,6.4399426556821515
68,0.6,0.2,6.072030234837325
69,0.6,0.3,4.331446521702907
70,0.6,0.4,-1.3741606921005565
71,0.6,0.5,2.970790318629961
72,0.6,0.6,5.284971888509079
73,0.6,0.7,5.951021379308978
74,0.6,0.8,6.080823647937268
75,0.6,0.9,6.095410902268965
76,0.6,0.99,6.157552747551831
77,0.7,0.01,6.753060582753689
78,0.7,0.1,6.593716681014968
79,0.7,0.2,5.313230730709644
80,0.7,0.3,-1.0885272269740116
81,0.7,0.4,2.797472712236839
82,0.7,0.5,5.072012285171449
83,0.7,0.6,5.594197189014344
84,0.7,0.7,5.756590879412275
85,0.7,0.8,5.869860548329656
86,0.7,0.9,5.901219043638157
87,0.7,0.99,5.884874222483209
88,0.8,0.01,7.191174760822162
89,0.8,0.1,6.820639806509742
90,0.8,0.2,-0.285726921333885
91,0.8,0.3,2.7377350388718398
92,0.8,0.4,4.7626690424038625
93,0.8,0.5,5.3858132295013705
94,0.8,0.6,5.4767966784917474
95,0.8,0.7,5.61998767265131
96,0.8,0.8,5.64672535759017
97,0.8,0.9,5.617756131030651
98,0.8,0.99,5.639548200248753
99,0.9,0.01,7.937783490384273
100,0.9,0.1,2.6243216900901616
101,0.9,0.2,3.029746391445473
102,0.9,0.3,4.663913464862216
103,0.9,0.4,5.044068638687886
104,0.9,0.5,5.127816682761197
105,0.9,0.6,5.178140301815529
106,0.9,0.7,5.22063560779972
107,0.9,0.8,5.273434888533327
108,0.9,0.9,5.2730829174581295
109,0.9,0.99,5.264119579703951
110,0.99,0.01,9.394676270380302
111,0.99,0.1,3.7523254989345647
112,0.99,0.2,3.9280638064372937
113,0.99,0.3,4.143371767652358
114,0.99,0.4,4.220753130661899
115,0.99,0.5,4.2364819653774894
116,0.99,0.6,4.273039392120291
117,0.99,0.7,4.4091878982710115
118,0.99,0.8,4.4120921516780465
119,0.99,0.9,4.44002794497293
120,0.99,0.99,4.453491276480463
