,P,cost,value
0,0.01,0.01,-1.0871690531380511
1,0.01,0.1,-0.9750794802196967
2,0.01,0.2,-0.8144637795658625
3,0.01,0.3,-1.0880576855233015
4,0.01,0.4,-1.0736046197212405
5,0.01,0.5,-0.5036840935040319
6,0.01,0.6,-0.8088275863112024
7,0.01,0.7,-0.16656864134705088
8,0.01,0.8,0.5379901541738881
9,0.01,0.9,1.7702531710657874
10,0.01,0.99,9.77880216228835
11,0.1,0.01,-1.9452767821167403
12,0.1,0.1,-2.065769793807712
13,0.1,0.2,-1.9388351641947486
14,0.1,0.3,-2.051892232524802
15,0.1,0.4,-1.4369976909766236
16,0.1,0.5,-0.947657360264961
17,0.1,0.6,-0.3587322748709751
18,0.1,0.7,0.9821524688540537
19,0.1,0.8,4.111137209875385
20,0.1,0.9,9.708919743472785
21,0.1,0.99,3.218502843339755
22,0.2,0.01,-2.1597185118552957
23,0.2,0.1,-1.9000727834456628
24,0.2,0.2,-1.8109712251032866
25,0.2,0.3,-1.3479965828398188
26,0.2,0.4,-0.8023414344989926
27,0.2,0.5,-0.010399222835149463
28,0.2,0.6,1.6996409873157656
29,0.2,0.7,5.340064042474641
30,0.2,0.8,9.665080692321421
31,0.2,0.9,4.562091879550004
32,0.2,0.99,1.174083498374542
33,0.3,0.01,-1.6679186808383275
34,0.3,0.1,-1.6009032405905783
35,0.3,0.2,-1.2420696641317663
36,0.3,0.3,-0.773171663395744
37,0.3,0.4,0.3160355026006887
38,0.3,0.5,2.297312837636765
39,0.3,0.6,6.062506309803006
40,0.3,0.7,9.635149691120592
41,0.3,0.8,5.603154910301881
42,0.3,0.9,1.7753213742574774
43,0.3,0.99,0.04373728871627749
44,0.4,0.01,-1.4979165956364762
45,0.4,0.1,-1.1171190586081046
46,0.4,0.2,-0.7925724063335964
47,0.4,0.3,0.2400125457994583
48,0.4,0.4,2.326761750128412
49,0.4,0.5,6.344909019104966
50,0.4,0.6,9.649172504478255
51,0.4,0.7,5.919308592783805
52,0.4,0.8,2.142998298896272
53,0.4,0.9,0.14204872875469052
54,0.4,0.99,-0.7134484234254795
55,0.5,0.01,-1.303327643823716
56,0.5,0.1,-0.7401968717650047
57,0.5,0.2,0.3636263034415305
58,0.5,0.3,2.2732716435389544
59,0.5,0.4,6.220972513816637
60,0.5,0.5,9.638201042423658
61,0.5,0.6,6.229877371621896
62,0.5,0.7,2.5001333952509803
63,0.5,0.8,0.062349276574694794
64,0.5,0.9,-0.9238594763427586
65,0.5,0.99,-1.2028956904969714
66,0.6,0.01,-0.7263079507661269
67,0.6,0.1,-0.18263836077181472
68,0.6,0.2,1.7177759344611945
69,0.6,0.3,5.751940814622918
70,0.6,0.4,9.705775718029324
71,0.6,0.5,6.367778338952909
72,0.6,0.6,2.29062046957305
73,0.6,0.7,0.08785839535449058
74,0.6,0.8,-0.7932371224484093
75,0.6,0.9,-1.5064897599920235
76,0.6,0.99,-1.4866739952141474
77,0.7,0.01,-0.20801654451435936
78,0.7,0.1,1.0555585585520464
79,0.7,0.2,5.600934961975163
80,0.7,0.3,9.745293031161278
81,0.7,0.4,6.147331470661341
82,0.7,0.5,2.246590312423921
83,0.7,0.6,0.31362239881704584
84,0.7,0.7,-0.7186055438766668
85,0.7,0.8,-0.8342167734224903
86,0.7,0.9,-1.4988287011551205
87,0.7,0.99,-1.8005969165423
88,0.8,0.01,0.8290893883998793
89,0.8,0.1,4.486183742000167
90,0.8,0.2,9.775630225846927
91,0.8,0.3,5.433044057909258
92,0.8,0.4,2.5492643116428173
93,0.8,0.5,0.2489051172219817
94,0.8,0.6,-0.8199692444226256
95,0.8,0.7,-1.3981054013769896
96,0.8,0.8,-1.5454324887526
97,0.8,0.9,-1.7792003711851372
98,0.8,0.99,-1.7872790539091268
99,0.9,0.01,3.3015885148499557
100,0.9,0.1,9.857556715401778
101,0.9,0.2,4.466820375158634
102,0.9,0.3,0.6453932924738492
103,0.9,0.4,-0.29975705733873065
104,0.9,0.5,-1.1070220770658947
105,0.9,0.6,-1.4833825809920622
106,0.9,0.7,-1.5948044163410033
107,0.9,0.8,-1.8927591860529462
108,0.9,0.9,-1.7224797092349473
109,0.9,0.99,-1.802661891432542
110,0.99,0.01,9.978600931388353
111,0.99,0.1,2.0833017708483097
112,0.99,0.2,0.051898365988634496
113,0.99,0.3,-0.06529837982168987
114,0.99,0.4,-0.319777460604487
115,0.99,0.5,-0.9522109473724333
116,0.99,0.6,-0.5212283112156028
117,0.99,0.7,-0.8167246277565743
118,0.99,0.8,-1.0010707577010425
119,0.99,0.9,-0.6298673818085874
120,0.99,0.99,-0.7040061518235657
