,P,cost,value
0,0.01,0.01,-10.000000000000016
1,0.01,0.1,-10.000000000000021
2,0.01,0.2,-10.000000000000021
3,0.01,0.3,-10.000000000000021
4,0.01,0.4,-10.000000000000028
5,0.01,0.5,-10.00000000000002
6,0.01,0.6,-10.000000000000025
7,0.01,0.7,-10.000000000000027
8,0.01,0.8,-10.000000000000027
9,0.01,0.9,-10.000000000000025
10,0.01,0.99,-10.000000000000018
11,0.1,0.01,-10.000000000000025
12,0.1,0.1,-10.000000000000016
13,0.1,0.2,-10.000000000000009
14,0.1,0.3,-10.000000000000014
15,0.1,0.4,-10.000000000000014
16,0.1,0.5,-10.000000000000014
17,0.1,0.6,-10.000000000000014
18,0.1,0.7,-10.000000000000027
19,0.1,0.8,-10.000000000000027
20,0.1,0.9,-10.000000000000009
21,0.1,0.99,-10.000000000000027
22,0.2,0.01,-10.000000000000018
23,0.2,0.1,-10.000000000000009
24,0.2,0.2,-10.000000000000014
25,0.2,0.3,-10.000000000000014
26,0.2,0.4,-10.000000000000014
27,0.2,0.5,-10.00000000000001
28,0.2,0.6,-10.000000000000014
29,0.2,0.7,-10.000000000000027
30,0.2,0.8,-10.000000000000014
31,0.2,0.9,-10.000000000000028
32,0.2,0.99,-10.000000000000021
33,0.3,0.01,-10.000000000000014
34,0.3,0.1,-10.00000000000001
35,0.3,0.2,-10.00000000000001
36,0.3,0.3,-10.000000000000016
37,0.3,0.4,-10.000000000000016
38,0.3,0.5,-10.00000000000001
39,0.3,0.6,-10.000000000000021
40,0.3,0.7,-10.000000000000014
41,0.3,0.8,-10.000000000000034
42,0.3,0.9,-10.000000000000021
43,0.3,0.99,-10.000000000000021
44,0.4,0.01,-10.000000000000009
45,0.4,0.1,-10.000000000000007
46,0.4,0.2,-10.00000000000001
47,0.4,0.3,-10.000000000000014
48,0.4,0.4,-10.000000000000016
49,0.4,0.5,-10.000000000000021
50,0.4,0.6,-10.00000000000001
51,0.4,0.7,-10.000000000000028
52,0.4,0.8,-10.000000000000027
53,0.4,0.9,-10.000000000000021
54,0.4,0.99,-10.000000000000027
55,0.5,0.01,-10.00000000000001
56,0.5,0.1,-10.000000000000009
57,0.5,0.2,-10.000000000000009
58,0.5,0.3,-10.000000000000018
59,0.5,0.4,-10.000000000000027
60,0.5,0.5,-10.000000000000014
61,0.5,0.6,-10.000000000000028
62,0.5,0.7,-10.00000000000002
63,0.5,0.8,-10.000000000000021
64,0.5,0.9,-10.000000000000027
65,0.5,0.99,-10.000000000000027
66,0.6,0.01,-10.000000000000009
67,0.6,0.1,-10.000000000000009
68,0.6,0.2,-10.000000000000007
69,0.6,0.3,-10.000000000000027
70,0.6,0.4,-10.000000000000009
71,0.6,0.5,-10.000000000000025
72,0.6,0.6,-10.000000000000014
73,0.6,0.7,-10.000000000000021
74,0.6,0.8,-10.000000000000027
75,0.6,0.9,-10.000000000000028
76,0.6,0.99,-10.000000000000028
77,0.7,0.01,-10.000000000000007
78,0.7,0.1,-10.000000000000009
79,0.7,0.2,-10.000000000000021
80,0.7,0.3,-10.00000000000001
81,0.7,0.4,-10.000000000000027
82,0.7,0.5,-10.000000000000014
83,0.7,0.6,-10.000000000000016
84,0.7,0.7,-10.000000000000027
85,0.7,0.8,-10.000000000000027
86,0.7,0.9,-10.000000000000028
87,0.7,0.99,-10.000000000000028
88,0.8,0.01,-10.000000000000009
89,0.8,0.1,-10.00000000000001
90,0.8,0.2,-10.000000000000009
91,0.8,0.3,-10.000000000000025
92,0.8,0.4,-10.000000000000009
93,0.8,0.5,-10.000000000000016
94,0.8,0.6,-10.000000000000014
95,0.8,0.7,-10.000000000000028
96,0.8,0.8,-10.000000000000027
97,0.8,0.9,-10.000000000000028
98,0.8,0.99,-10.000000000000027
99,0.9,0.01,-10.000000000000007
100,0.9,0.1,-10.000000000000004
101,0.9,0.2,-10.000000000000014
102,0.9,0.3,-10.000000000000009
103,0.9,0.4,-10.00000000000001
104,0.9,0.5,-10.000000000000014
105,0.9,0.6,-10.000000000000018
106,0.9,0.7,-10.000000000000027
107,0.9,0.8,-10.000000000000028
108,0.9,0.9,-10.000000000000027
109,0.9,0.99,-10.000000000000027
110,0.99,0.01,-10.000000000000021
111,0.99,0.1,-10.000000000000007
112,0.99,0.2,-10.000000000000007
113,0.99,0.3,-10.000000000000016
114,0.99,0.4,-10.00000000000002
115,0.99,0.5,-10.00000000000002
116,0.99,0.6,-10.00000000000002
117,0.99,0.7,-10.000000000000027
118,0.99,0.8,-10.000000000000028
119,0.99,0.9,-10.000000000000027
120,0.99,0.99,-10.000000000000027
